team_id,team_name,winner_odds,reach_qf_odds,reach_sf_odds,reach_final_odds,group_win_odds,highest_scoring_team_odds,lowest_scoring_team_odds,source,snapshot_date,winner_prob,winner_score,reach_qf_prob,reach_qf_score,reach_sf_prob,reach_sf_score,reach_final_prob,reach_final_score,group_win_prob,group_win_score,highest_scoring_team_prob,highest_scoring_team_score,lowest_scoring_team_prob,lowest_scoring_team_score,team_long_run_score,team_group_stage_score,team_attack_score,team_low_scoring_risk,team_market_score
SUI,Switzerland,79.0,4.0,10.0,21.0,1.72,29.0,,bet365/manual,2026-06-06,0.012658227848101266,0.06835443037974684,0.25,0.415,0.1,0.22500000000000003,0.047619047619047616,0.15476190476190474,0.5813953488372093,0.6976744186046512,0.034482758620689655,0.1896551724137931,,0.0,0.27758926643957554,0.5193369276136145,0.338331633896034,0.0,0.3622620382830789
MEX,Mexico,50.0,5.0,12.0,26.0,1.83,41.0,,bet365/manual,2026-06-06,0.02,0.10800000000000001,0.2,0.332,0.08333333333333333,0.1875,0.038461538461538464,0.125,0.5464480874316939,0.6557377049180327,0.024390243902439025,0.13414634146341464,,0.0,0.23706188524590163,0.4691776889244303,0.29160759696121547,0.0,0.317605768692523
COL,Colombia,41.0,3.5,7.0,15.0,3.5,51.0,,bet365/manual,2026-06-06,0.024390243902439025,0.13170731707317074,0.2857142857142857,0.4742857142857142,0.14285714285714285,0.32142857142857145,0.06666666666666667,0.21666666666666665,0.2857142857142857,0.3428571428571428,0.0196078431372549,0.10784313725490195,,0.0,0.32658943089430886,0.32990469358475094,0.2239494431919109,0.0,0.3070560121609619
USA,USA,40.0,4.33,10.0,23.0,2.37,67.0,,bet365/manual,2026-06-06,0.025,0.135,0.23094688221709006,0.3833718244803695,0.1,0.22500000000000003,0.043478260869565216,0.14130434782608695,0.42194092827004215,0.5063291139240506,0.014925373134328358,0.08208955223880597,,0.0,0.2642574638295493,0.39338740161414104,0.23863282827247106,0.0,0.2978715180535112
TUR,Turkey,150.0,5.0,11.0,26.0,2.75,67.0,,bet365/manual,2026-06-06,0.006666666666666667,0.036000000000000004,0.2,0.332,0.09090909090909091,0.20454545454545456,0.038461538461538464,0.125,0.36363636363636365,0.43636363636363634,0.014925373134328358,0.08208955223880597,,0.0,0.21955454545454545,0.3371134328358209,0.20353568521031207,0.0,0.2516184396200814
JPN,Japan,50.0,4.5,10.0,23.0,4.0,81.0,,bet365/manual,2026-06-06,0.02,0.10800000000000001,0.2222222222222222,0.3688888888888888,0.1,0.22500000000000003,0.043478260869565216,0.14130434782608695,0.25,0.3,0.012345679012345678,0.06790123456790123,,0.0,0.2448219806763285,0.27280740740740744,0.17508395061728393,0.0,0.23927000268384327
MAR,Morocco,40.5,4.5,10.0,23.0,5.0,51.0,,bet365/manual,2026-06-06,0.024691358024691357,0.13333333333333333,0.2222222222222222,0.3688888888888888,0.1,0.22500000000000003,0.043478260869565216,0.14130434782608695,0.2,0.24,0.0196078431372549,0.10784313725490195,,0.0,0.2456219806763285,0.24706535947712416,0.18258823529411763,0.0,0.23344824524012503
URU,Uruguay,67.0,4.5,10.0,23.0,5.0,41.0,,bet365/manual,2026-06-06,0.014925373134328358,0.08059701492537313,0.2222222222222222,0.3688888888888888,0.1,0.22500000000000003,0.043478260869565216,0.14130434782608695,0.2,0.24,0.024390243902439025,0.13414634146341464,,0.0,0.23771153291513447,0.24837402418800306,0.19046620555757796,0.0,0.23146121482548374
CAN,Canada,143.0,5.5,15.0,41.0,3.25,51.0,,bet365/manual,2026-06-06,0.006993006993006993,0.03776223776223776,0.18181818181818182,0.3018181818181818,0.06666666666666667,0.15,0.024390243902439025,0.07926829268292683,0.3076923076923077,0.36923076923076925,0.0196078431372549,0.10784313725490195,,0.0,0.18311589629882313,0.2965960510078157,0.19527821198409434,0.0,0.21959240584857515
CRO,Croatia,81.0,5.5,12.0,29.0,4.5,51.0,,bet365/manual,2026-06-06,0.012345679012345678,0.06666666666666667,0.18181818181818182,0.3018181818181818,0.08333333333333333,0.1875,0.034482758620689655,0.11206896551724137,0.2222222222222222,0.26666666666666666,0.0196078431372549,0.10784313725490195,,0.0,0.19825849007314522,0.24163101604278073,0.17252762923351156,0.0,0.20612407569610913
ECU,Ecuador,140.5,6.0,21.0,,5.0,51.0,,bet365/manual,2026-06-06,0.0071174377224199285,0.038434163701067614,0.16666666666666666,0.2766666666666666,0.047619047619047616,0.10714285714285714,,0.0,0.2,0.24,0.0196078431372549,0.10784313725490195,,0.0,0.17673021521775967,0.21926484543995534,0.15926498499755773,0.0,0.185997558240378
CZE,Czech Republic,475.0,10.0,34.0,,3.25,101.0,,bet365/manual,2026-06-06,0.002105263157894737,0.01136842105263158,0.1,0.166,0.029411764705882353,0.0661764705882353,,0.0,0.3076923076923077,0.36923076923076925,0.009900990099009901,0.054455445544554455,,0.0,0.11851364908311501,0.2533136609612378,0.1455722571852327,0.0,0.1643653742669754
BIH,Bosnia and Herzegovina,300.0,10.0,34.0,,3.6,201.0,,bet365/manual,2026-06-06,0.0033333333333333335,0.018000000000000002,0.1,0.166,0.029411764705882353,0.0661764705882353,,0.0,0.2777777777777778,0.3333333333333333,0.004975124378109453,0.02736318407960199,,0.0,0.11751348039215685,0.22983781094527367,0.12371492537313433,0.0,0.15245106855428742
SWE,Sweden,88.0,8.0,29.0,,5.5,101.0,,bet365/manual,2026-06-06,0.011363636363636364,0.06136363636363637,0.125,0.2075,0.034482758620689655,0.07758620689655173,,0.0,0.18181818181818182,0.21818181818181817,0.009900990099009901,0.054455445544554455,,0.0,0.14016898510971784,0.183111498649865,0.11903454095409541,0.0,0.14882485034063753
PAR,Paraguay,400.0,8.0,29.0,,4.75,151.0,,bet365/manual,2026-06-06,0.0025,0.013500000000000002,0.125,0.2075,0.034482758620689655,0.07758620689655173,,0.0,0.21052631578947367,0.2526315789473684,0.006622516556291391,0.03642384105960265,,0.0,0.13334766333938292,0.19696094457999302,0.11384481526664342,0.0,0.14853107809701804
AUT,Austria,150.5,8.0,21.0,51.0,5.5,67.0,,bet365/manual,2026-06-06,0.006644518272425249,0.035880398671096346,0.125,0.2075,0.047619047619047616,0.10714285714285714,0.0196078431372549,0.06372549019607843,0.18181818181818182,0.21818181818181817,0.014925373134328358,0.08208955223880597,,0.0,0.12844696303468534,0.18598245276937572,0.13030327053196714,0.0,0.14607887145454881
KOR,South Korea,201.0,11.0,41.0,,4.33,101.0,,bet365/manual,2026-06-06,0.004975124378109453,0.026865671641791045,0.09090909090909091,0.1509090909090909,0.024390243902439025,0.05487804878048781,,0.0,0.23094688221709006,0.27713625866050806,0.009900990099009901,0.054455445544554455,,0.0,0.10553044711574729,0.19966381540432487,0.12183471823794698,0.0,0.1370313118267605
EGY,Egypt,250.0,10.0,34.0,,5.5,101.0,,bet365/manual,2026-06-06,0.004,0.0216,0.1,0.166,0.029411764705882353,0.0661764705882353,,0.0,0.18181818181818182,0.21818181818181817,0.009900990099009901,0.054455445544554455,,0.0,0.11099151069518716,0.17074831683168318,0.10883317731773177,0.0,0.12848688586064488
SEN,Senegal,120.0,8.0,21.0,51.0,9.0,81.0,,bet365/manual,2026-06-06,0.008333333333333333,0.045000000000000005,0.125,0.2075,0.047619047619047616,0.10714285714285714,0.0196078431372549,0.06372549019607843,0.1111111111111111,0.13333333333333333,0.012345679012345678,0.06790123456790123,,0.0,0.12557247899159663,0.13764351851851853,0.10290895061728396,0.0,0.12466108517481066
ALG,Algeria,375.0,10.0,34.0,,6.5,101.0,,bet365/manual,2026-06-06,0.0026666666666666666,0.0144,0.1,0.166,0.029411764705882353,0.0661764705882353,,0.0,0.15384615384615385,0.18461538461538463,0.009900990099009901,0.054455445544554455,,0.0,0.10754360859728508,0.15192677837014473,0.09972156892612338,0.0,0.11929415159491064
CIV,Ivory Coast,165.5,10.0,34.0,,8.0,67.0,,bet365/manual,2026-06-06,0.006042296072507553,0.03262839879154079,0.1,0.166,0.029411764705882353,0.0661764705882353,,0.0,0.125,0.15,0.014925373134328358,0.08208955223880597,,0.0,0.10879797183223741,0.13794485277539795,0.10670761599855706,0.0,0.11712396494844951
IRN,Iran,700.0,11.0,41.0,,7.0,151.0,,bet365/manual,2026-06-06,0.0014285714285714286,0.007714285714285714,0.09090909090909091,0.1509090909090909,0.024390243902439025,0.05487804878048781,,0.0,0.14285714285714285,0.1714285714285714,0.006622516556291391,0.03642384105960265,,0.0,0.095332831802344,0.13786227745764168,0.08447685559473639,0.0,0.10592047025741179
SCO,Scotland,195.0,10.0,34.0,,13.0,101.0,,bet365/manual,2026-06-06,0.005128205128205128,0.027692307692307693,0.1,0.166,0.029411764705882353,0.0661764705882353,,0.0,0.07692307692307693,0.09230769230769231,0.009900990099009901,0.054455445544554455,,0.0,0.10426668552036199,0.10182216298552933,0.07797387661843108,0.0,0.09827476697952602
TUN,Tunisia,750.5,11.0,41.0,,8.0,301.0,,bet365/manual,2026-06-06,0.0013324450366422385,0.007195203197868088,0.09090909090909091,0.1509090909090909,0.024390243902439025,0.05487804878048781,,0.0,0.125,0.15,0.0033222591362126247,0.018272425249169433,,0.0,0.09389621811622999,0.12332789667454155,0.06999209658073516,0.0,0.0979448973766245
GHA,Ghana,450.5,10.0,34.0,,11.0,251.0,,bet365/manual,2026-06-06,0.0022197558268590455,0.011986681465038847,0.1,0.166,0.029411764705882353,0.0661764705882353,,0.0,0.09090909090909091,0.10909090909090909,0.00398406374501992,0.02191235059760956,,0.0,0.10237083165170013,0.10538618666289339,0.06432757071803594,0.0,0.09566678596832527
AUS,Australia,93.5,13.0,51.0,,8.0,501.0,,bet365/manual,2026-06-06,0.0106951871657754,0.057754010695187166,0.07692307692307693,0.1276923076923077,0.0196078431372549,0.04411764705882353,,0.0,0.125,0.15,0.001996007984031936,0.010978043912175647,,0.0,0.08985602632661456,0.11895748404466264,0.06791826917945269,0.0,0.09419891221259662
COD,DR Congo,751.0,13.0,51.0,,9.0,201.0,,bet365/manual,2026-06-06,0.0013315579227696406,0.0071904127829560596,0.07692307692307693,0.1276923076923077,0.0196078431372549,0.04411764705882353,,0.0,0.1111111111111111,0.13333333333333333,0.004975124378109453,0.02736318407960199,,0.0,0.07933368505140456,0.10972040850749835,0.06688781280527609,0.0,0.085960527639007
RSA,South Africa,1400.5,15.0,51.0,,13.0,251.0,,bet365/manual,2026-06-06,0.0007140307033202428,0.0038557657979293113,0.06666666666666667,0.11066666666666665,0.0196078431372549,0.04411764705882353,,0.0,0.07692307692307693,0.09230769230769231,0.00398406374501992,0.02191235059760956,,0.0,0.06869561822889153,0.08191553831543534,0.05101867495552079,0.0,0.06912620560018053
KSA,Saudi Arabia,925.0,15.0,51.0,,17.0,251.0,,bet365/manual,2026-06-06,0.001081081081081081,0.005837837837837838,0.06666666666666667,0.11066666666666665,0.0196078431372549,0.04411764705882353,,0.0,0.058823529411764705,0.07058823529411765,0.00398406374501992,0.02191235059760956,,0.0,0.06770979067302596,0.07006894055996471,0.04578701790611797,0.0,0.06403298108572598
QAT,Qatar,1350.5,15.0,51.0,,34.0,501.0,,bet365/manual,2026-06-06,0.0007404664938911515,0.003998519067012218,0.06666666666666667,0.11066666666666665,0.0196078431372549,0.04411764705882353,,0.0,0.029411764705882353,0.03529411764705882,0.001996007984031936,0.010978043912175647,,0.0,0.06515903605055498,0.048925063912725976,0.03131240327455375,0.0,0.053519517854006035
NZL,New Zealand,975.0,21.0,67.0,,21.0,1001.0,,bet365/manual,2026-06-06,0.0010256410256410256,0.005538461538461539,0.047619047619047616,0.07904761904761903,0.014925373134328358,0.033582089552238806,,0.0,0.047619047619047616,0.057142857142857134,0.000999000999000999,0.005494505494505494,,0.0,0.049687626428298055,0.05229157509157508,0.02944395604395604,0.0,0.04642007695041277
IRQ,Iraq,1400.0,21.0,81.0,,41.0,1501.0,,bet365/manual,2026-06-06,0.0007142857142857143,0.003857142857142857,0.047619047619047616,0.07904761904761903,0.012345679012345678,0.027777777777777776,,0.0,0.024390243902439025,0.029268292682926828,0.0006662225183211193,0.0036642238507661557,,0.0,0.04581637146728609,0.03660195645798658,0.021392042238971922,0.0,0.0381671811188334
PAN,Panama,1200.5,21.0,67.0,,51.0,1001.0,,bet365/manual,2026-06-06,0.0008329862557267805,0.004498125780924615,0.047619047619047616,0.07904761904761903,0.014925373134328358,0.033582089552238806,,0.0,0.0196078431372549,0.023529411764705882,0.000999000999000999,0.005494505494505494,,0.0,0.047391723137625436,0.03375216334571504,0.020936561123664533,0.0,0.03800882279726014
UZB,Uzbekistan,1200.5,41.0,101.0,,41.0,1501.0,,bet365/manual,2026-06-06,0.0008329862557267805,0.004498125780924615,0.024390243902439025,0.04048780487804878,0.009900990099009901,0.02227722772277228,,0.0,0.024390243902439025,0.029268292682926828,0.0006662225183211193,0.0036642238507661557,,0.0,0.02734771517411897,0.026994052061783107,0.015672168405914563,0.0,0.024906506886777334
CPV,Cape Verde,1200.5,41.0,126.0,,51.0,2501.0,,bet365/manual,2026-06-06,0.0008329862557267805,0.004498125780924615,0.024390243902439025,0.04048780487804878,0.007936507936507936,0.017857142857142856,,0.0,0.0196078431372549,0.023529411764705882,0.00039984006397441024,0.0021991203518592563,,0.0,0.02560775859622096,0.023617902031925552,0.013504896426905878,0.0,0.02259022919306932
JOR,Jordan,1600.5,51.0,101.0,,41.0,4501.0,,bet365/manual,2026-06-06,0.0006248047485160887,0.003373945641986879,0.0196078431372549,0.032549019607843135,0.009900990099009901,0.02227722772277228,,0.0,0.024390243902439025,0.029268292682926828,0.00022217285047767163,0.001221950677627194,,0.0,0.023663712842353173,0.024586805761313963,0.013147796014920462,0.0,0.021837457352554865
CUW,Curacao,2800.5,41.0,126.0,,101.0,4501.0,,bet365/manual,2026-06-06,0.0003570790930191037,0.00192822710230316,0.024390243902439025,0.04048780487804878,0.007936507936507936,0.017857142857142856,,0.0,0.009900990099009901,0.011881188118811881,0.00022217285047767163,0.001221950677627194,,0.0,0.02439788861611107,0.016936308641617968,0.009847265810454201,0.0,0.019249290062631767
HAI,Haiti,2750.5,101.0,401.0,,101.0,4501.0,,bet365/manual,2026-06-06,0.00036357025995273584,0.001963279403744774,0.009900990099009901,0.016435643564356433,0.0024937655860349127,0.005610972568578554,,0.0,0.009900990099009901,0.011881188118811881,0.00022217285047767163,0.001221950677627194,,0.0,0.010054712132714624,0.01092502092826696,0.0062429468435445095,0.0,0.009553451713546301
