player_id,player_name,team_id,position,start_probability_pct,start_security,start_prob,start_prob_source,start_status,minutes_def_used,starts_def_used,nineties_def_used,min_pct_def_used,starts_per_ninety_used,base_start_score,start_reliability,minute_share_pf_used,starter_proxy_pf_used,merge_key,minute_share_pf,starter_proxy_pf,conditional_start_prob,availability_prob,availability_risk,availability_status
achref_abada__alg,Achref Abada,ALG,DEF,55,0.5495,0.5495,transfermarkt_availability_split_2026_06_07,rotation/usikker - Transfermarkt landshold,,,,,,0.4613,,,,achref abada||alg,,,0.5556,0.5152,high_risk,high_risk
sohaib_nair__alg,Sohaib Nair,ALG,DEF,0,0.0,0.0,transfermarkt_availability_split_2026_06_07,sjældent startende - Transfermarkt landshold,,,,,,0.0386,,,,sohaib nair||alg,,,0.05,0.35,high_risk,high_risk
mohamed_amine_tougai__alg,Mohamed Amine Tougai,ALG,DEF,34,0.3367,0.3367,transfermarkt_availability_split_2026_06_07,,,,,,,,,,,,,,,,,
youcef_atal__alg,Youcef Atal,ALG,DEF,0,0.0,0.0,transfermarkt_availability_split_2026_06_07,sandsynlig starter - Transfermarkt landshold,,,,,,0.7066,,,,youcef atal||alg,,,0.8158,0.6176,high_risk,high_risk
jaouen_hadjam__alg,Jaouen Hadjam,ALG,DEF,33,0.3317,0.3317,transfermarkt_availability_split_2026_06_07,,,,,,,,,,,,,,,,,
samir_chergui__alg,Samir Chergui,ALG,DEF,53,0.5347,0.5347,transfermarkt_availability_split_2026_06_07,,,,,,,,,,,,,,,,,
zineddine_belaid__alg,Zineddine Belaid,ALG,DEF,71,0.7139,0.7139,transfermarkt_availability_split_2026_06_07,sjældent startende - Transfermarkt landshold,,,,,,0.4472,,,,zineddine belaid||alg,,,0.52,0.6,high_risk,high_risk
mehdi_dorval__alg,Mehdi Dorval,ALG,DEF,0,0.0,0.0,transfermarkt_availability_split_2026_06_07,sjældent startende - Transfermarkt landshold,,,,,,0.1241,,,,mehdi dorval||alg,,,0.1429,0.625,high_risk,high_risk
rayan_a_t_nouri__alg,Rayan Ait-Nouri,ALG,DEF,84,0.8435,0.8435,transfermarkt_availability_split_2026_06_07,sandsynlig starter - Transfermarkt landshold,,,,,,0.775,,,,rayan ait-nouri||alg,,,0.9,0.6032,high_risk,high_risk
ramy_bensebaini__alg,Ramy Bensebaini,ALG,DEF,64,0.6387,0.6387,transfermarkt_availability_split_2026_06_07,sandsynlig starter - Transfermarkt landshold,,,,,,0.7952,,,,ramy bensebaini||alg,,,0.8947,0.6821,medium_risk,medium_risk
rafik_belghali__alg,Rafik Belghali,ALG,DEF,39,0.3883,0.3883,transfermarkt_availability_split_2026_06_07,sandsynlig starter - Transfermarkt landshold,,,,,,0.8614,,,,rafik belghali||alg,,,0.97,0.68,medium_risk,medium_risk
a_ssa_mandi__alg,Aissa Mandi,ALG,DEF,66,0.6633,0.6633,transfermarkt_availability_split_2026_06_07,sandsynlig starter - Transfermarkt landshold,,,,,,0.8309,,,,aissa mandi||alg,,,0.8992,0.7829,medium_risk,medium_risk
nicol_s_otamendi__arg,Nicolas Otamendi,ARG,DEF,64,0.6444,0.6444,transfermarkt_availability_split_2026_06_07,sandsynlig starter - Transfermarkt landshold,,,,,,0.7821,,,,nicolas otamendi||arg,,,0.8904,0.6525,medium_risk,medium_risk
nicol_s_tagliafico__arg,Nicolas Tagliafico,ARG,DEF,87,0.8693,0.8693,transfermarkt_availability_split_2026_06_07,sandsynlig starter - Transfermarkt landshold,,,,,,0.7459,,,,nicolas tagliafico||arg,,,0.7872,0.85,low_risk,low_risk
leonardo_balerdi__arg,Leonardo Balerdi,ARG,DEF,48,0.4789,0.4789,transfermarkt_availability_split_2026_06_07,rotation/usikker - Transfermarkt landshold,,,,,,0.5864,,,,leonardo balerdi||arg,,,0.6818,0.6,high_risk,high_risk
lisandro_martinez__arg,Lisandro Martinez,ARG,DEF,37,0.3667,0.3667,transfermarkt_availability_split_2026_06_07,,,,,,,,,,,,,,,,,
cristian_romero__arg,Cristian Romero,ARG,DEF,68,0.6811,0.6811,transfermarkt_availability_split_2026_06_07,sandsynlig starter - Transfermarkt landshold,,,,,,0.8499,,,,cristian romero||arg,,,0.9259,0.7654,medium_risk,medium_risk
julio_soler__arg,Julio Soler,ARG,DEF,0,0.0,0.0,transfermarkt_availability_split_2026_06_07,sandsynlig starter - Transfermarkt landshold,,,,,,0.7502,,,,julio soler||arg,,,0.8696,0.6078,high_risk,high_risk
facundo_medina__arg,Facundo Medina,ARG,DEF,24,0.2406,0.2406,transfermarkt_availability_split_2026_06_07,,,,,,,,,,,,,,,,,
