player_id,player_name,team_id,position,pool_start_prob,pool_start_prob_source,ev_start_prob,ev_start_prob_source,start_prob_diff,minute_share,suspected_issue,recommended_action
virgil_van_dijk__ned,Virgil van Dijk,NED,DEF,0.8829,transfermarkt_availability_split_2026_06_04,0.8829,transfermarkt_availability_split_2026_06_01,0.0,0.080264,ok,No action.
marc_gu_hi__eng,Marc Guehi,ENG,DEF,0.6708,transfermarkt_availability_split_2026_06_04,0.6708,transfermarkt_availability_split_2026_06_01,0.0,0.060982,ok,No action.
dan_ndoye__sui,Dan Ndoye,SUI,FWD,0.8479,transfermarkt_availability_split_2026_06_04,0.8479,transfermarkt_availability_split_2026_06_01,0.0,0.077082,ok,No action.
antonio_nusa__nor,Antonio Nusa,NOR,MID,0.8157,transfermarkt_availability_split_2026_06_04,0.8157,transfermarkt_availability_split_2026_06_01,0.0,0.074155,ok,No action.
maxim_de_cuyper__bel,Maxim De Cuyper,BEL,DEF,0.7162,transfermarkt_availability_split_2026_06_04,0.7162,transfermarkt_availability_split_2026_06_01,0.0,0.065109,ok,No action.
gonzalo_plata__ecu,Gonzalo Plata,ECU,MID,0.7964,transfermarkt_availability_split_2026_06_04,0.7964,transfermarkt_availability_split_2026_06_01,0.0,0.0724,ok,No action.
marcus_thuram__fra,Marcus Thuram,FRA,FWD,0.6205,transfermarkt_availability_split_2026_06_04,0.6205,transfermarkt_availability_split_2026_06_01,0.0,0.056409,ok,No action.
tijjani_reijnders__ned,Tijjani Reijnders,NED,MID,0.884,transfermarkt_availability_split_2026_06_04,0.884,transfermarkt_availability_split_2026_06_01,0.0,0.080364,ok,No action.
alexis_mac_allister__arg,Alexis Mac Allister,ARG,MID,0.7538,transfermarkt_availability_split_2026_06_04,0.7538,transfermarkt_availability_split_2026_06_01,0.0,0.068527,ok,No action.
nicol_s_tagliafico__arg,Nicolas Tagliafico,ARG,DEF,0.7459,transfermarkt_availability_split_2026_06_04,0.7459,transfermarkt_availability_split_2026_06_01,0.0,0.067809,ok,No action.
jo_o_f_lix__por,João Felix,POR,FWD,0.7051,transfermarkt_availability_split_2026_06_04,0.7051,transfermarkt_availability_split_2026_06_01,0.0,0.0641,ok,No action.
donyell_malen__ned,Donyell Malen,NED,FWD,0.7099,transfermarkt_availability_split_2026_06_04,0.7099,transfermarkt_availability_split_2026_06_01,0.0,0.064536,ok,No action.
richie_laryea__can,Richie Laryea,CAN,DEF,0.8983,transfermarkt_availability_split_2026_06_04,0.8983,transfermarkt_availability_split_2026_06_01,0.0,0.081664,ok,No action.
rodrigo_de_paul__arg,Rodrigo de Paul,ARG,MID,0.9318,transfermarkt_availability_split_2026_06_04,0.9318,transfermarkt_availability_split_2026_06_01,0.0,0.084709,ok,No action.
marcel_sabitzer__aut,Marcel Sabitzer,AUT,MID,0.8181,transfermarkt_availability_split_2026_06_04,0.8181,transfermarkt_availability_split_2026_06_01,0.0,0.074373,ok,No action.
theo_hern_ndez__fra,Theo Hernandez,FRA,DEF,0.703,transfermarkt_availability_split_2026_06_04,0.703,transfermarkt_availability_split_2026_06_01,0.0,0.063909,ok,No action.
scott_mctominay__sco,Scott McTominay,SCO,MID,0.8738,transfermarkt_availability_split_2026_06_04,0.8738,transfermarkt_availability_split_2026_06_01,0.0,0.079436,ok,No action.
mehdi_taremi__irn,Mehdi Taremi,IRN,FWD,0.9079,transfermarkt_availability_split_2026_06_04,0.9079,transfermarkt_availability_split_2026_06_01,0.0,0.082536,ok,No action.
c_sar_montes__mex,Cesar Montes,MEX,DEF,0.6417,transfermarkt_availability_split_2026_06_04,0.6417,transfermarkt_availability_split_2026_06_01,0.0,0.058336,ok,No action.
casemiro__bra,Casemiro,BRA,MID,0.7578,transfermarkt_availability_split_2026_06_04,0.7578,transfermarkt_availability_split_2026_06_01,0.0,0.068891,ok,No action.
florian_wirtz__ger,Florian Wirtz,GER,MID,0.8582,transfermarkt_availability_split_2026_06_04,0.8582,transfermarkt_availability_split_2026_06_01,0.0,0.078018,ok,No action.
ricardo_rodr_guez__sui,Ricardo Rodriguez,SUI,DEF,0.8884,transfermarkt_availability_split_2026_06_04,0.8884,transfermarkt_availability_split_2026_06_01,0.0,0.080764,ok,No action.
malik_tillman__usa,Malik Tillman,USA,MID,0.6757,transfermarkt_availability_split_2026_06_04,0.6757,transfermarkt_availability_split_2026_06_01,0.0,0.061427,ok,No action.
jo_ko_gvardiol__cro,Josko Gvardiol,CRO,DEF,0.8562,transfermarkt_availability_split_2026_06_04,0.8562,transfermarkt_availability_split_2026_06_01,0.0,0.077836,ok,No action.
kevin_de_bruyne__bel,Kevin De Bruyne,BEL,MID,0.8443,transfermarkt_availability_split_2026_06_04,0.8443,transfermarkt_availability_split_2026_06_01,0.0,0.076755,ok,No action.
william_saliba__fra,William Saliba,FRA,DEF,0.6775,transfermarkt_availability_split_2026_06_04,0.6775,transfermarkt_availability_split_2026_06_01,0.0,0.061591,ok,No action.
