player_id,player_name,team_id,position,component_weighted_sum,base_ev_before_price_quality,price_quality_ev,expected_final_ev,actual_final_ev,formula_diff,component_source,base_ev_source,repair_status
keisuke_goto__jpn,Keisuke Goto,JPN,FWD,0.757475,0.757475,0.530344,0.655266,0.655266,-0,complete_components,component_weighted_sum,component_base_rebuilt
jesse_randall__nzl,Jesse Randall,NZL,FWD,0.885757,0.885757,0.359768,0.649062,0.649062,0,complete_components,component_weighted_sum,component_base_rebuilt
morten_thorsby__nor,Morten Thorsby,NOR,MID,0.718641,0.718641,0.557319,0.646046,0.646046,-0,complete_components,component_weighted_sum,component_base_rebuilt
roshon_van_eijma__cuw,Roshon van Eijma,CUW,DEF,0.524865,0.524865,0.787297,0.642959,0.64296,0.000001,complete_components,component_weighted_sum,component_base_rebuilt
kaishu_sano__jpn,Kaishu Sano,JPN,MID,0.692145,0.692145,0.581088,0.642169,0.642169,-0,complete_components,component_weighted_sum,component_base_rebuilt
michael_boxall__nzl,Michael Boxall,NZL,DEF,0.710828,0.710828,0.557148,0.641672,0.641672,0,complete_components,component_weighted_sum,component_base_rebuilt
blas_riveros__par,Blas Riveros,PAR,DEF,0.811111,0.811111,0.432748,0.640848,0.640848,0,complete_components,component_weighted_sum,component_base_rebuilt
steven_moreira__cpv,Steven Moreira,CPV,DEF,0.674455,0.674455,0.597087,0.639639,0.639639,-0,complete_components,component_weighted_sum,component_base_rebuilt
martin_boyle__aus,Martin Boyle,AUS,FWD,0.550037,0.550037,0.739499,0.635295,0.635295,0,complete_components,component_weighted_sum,component_base_rebuilt
firas_chaouat__tun,Firas Chaouat,TUN,FWD,0.704528,0.704528,0.542834,0.631766,0.631765,-0.000001,complete_components,component_weighted_sum,component_base_rebuilt
gustavo_puerta__col,Gustavo Puerta,COL,MID,0.750897,0.750897,0.479983,0.628986,0.628985,-0.000001,complete_components,component_weighted_sum,component_base_rebuilt
ahmed_hasan_maknzi__irq,Ahmed Hasan Maknzi,IRQ,DEF,0.515973,0.515973,0.765147,0.628101,0.628101,-0,complete_components,component_weighted_sum,component_base_rebuilt
telmo_arcanjo__cpv,Telmo Arcanjo,CPV,MID,0.511385,0.511385,0.767077,0.626446,0.626447,0.000001,complete_components,component_weighted_sum,component_base_rebuilt
h_lio_varela__cpv,Helio Varela,CPV,FWD,0.728677,0.728677,0.495671,0.623824,0.623824,-0,complete_components,component_weighted_sum,component_base_rebuilt
joaqu_n_piquerez__uru,Joaquin Piquerez,URU,MID,0.505695,0.505695,0.758543,0.619477,0.619476,-0.000001,complete_components,component_weighted_sum,component_base_rebuilt
cameron_burgess__aus,Cameron Burgess,AUS,DEF,0.550948,0.550948,0.700873,0.618414,0.618414,-0,complete_components,component_weighted_sum,component_base_rebuilt
braian_ojeda__par,Braian Ojeda,PAR,MID,0.831169,0.831169,0.351597,0.615362,0.615362,0,complete_components,component_weighted_sum,component_base_rebuilt
ali_al_hamadi__irq,Ali Al-Hamadi,IRQ,FWD,0.499738,0.499738,0.749607,0.612179,0.612179,-0,complete_components,component_weighted_sum,component_base_rebuilt
maghnes_akliouche__fra,Maghnes Akliouche,FRA,FWD,0.499134,0.499134,0.748701,0.611439,0.611439,-0,complete_components,component_weighted_sum,component_base_rebuilt
borja_iglesias__esp,Borja Iglesias,ESP,FWD,0.498602,0.498602,0.747903,0.610787,0.610787,-0,complete_components,component_weighted_sum,component_base_rebuilt
stopira__cpv,Stopira,CPV,DEF,0.497419,0.497419,0.746128,0.609338,0.609338,-0,complete_components,component_weighted_sum,component_base_rebuilt
jhon_c_rdoba__col,Jhon Cordoba,COL,FWD,0.780107,0.780107,0.398253,0.608273,0.608273,0,complete_components,component_weighted_sum,component_base_rebuilt
o_uz_ayd_n__tur,Oguz Aydin,TUR,MID,0.917162,0.917162,0.230568,0.608195,0.608195,0,complete_components,component_weighted_sum,component_base_rebuilt
deveron_fonville__cuw,Deveron Fonville,CUW,DEF,0.524643,0.524643,0.700013,0.60356,0.60356,0,complete_components,component_weighted_sum,component_base_rebuilt
jo_o_neves__por,João Neves,POR,MID,0.491391,0.491391,0.737086,0.601954,0.601954,0,complete_components,component_weighted_sum,component_base_rebuilt
bradley_barcola__fra,Bradley Barcola,FRA,MID,0.490619,0.490619,0.735928,0.601008,0.601008,-0,complete_components,component_weighted_sum,component_base_rebuilt
eric_smith__swe,Eric Smith,SWE,DEF,0.70886,0.70886,0.452647,0.593564,0.593564,-0,complete_components,component_weighted_sum,component_base_rebuilt
facundo_pellistri__uru,Facundo Pellistri,URU,FWD,0.48296,0.48296,0.72444,0.591626,0.591626,0,complete_components,component_weighted_sum,component_base_rebuilt
edo_kayembe__cod,Edo Kayembe,COD,MID,0.569353,0.569353,0.61337,0.589161,0.589161,0,complete_components,component_weighted_sum,component_base_rebuilt
nicolas_raskin__bel,Nicolas Raskin,BEL,MID,0.478865,0.478865,0.718298,0.58661,0.58661,0,complete_components,component_weighted_sum,component_base_rebuilt
alireza_jahanbakhsh__irn,Alireza Jahanbakhsh,IRN,FWD,0.835688,0.835688,0.280551,0.585876,0.585876,-0,complete_components,component_weighted_sum,component_base_rebuilt
xaver_schlager__aut,Xaver Schlager,AUT,MID,0.471826,0.471826,0.707739,0.577987,0.577987,0,complete_components,component_weighted_sum,component_base_rebuilt
adem_arous__tun,Adem Arous,TUN,DEF,0.745138,0.745138,0.371909,0.577185,0.577185,0,complete_components,component_weighted_sum,component_base_rebuilt
anthony_ralston__sco,Anthony Ralston,SCO,DEF,0.758558,0.758558,0.354798,0.576866,0.576866,0,complete_components,component_weighted_sum,component_base_rebuilt
brian_gutierrez__mex,Brian Gutierrez,MEX,MID,0.470475,0.470475,0.705713,0.576332,0.576332,-0,complete_components,component_weighted_sum,component_base_rebuilt
roderick_miller__pan,Roderick Miller,PAN,DEF,0.653228,0.653228,0.481993,0.576172,0.576172,-0,complete_components,component_weighted_sum,component_base_rebuilt
erick_davis__pan,Eric Davis,PAN,DEF,0.500449,0.500449,0.659343,0.571951,0.571951,-0,complete_components,component_weighted_sum,component_base_rebuilt
baghdad_bounedjah__alg,Baghdad Bounedjah,ALG,FWD,0.647023,0.647023,0.464274,0.564786,0.564786,0,complete_components,component_weighted_sum,component_base_rebuilt
axel_witsel__bel,Axel Witsel,BEL,MID,0.45885,0.45885,0.688275,0.562091,0.562091,-0,complete_components,component_weighted_sum,component_base_rebuilt
elisha_owusu__gha,Elisha Owusu,GHA,MID,0.583337,0.583337,0.534615,0.561412,0.561412,-0,complete_components,component_weighted_sum,component_base_rebuilt
ngel_romero__par,Angel Romero,PAR,FWD,0.835768,0.835768,0.224232,0.560577,0.560577,0,complete_components,component_weighted_sum,component_base_rebuilt
shurandy_sambo__cuw,Shurandy Sambo,CUW,DEF,0.510357,0.510357,0.621566,0.560401,0.560401,-0,complete_components,component_weighted_sum,component_base_rebuilt
joshua_brenet__cuw,Joshua Brenet,CUW,DEF,0.455969,0.455969,0.683953,0.558562,0.558562,0,complete_components,component_weighted_sum,component_base_rebuilt
relebohile_mofokeng__rsa,Relebohile Mofokeng,RSA,FWD,0.599819,0.599819,0.501636,0.555637,0.555637,0,complete_components,component_weighted_sum,component_base_rebuilt
kai_trewin__aus,Kai Trewin,AUS,DEF,0.627756,0.627756,0.466389,0.555141,0.555141,0,complete_components,component_weighted_sum,component_base_rebuilt
gustaf_nilsson__swe,Gustaf Nilsson,SWE,FWD,0.833253,0.833253,0.206571,0.551246,0.551246,-0,complete_components,component_weighted_sum,component_base_rebuilt
folarin_balogun__usa,Folarin Balogun,USA,FWD,0.44606,0.44606,0.66909,0.546423,0.546423,-0,complete_components,component_weighted_sum,component_base_rebuilt
liam_kelly__sco,Liam Kelly,SCO,GK,0.590625,0.590625,0.489411,0.545079,0.545079,0,complete_components,component_weighted_sum,component_base_rebuilt
jahkeele_rutty__can,Jahkeele Rutty,CAN,DEF,0.694326,0.694326,0.35788,0.542925,0.542925,-0,complete_components,component_weighted_sum,component_base_rebuilt
max_crocombe__nzl,Max Crocombe,NZL,GK,0.652139,0.652139,0.409108,0.542775,0.542775,-0,complete_components,component_weighted_sum,component_base_rebuilt
baris_alper_yilmaz__tur,Baris Alper Yilmaz,TUR,FWD,0.442461,0.442461,0.663691,0.542015,0.542015,0,complete_components,component_weighted_sum,component_base_rebuilt
duke_lacroix__hai,Duke Lacroix,HAI,DEF,0.442207,0.442207,0.663311,0.541704,0.541704,0,complete_components,component_weighted_sum,component_base_rebuilt
rocky_bushiri__cod,Rocky Bushiri,COD,DEF,0.653443,0.653443,0.394813,0.53706,0.53706,0,complete_components,component_weighted_sum,component_base_rebuilt
romelu_lukaku__bel,Romelu Lukaku,BEL,FWD,0.437165,0.437165,0.655748,0.535527,0.535527,-0,complete_components,component_weighted_sum,component_base_rebuilt
weston_mckennie__usa,Weston McKennie,USA,MID,0.437098,0.437098,0.655647,0.535445,0.535445,-0,complete_components,component_weighted_sum,component_base_rebuilt
youssef_en_nesyri__mar,Youssef En-Nesyri,MAR,FWD,0.616031,0.616031,0.434075,0.534151,0.534151,0,complete_components,component_weighted_sum,component_base_rebuilt
marvin_senaya__gha,Marvin Senaya,GHA,DEF,0.608253,0.608253,0.435612,0.530565,0.530564,-0.000001,complete_components,component_weighted_sum,component_base_rebuilt
alexander_bernhardsson__swe,Alexander Bernhardsson,SWE,MID,0.746042,0.746042,0.267177,0.530553,0.530553,0,complete_components,component_weighted_sum,component_base_rebuilt
juan_manuel_sanabria__uru,Juan Manuel Sanabria,URU,MID,0.722124,0.722124,0.295379,0.530089,0.530089,0,complete_components,component_weighted_sum,component_base_rebuilt
lucas_paqueta__bra,Lucas Paqueta,BRA,MID,0.431026,0.431026,0.646539,0.528007,0.528007,0,complete_components,component_weighted_sum,component_base_rebuilt
paik_seung_ho__kor,Seung-Ho Paik,KOR,MID,0.658599,0.658599,0.363229,0.525683,0.525682,-0.000001,complete_components,component_weighted_sum,component_base_rebuilt
deroy_duarte__cpv,Deroy Duarte,CPV,MID,0.429112,0.429112,0.643668,0.525662,0.525662,-0,complete_components,component_weighted_sum,component_base_rebuilt
angelo_stiller__ger,Angelo Stiller,GER,MID,0.428739,0.428739,0.643108,0.525205,0.525205,-0,complete_components,component_weighted_sum,component_base_rebuilt
ibrahim_sa_deh__jor,Ibrahim Saadeh,JOR,MID,0.474228,0.474228,0.579846,0.521756,0.521756,-0,complete_components,component_weighted_sum,component_base_rebuilt
cyle_christopher_larin__can,Cyle Christopher Larin,CAN,FWD,0.425143,0.425143,0.637714,0.5208,0.5208,0,complete_components,component_weighted_sum,component_base_rebuilt
jeremy_antonisse__cuw,Jeremy Antonisse,CUW,FWD,0.741115,0.741115,0.24485,0.517796,0.517796,0,complete_components,component_weighted_sum,component_base_rebuilt
kwasi_sibo__gha,Kwasi Sibo,GHA,MID,0.422538,0.422538,0.633807,0.517609,0.517609,-0,complete_components,component_weighted_sum,component_base_rebuilt
mohammed_sulaiman__ksa,Mohammed Sulaiman,KSA,DEF,0.58154,0.58154,0.434896,0.51555,0.51555,-0,complete_components,component_weighted_sum,component_base_rebuilt
munir_el_kajoui__mar,Munir El Kajoui,MAR,GK,0.552834,0.552834,0.467647,0.5145,0.5145,0,complete_components,component_weighted_sum,component_base_rebuilt
giovanni_reyna__usa,Giovanni Reyna,USA,MID,0.418754,0.418754,0.628131,0.512974,0.512974,0,complete_components,component_weighted_sum,component_base_rebuilt
souffian_el_karouani__mar,Souffian El Karouani,MAR,DEF,0.635106,0.635106,0.362747,0.512544,0.512545,0.000001,complete_components,component_weighted_sum,component_base_rebuilt
memphis_depay__ned,Memphis Depay,NED,FWD,0.418146,0.418146,0.627219,0.512229,0.512229,0,complete_components,component_weighted_sum,component_base_rebuilt
amer_jamous__jor,Amer Jamous,JOR,MID,0.440587,0.440587,0.596697,0.510837,0.510836,-0.000001,complete_components,component_weighted_sum,component_base_rebuilt
mohamed_zeki_amdouni__sui,Mohamed Zeki Amdouni,SUI,FWD,0.570338,0.570338,0.437181,0.510417,0.510417,-0,complete_components,component_weighted_sum,component_base_rebuilt
thalente_mbatha__rsa,Thalente Mbatha,RSA,MID,0.416263,0.416263,0.624394,0.509922,0.509922,0,complete_components,component_weighted_sum,component_base_rebuilt
