player_id,player_name,team_id,position,price,start_prob,current_goal_share_norm,current_assist_share_norm,current_sot_share_norm,fallback_goal_share_norm_variant_a,fallback_assist_share_norm_variant_a,fallback_sot_share_norm_variant_a,fallback_goal_share_norm_variant_b,fallback_assist_share_norm_variant_b,fallback_sot_share_norm_variant_b,current_base_ev,fallback_base_ev_variant_a,fallback_base_ev_variant_b,current_optimizer_ev,fallback_optimizer_ev_variant_a_estimate,fallback_optimizer_ev_variant_b_estimate,reference_population_size,price_band,round_context_source,confidence,reason_flags
guela_doue__civ,Guela Doue,CIV,DEF,3000000,0.6,,,,0.014000907512898902,0.020177000409755737,0.005826824075231424,0.009877835779575928,0.015761051425558115,0.0038631318493266916,1.372706,1.9662386932858253,1.8315871178631027,1.681565,2.008007831307204,1.9339494648247066,40,upper_mid,distributed_from_existing_optimizer_ev,medium,legacy_aggregate_round_context;match_1_assist_position_rate;match_1_goal_position_rate;match_1_sot_position_rate;match_2_assist_position_rate;match_2_goal_position_rate;match_2_sot_position_rate;match_3_assist_position_rate;match_3_goal_position_rate;match_3_sot_position_rate;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
fernando_muslera__uru,Fernando Muslera,URU,GK,4000000,0.3724,,,,0.0006272327762645707,0.0,0.0,0.0011130523106484115,0.0015529189836607567,0.0008421283620910723,1.598336,1.7387799261632442,1.7560601709790282,1.669852,1.7470964093897843,1.7566005440384656,40,premium,distributed_from_existing_optimizer_ev,high,legacy_aggregate_round_context;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
luka_vuskovic__cro,Luka Vuskovic,CRO,DEF,2000000,0.7872,,,,0.016948375072459405,0.021047704894320885,0.007812995772915084,3.201773431409911e-05,0.0,0.0,2.172352,2.093064906637836,1.3380616955962135,1.644434,1.6008261486508097,1.1855743825779175,40,budget,distributed_from_existing_optimizer_ev,low,assist_no_team_residual;legacy_aggregate_round_context;sot_no_team_residual;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
evan_n_dicka__civ,Evan N'Dicka,CIV,DEF,2500000,0.6561,,,,0.01258465268095995,0.022146504584656092,0.009817594477059655,0.00887864821698147,0.017299508874785655,0.006508976660085048,1.536721,1.6449282833433942,1.5588744328631183,1.643789,1.7033030558388669,1.655973438074715,40,lower_mid,distributed_from_existing_optimizer_ev,medium,legacy_aggregate_round_context;match_1_assist_position_rate;match_1_goal_position_rate;match_1_sot_position_rate;match_2_assist_position_rate;match_2_goal_position_rate;match_2_sot_position_rate;match_3_assist_position_rate;match_3_goal_position_rate;match_3_sot_position_rate;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
christian_pulisic__usa,Christian Pulisic,USA,FWD,4000000,0.827,,,,0.08144108606680998,0.05723511990476382,0.09083517725848143,0.04725603038917075,0.03341547664293225,0.054615049843160936,0.440974,3.273202379606317,2.0520721703691414,1.643096,3.2008219587834743,2.5292003437030277,40,premium,distributed_from_existing_optimizer_ev,high,high_priority_offensive_starter;legacy_aggregate_round_context;set_piece_role_available_not_used_as_direct_share;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
patrik_schick__cze,Patrik Schick,CZE,FWD,4500000,0.8543,,,,0.08774788997206326,0.05717024112856735,0.0998249321059746,0.07957237805996607,0.05051041898122236,0.09432438212858713,0.214204,3.9863956602650887,3.6474444776487265,1.634719,3.7094244131457987,3.5230012627067993,40,premium,distributed_from_existing_optimizer_ev,medium,high_priority_offensive_starter;legacy_aggregate_round_context;match_1_assist_position_rate;match_1_goal_position_rate;match_1_sot_position_rate;match_2_assist_position_rate;match_2_goal_position_rate;match_2_sot_position_rate;match_3_assist_position_rate;match_3_goal_position_rate;match_3_sot_position_rate
willer_ditta__col,Willer Ditta,COL,DEF,2500000,0.5257,,,,0.011317378844451846,0.01752662131297328,0.006664064388555804,0.00919379202287319,0.009786565759981075,0.00658680320594552,1.794549,1.7771794017983775,1.6625784619816746,1.626874,1.6173207709891075,1.554290254089921,40,lower_mid,distributed_from_existing_optimizer_ev,high,legacy_aggregate_round_context
sead_kolasinac__bih,Sead Kolasinac,BIH,DEF,2500000,0.645,,,,0.01243990722100245,0.023109852641024848,0.009445552988423221,0.002094528136089457,0.00500032072921679,0.001757090378852118,1.522429,1.6347278340678124,1.3203038610924498,1.622418,1.684182008737297,1.5112488236008474,40,lower_mid,distributed_from_existing_optimizer_ev,high,legacy_aggregate_round_context;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
david_alaba__aut,David Alaba,AUT,DEF,3000000,0.4441,,,,0.009709861039872791,0.01533887555138882,0.004454278537310912,0.0017669607534101573,0.0006317692520644776,0.0010730533216600623,1.486607,1.5683162037447036,1.3462890259593348,1.60503,1.649970412059587,1.5278554642776343,40,upper_mid,distributed_from_existing_optimizer_ev,high,legacy_aggregate_round_context;set_piece_role_available_not_used_as_direct_share;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
tae_seok_lee__kor,Tae-Seok Lee,KOR,DEF,2500000,0.6257,,,,0.011849693721776494,0.02049612575106048,0.00723682343367217,0.007727176351955115,0.01387648292310881,0.00426157025787737,1.527174,1.6025860883076657,1.4828435368942117,1.601536,1.6430126985692162,1.5771542952918165,40,lower_mid,distributed_from_existing_optimizer_ev,high,legacy_aggregate_round_context;variant_a_assist_team_share_over_cap
liberato_cacace__nzl,Liberato Cacace,NZL,DEF,2500000,0.8505,,,,0.013131489214031298,0.02246729392069205,0.007379821275517816,0.0022935215213367222,0.008275930193640474,0.00035182784389835737,1.353453,1.4818979815021922,1.2254588699476248,1.596426,1.667070739826206,1.5260292284711938,40,lower_mid,distributed_from_existing_optimizer_ev,high,legacy_aggregate_round_context;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap
