player_id,player_name,team_id,position,start_prob,minute_share,match_1_start_minutes_ev,match_1_goal_ev,match_1_assist_ev,match_1_shots_on_target_ev,match_1_weighted_match_ev,weighted_group_stage_ev,component_source,component_recomputed,suspected_issue
marko_arnautovi__aut,Marko Arnautovic,AUT,FWD,0.6508,0.059164,43.504678,0.28192,0.094169,0.180805,1.792876,3.215808,existing_components,no,ok
willian_pacho__ecu,Willian Pacho,ECU,DEF,0.9365,0.085136,70.712096,0.019824,0.022065,0.006678,1.145441,3.214547,existing_components,yes,ok
oscar_bobb__nor,Oscar Bobb,NOR,MID,0.6439,0.058536,43.55082,0.186527,0.068838,0.127425,1.462743,3.211383,existing_components,yes,ok
ruben_vargas__sui,Ruben Vargas,SUI,FWD,0.9254,0.084127,61.461366,0.168907,0.058539,0.118313,1.164203,3.210891,existing_components,yes,ok
marc_cucurella__esp,Marc Cucurella,ESP,DEF,0.5921,0.053827,44.480328,0.015625,0.015629,0.002858,1.156983,3.200354,existing_components,no,ok
mikel_oyarzabal__esp,Mikel Oyarzabal,ESP,FWD,0.5637,0.051245,37.739715,0.146424,0.062202,0.085408,1.084271,3.195667,existing_components,no,ok
diogo_costa__por,Diogo Costa,POR,GK,0.7574,0.068855,60.957824,0.0,0.0,0.0,1.261676,3.186807,existing_components,yes,ok
dominik_livakovi__cro,Dominik Livakovic,CRO,GK,0.9486,0.086236,76.147804,0.0,0.0,0.0,0.612377,3.181191,existing_components,yes,ok
florian_wirtz__ger,Florian Wirtz,GER,MID,0.9217,0.083791,65.494159,0.142786,0.110174,0.05932,1.329836,3.153211,existing_components,yes,ok
kevin_de_bruyne__bel,Kevin De Bruyne,BEL,MID,0.9117,0.082882,64.315877,0.131263,0.080817,0.048438,1.076865,3.152598,existing_components,yes,ok
jeremy_doku__bel,Jeremy Doku,BEL,FWD,0.6507,0.059155,43.598852,0.148886,0.079063,0.11062,1.074515,3.136516,existing_components,yes,ok
camilo_vargas__col,Camilo Vargas,COL,GK,0.7895,0.071773,62.693406,0.0,0.0,0.0,1.275228,3.125979,existing_components,yes,ok
lyle_foster__rsa,Lyle Foster,RSA,FWD,0.8284,0.075309,55.962562,0.106791,0.065276,0.203989,0.833848,3.124486,existing_components,yes,ok
theo_hern_ndez__fra,Theo Hernandez,FRA,DEF,0.6651,0.060464,49.778744,0.019643,0.025261,0.004491,1.066909,3.118353,existing_components,yes,ok
pedro_porro__esp,Pedro Porro,ESP,DEF,0.5721,0.052009,42.830839,0.014265,0.025684,0.003132,1.128175,3.096845,existing_components,no,ok
marc_gu_hi__eng,Marc Guehi,ENG,DEF,0.6292,0.0572,47.076115,0.01581,0.061796,0.003872,0.978135,3.090987,existing_components,yes,ok
iliman_ndiaye__sen,Iliman Ndiaye,SEN,MID,0.8253,0.075027,55.362775,0.06492,0.029928,0.131332,0.548467,3.084978,existing_components,yes,ok
julio_soler__arg,Julio Soler,ARG,DEF,0.8253,0.075027,,,,,1.139938,3.082891,existing_components,yes,ok
leandro_trossard__bel,Leandro Trossard,BEL,FWD,0.5867,0.053336,39.266071,0.152902,0.069997,0.11353,1.051808,3.071419,existing_components,yes,ok
donyell_malen__ned,Donyell Malen,NED,FWD,0.7971,0.072464,53.020701,0.137745,0.069253,0.135379,1.003406,3.042961,existing_components,yes,ok
ugurcan_cakir__tur,Ugurcan Cakir,TUR,GK,0.909,0.082636,,,,,1.233541,3.039943,existing_components,yes,ok
piero_hincapi__ecu,Piero Hincapie,ECU,DEF,0.9131,0.083009,68.317229,0.016235,0.017281,0.004981,1.082684,3.03485,existing_components,yes,ok
johan_mojica__col,Johan Mojica,COL,DEF,0.8098,0.073618,61.07475,0.024345,0.020871,0.005937,1.235994,3.012132,existing_components,yes,ok
arda_g_ler__tur,Arda Güler,TUR,MID,0.6698,0.060891,47.981793,0.164523,0.085434,0.0516,1.243161,2.996502,existing_components,no,ok
nico_o_reilly__eng,Nico O'Reilly,ENG,DEF,0.809,0.073545,,,,,0.925111,2.956691,existing_components,yes,ok
nahuel_molina__arg,Nahuel Molina,ARG,DEF,0.6634,0.060309,49.514186,0.020756,0.017795,0.005694,1.105438,2.947855,existing_components,yes,ok
math_as_olivera__uru,Mathias Olivera,URU,DEF,0.8758,0.079618,65.530859,0.022717,0.019575,0.004776,1.257276,2.937075,existing_components,yes,ok
luis_d_az__col,Luis Diaz,COL,FWD,0.9324,0.084764,66.440959,0.167506,0.100915,0.053407,1.179707,2.935744,existing_components,yes,ok
kristoffer_ajer__nor,Kristoffer Ajer,NOR,DEF,0.9075,0.0825,67.898242,0.025112,0.023325,0.005742,1.489639,2.926775,existing_components,yes,ok
declan_rice__eng,Declan Rice,ENG,MID,0.9181,0.083464,65.419215,0.096695,0.101894,0.046958,0.96386,2.926274,existing_components,yes,ok
