team_id,player_id,player_name,raw_start_prob,raw_start_prob_source,competitive_starts,recent_starts,availability_prob,context_override,team_gk_rank,normalized_gk_start_prob,normalized_prob_sum_team,repair_reason
BEL,thibaut_courtois__bel,Thibaut Courtois,0.8706,transfermarkt_availability_split_2026_06_06,108.0,5,0.7093,,1,0.8305,1.0001,team_gk_exclusive_normalization
BEL,matz_sels__bel,Matz Sels,0.2951,transfermarkt_availability_split_2026_06_06,12.0,,0.877,,2,0.0771,1.0001,team_gk_exclusive_normalization
BEL,maarten_vandevoordt__bel,Maarten Vandevoordt,0.047,transfermarkt_availability_split_2026_06_06,0.0,,0.8269,,5,0.0151,1.0001,team_gk_exclusive_normalization
BIH,nikola_vasilj__bih,Nikola Vasilj,0.6328,transfermarkt_availability_split_2026_06_06,24.0,11,0.9275,,1,0.9143,1.0,team_gk_exclusive_normalization
BIH,martin_zlomisli__bih,Martin Zlomislic,0.282,transfermarkt_availability_split_2026_06_06,3.0,,0.8333,,2,0.0606,1.0,team_gk_exclusive_normalization
BIH,osman_hadzikic__bih,Osman Hadzikic,0.0489,transfermarkt_availability_split_2026_06_06,0.0,0,0.9378,,3,0.0251,1.0,team_gk_exclusive_normalization
BRA,ederson_moraes__bra,Ederson Moraes,0.3409,transfermarkt_availability_split_2026_06_06,31.0,2,0.7716,,3,0.0543,1.0001,team_gk_exclusive_normalization
BRA,weverton__bra,Weverton,0.043,transfermarkt_availability_split_2026_06_06,9.0,0,0.6,,4,0.0151,1.0001,team_gk_exclusive_normalization
BRA,alisson_becker__bra,Alisson Becker,0.9054,transfermarkt_availability_split_2026_06_06,77.0,6,0.9213,,1,0.7986,1.0001,team_gk_exclusive_normalization
BRA,bento_krepski__bra,Bento Krepski,0.5232,transfermarkt_availability_split_2026_06_06,6.0,,0.9453,,2,0.1321,1.0001,team_gk_exclusive_normalization
CAN,owen_goodman__can,Owen Goodman,0.046,transfermarkt_availability_split_2026_06_06,0.0,0,0.7702,,3,0.0251,1.0001,team_gk_exclusive_normalization
CAN,dayne_st_clair__can,Dayne St. Clair,0.3332,transfermarkt_availability_split_2026_06_06,19.0,10,0.893,,2,0.2395,1.0001,team_gk_exclusive_normalization
CAN,maxime_cr_peau__can,Maxime Crepeau,0.5751,transfermarkt_availability_split_2026_06_06,30.0,7,0.8555,,1,0.7355,1.0001,team_gk_exclusive_normalization
CIV,yahia_fofana__civ,Yahia Fofana,0.695,transfermarkt_availability_split_2026_06_06,34.0,,0.9597,,1,0.892,1.0,team_gk_exclusive_normalization
CIV,mohamed_kone__civ,Mohamed Kone,0.0492,transfermarkt_availability_split_2026_06_06,0.0,,0.9529,,3,0.0251,1.0,team_gk_exclusive_normalization
CIV,alban_lafont__civ,Alban Lafont,0.3096,transfermarkt_availability_split_2026_06_06,4.0,,0.9294,,2,0.0829,1.0,team_gk_exclusive_normalization
COD,timothy_fayulu__cod,Timothy Fayulu,0.0462,transfermarkt_availability_split_2026_06_06,2.0,3,0.7807,,2,0.0255,1.0,team_gk_exclusive_normalization
COD,matthieu_epolo__cod,Matthieu Epolo,0.0471,transfermarkt_availability_split_2026_06_06,0.0,2,0.8323,,3,0.0251,1.0,team_gk_exclusive_normalization
COD,lionel_mpasi_nzau__cod,Lionel Mpasi Nzau,0.8077,transfermarkt_availability_split_2026_06_06,26.0,,0.7879,,1,0.9494,1.0,team_gk_exclusive_normalization
COL,alvaro_montero__col,Alvaro Montero,0.2602,transfermarkt_availability_split_2026_06_06,9.0,3,0.7412,,3,0.0888,1.0,team_gk_exclusive_normalization
COL,david_ospina__col,David Ospina,0.1435,transfermarkt_availability_split_2026_06_06,128.0,1,0.8869,,2,0.1217,1.0,team_gk_exclusive_normalization
COL,camilo_vargas__col,Camilo Vargas,0.582,transfermarkt_availability_split_2026_06_06,40.0,5,0.8272,,1,0.7895,1.0,team_gk_exclusive_normalization
CPV,cj_dos_santos__cpv,CJ Dos Santos,0.0456,transfermarkt_availability_split_2026_06_06,0.0,,0.75,,3,0.0251,1.0,team_gk_exclusive_normalization
CPV,marcio_rosa__cpv,Marcio Rosa,0.2449,transfermarkt_availability_split_2026_06_06,7.0,,0.7641,,2,0.0464,1.0,team_gk_exclusive_normalization
