player_id,player_name,team_id,position,price_m,start_prob,cohort,base_ev,old_price_quality_ev,raw_price_quality_ev,appearance_scaled_price_quality_ev,base_capped_price_quality_ev,selected_price_quality_ev,old_optimizer_ev,raw_optimizer_ev,appearance_scaled_optimizer_ev,base_capped_optimizer_ev,selected_optimizer_ev,selected_method
kylian_mbapp__fra,Kylian Mbappe,FRA,FWD,10,0.6765,premium,3.797085,3.907687,4.042789,3.907067,4.042789,3.907067,3.797085,3.907652,3.846577,3.907652,3.846577,appearance_scaled_then_base_capped
jordan_pickford__eng,Jordan Pickford,ENG,GK,5,0.8648,likely_starter,3.770347,3.938417,3.938417,3.938417,3.938417,3.938417,3.770347,3.845979,3.845979,3.845979,3.845979,raw_for_likely_starter
marquinhos__bra,Marquinhos,BRA,DEF,5,0.9004,likely_starter,3.985676,3.600487,3.600488,3.600488,3.600488,3.600488,3.985676,3.812341,3.812341,3.812341,3.812341,raw_for_likely_starter
silvan_widmer__sui,Silvan Widmer,SUI,DEF,3,0.84,cheap_real_starter,4.572653,2.758025,2.758026,2.758026,2.758026,2.758026,4.572653,3.756071,3.756071,3.756071,3.756071,raw_for_likely_starter
nico_williams__esp,Nico Williams,ESP,FWD,4.5,0.838,likely_starter,4.062402,3.370426,3.369898,3.369898,3.369898,3.369898,3.751013,3.750775,3.750775,3.750775,3.750775,raw_for_likely_starter
mohamed_salah__egy,Mohamed Salah,EGY,FWD,5,0.8587,likely_starter,3.9214,3.542257,3.5417,3.5417,3.5417,3.5417,3.9214,3.750535,3.750535,3.750535,3.750535,raw_for_likely_starter
denzel_dumfries__ned,Denzel Dumfries,NED,DEF,5,0.9243,likely_starter,3.847036,3.600487,3.600488,3.600488,3.600488,3.600488,3.847036,3.736089,3.736089,3.736089,3.736089,raw_for_likely_starter
maxim_de_cuyper__bel,Maxim De Cuyper,BEL,DEF,4,0.8825,likely_starter,3.994531,3.389872,3.389873,3.389873,3.389873,3.389873,3.994531,3.722435,3.722435,3.722435,3.722435,raw_for_likely_starter
raul_rangel__mex,Raul Rangel,MEX,GK,4,0.9397,likely_starter,4.03893,3.303122,3.303122,3.303122,3.303122,3.303122,3.707816,3.707816,3.707816,3.707816,3.707816,raw_for_likely_starter
cristian_romero__arg,Cristian Romero,ARG,DEF,4,0.9113,likely_starter,3.961887,3.389872,3.389873,3.389873,3.389873,3.389873,3.961887,3.704481,3.704481,3.704481,3.704481,raw_for_likely_starter
erling_haaland__nor,Erling Haaland,NOR,FWD,8.5,0.9058,premium,3.442622,4.000473,3.999838,3.999838,3.999838,3.999838,3.442622,3.693369,3.693369,3.693369,3.693369,raw_for_likely_starter
gregor_kobel__sui,Gregor Kobel,SUI,GK,4,0.9174,likely_starter,3.984932,3.303122,3.303122,3.303122,3.303122,3.303122,3.984932,3.678118,3.678118,3.678118,3.678118,raw_for_likely_starter
sadio_man__sen,Sadio Mane,SEN,FWD,5,0.8924,likely_starter,3.774531,3.542257,3.5417,3.5417,3.5417,3.5417,3.774531,3.669757,3.669757,3.669757,3.669757,raw_for_likely_starter
r_ben_dias__por,Ruben Dias,POR,DEF,4,0.9428,likely_starter,3.830602,3.389872,3.389873,3.389873,3.389873,3.389873,3.830602,3.632274,3.632274,3.632274,3.632274,raw_for_likely_starter
thibaut_courtois__bel,Thibaut Courtois,BEL,GK,4.5,0.8305,likely_starter,3.553408,3.681274,3.681274,3.681274,3.681274,3.681274,3.553408,3.610948,3.610948,3.610948,3.610948,raw_for_likely_starter
matheus_cunha__bra,Matheus Cunha,BRA,FWD,4.5,0.7528,likely_starter,3.800966,3.370426,3.369898,3.369898,3.369898,3.369898,3.800966,3.606985,3.606985,3.606985,3.606985,raw_for_likely_starter
jonathan_tah__ger,Jonathan Tah,GER,DEF,4.5,0.8398,likely_starter,3.606838,3.530282,3.530283,3.530283,3.530283,3.530283,3.606838,3.572388,3.572388,3.572388,3.572388,raw_for_likely_starter
ezri_konsa__eng,Ezri Konsa,ENG,DEF,4.5,0.8094,likely_starter,3.570195,3.530282,3.530283,3.530283,3.530283,3.530283,3.552234,3.552235,3.552235,3.552235,3.552235,raw_for_likely_starter
aymeric_laporte__esp,Aymeric Laporte,ESP,DEF,4.5,0.6498,other,3.744546,3.27711,3.530283,3.277112,3.530283,3.277112,3.5342,3.648128,3.534201,3.648128,3.534201,appearance_scaled_then_base_capped
diogo_costa__por,Diogo Costa,POR,GK,5,0.7574,likely_starter,3.186806,3.938417,3.938417,3.938417,3.938417,3.938417,3.186806,3.525031,3.525031,3.525031,3.525031,raw_for_likely_starter
bart_verbruggen__ned,Bart Verbruggen,NED,GK,4.5,0.9051,likely_starter,3.333402,3.681274,3.681274,3.681274,3.681274,3.681274,3.333402,3.489944,3.489944,3.489944,3.489944,raw_for_likely_starter
manuel_akanji__sui,Manuel Akanji,SUI,DEF,3.5,0.939,likely_starter,3.703387,3.190341,3.190342,3.190342,3.190342,3.190342,3.703387,3.472517,3.472517,3.472517,3.472517,raw_for_likely_starter
c_sar_montes__mex,Cesar Montes,MEX,DEF,3,0.72,cheap_real_starter,4.055522,2.758025,2.758026,2.758026,2.758026,2.758026,3.471648,3.471649,3.471649,3.471649,3.471649,raw_for_likely_starter
enner_valencia__ecu,Enner Valencia,ECU,FWD,4,0.883,likely_starter,3.762889,3.112679,3.112195,3.112195,3.112195,3.112195,3.762889,3.470077,3.470077,3.470077,3.470077,raw_for_likely_starter
nico_schlotterbeck__ger,Nico Schlotterbeck,GER,DEF,4,0.8204,likely_starter,3.514373,3.389872,3.389873,3.389873,3.389873,3.389873,3.514373,3.458348,3.458348,3.458348,3.458348,raw_for_likely_starter
virgil_van_dijk__ned,Virgil van Dijk,NED,DEF,5,0.9438,likely_starter,3.315798,3.600487,3.600488,3.600488,3.600488,3.600488,3.315798,3.443909,3.443909,3.443909,3.443909,raw_for_likely_starter
omar_marmoush__egy,Omar Marmoush,EGY,FWD,5,0.8572,likely_starter,3.330763,3.542257,3.5417,3.5417,3.5417,3.5417,3.330763,3.425685,3.425685,3.425685,3.425685,raw_for_likely_starter
nuno_mendes__por,Nuno Mendes,POR,DEF,4.5,0.6832,other,3.357561,3.445555,3.530283,3.445556,3.530283,3.445556,3.357561,3.435286,3.397159,3.435286,3.397159,appearance_scaled_then_base_capped
jeremy_doku__bel,Jeremy Doku,BEL,FWD,6.5,0.6507,premium,3.136516,3.605584,3.878145,3.605013,3.878145,3.605013,3.136516,3.470249,3.34734,3.470249,3.34734,appearance_scaled_then_base_capped
rjan_nyland__nor,Ørjan Nyland,NOR,GK,4,0.9496,likely_starter,3.334171,3.303122,3.303122,3.303122,3.303122,3.303122,3.334171,3.320199,3.320199,3.320199,3.320199,raw_for_likely_starter
alexis_mac_allister__arg,Alexis Mac Allister,ARG,MID,4.5,0.8573,likely_starter,3.718666,2.808772,2.808773,2.808773,2.808773,2.808773,3.718666,3.309214,3.309214,3.309214,3.309214,raw_for_likely_starter
richie_laryea__can,Richie Laryea,CAN,DEF,3,0.9347,cheap_real_starter,3.752641,2.758025,2.758026,2.758026,2.758026,2.758026,3.752641,3.305064,3.305064,3.305064,3.305064,raw_for_likely_starter
jo_ko_gvardiol__cro,Josko Gvardiol,CRO,DEF,3.5,0.9082,likely_starter,3.357376,3.190341,3.190342,3.190342,3.190342,3.190342,3.357376,3.282211,3.282211,3.282211,3.282211,raw_for_likely_starter
davinson_s_nchez__col,Davinson Sanchez,COL,DEF,3.5,0.8947,likely_starter,3.344405,3.190341,3.190342,3.190342,3.190342,3.190342,3.344405,3.275077,3.275077,3.275077,3.275077,raw_for_likely_starter
bruno_fernandes__por,Bruno Fernandes,POR,MID,7,0.9203,premium,3.500102,2.996767,2.996768,2.996768,2.996768,2.996768,3.500102,3.273602,3.273602,3.273602,3.273602,raw_for_likely_starter
luis_d_az__col,Luis Diaz,COL,FWD,5.5,0.9324,likely_starter,2.935743,3.68545,3.684868,3.684868,3.684868,3.684868,2.935743,3.272849,3.272849,3.272849,3.272849,raw_for_likely_starter
tajon_buchanan__can,Tajon Buchanan,CAN,MID,3.5,0.8726,likely_starter,3.895943,2.505892,2.505892,2.505892,2.505892,2.505892,3.895943,3.27042,3.27042,3.27042,3.27042,raw_for_likely_starter
john_yeboah__ecu,John Yeboah,ECU,MID,3,0.8649,cheap_real_starter,4.249854,2.063755,2.063756,2.063756,2.063756,2.063756,4.249854,3.26611,3.26611,3.26611,3.26611,raw_for_likely_starter
dominik_livakovi__cro,Dominik Livakovic,CRO,GK,4,0.9486,likely_starter,3.181191,3.303122,3.303122,3.303122,3.303122,3.303122,3.181191,3.23606,3.23606,3.23606,3.23606,raw_for_likely_starter
theo_hern_ndez__fra,Theo Hernandez,FRA,DEF,4.5,0.6651,other,3.118353,3.354272,3.530283,3.354273,3.530283,3.354273,3.224517,3.303721,3.224517,3.303721,3.224517,appearance_scaled_then_base_capped
marc_cucurella__esp,Marc Cucurella,ESP,DEF,4.5,0.5921,other,3.409055,2.986114,3.530283,2.986115,3.530283,2.986115,3.218732,3.463608,3.218732,3.463608,3.218732,appearance_scaled_then_base_capped
juli_n_lvarez__arg,Julian Alvarez,ARG,FWD,6,0.6367,premium,3.01646,3.462887,3.806561,3.462339,3.806561,3.462339,3.01646,3.372005,3.217106,3.372005,3.217106,appearance_scaled_then_base_capped
marko_arnautovi__aut,Marko Arnautovic,AUT,FWD,4.5,0.6508,other,3.282762,3.133533,3.369898,3.133042,3.369898,3.133042,3.215609,3.321973,3.215388,3.321973,3.215388,appearance_scaled_then_base_capped
chris_richards__usa,Chris Richards,USA,DEF,3,0.8242,cheap_real_starter,3.585952,2.758025,2.758026,2.758026,2.758026,2.758026,3.585952,3.213385,3.213385,3.213385,3.213385,raw_for_likely_starter
johan_v_squez__mex,Johan Vasquez,MEX,DEF,3,0.8335,cheap_real_starter,3.57382,2.758025,2.758026,2.758026,2.758026,2.758026,3.57382,3.206713,3.206713,3.206713,3.206713,raw_for_likely_starter
joshua_kimmich__ger,Joshua Kimmich,GER,MID,5,0.9521,likely_starter,3.465291,2.888844,2.888845,2.888845,2.888845,2.888845,3.465291,3.20589,3.20589,3.20589,3.20589,raw_for_likely_starter
camilo_vargas__col,Camilo Vargas,COL,GK,4,0.7895,likely_starter,3.125979,3.303122,3.303122,3.303122,3.303122,3.303122,3.125979,3.205693,3.205693,3.205693,3.205693,raw_for_likely_starter
mikel_oyarzabal__esp,Mikel Oyarzabal,ESP,FWD,7.5,0.5637,premium,3.206031,3.181165,3.949729,3.180661,3.949729,3.180661,3.194841,3.540695,3.194615,3.540695,3.194615,appearance_scaled_then_base_capped
donyell_malen__ned,Donyell Malen,NED,FWD,4.5,0.7971,likely_starter,3.042962,3.370426,3.369898,3.369898,3.369898,3.369898,3.042962,3.190083,3.190083,3.190083,3.190083,raw_for_likely_starter
marcel_sabitzer__aut,Marcel Sabitzer,AUT,MID,4.5,0.9004,likely_starter,3.481204,2.808772,2.808773,2.808773,2.808773,2.808773,3.17861,3.17861,3.17861,3.17861,3.17861,raw_for_likely_starter
arthur_theate__bel,Arthur Theate,BEL,DEF,3,0.86,cheap_real_starter,3.517551,2.758025,2.758026,2.758026,2.758026,2.758026,3.517551,3.175765,3.175765,3.175765,3.175765,raw_for_likely_starter
dan_ndoye__sui,Dan Ndoye,SUI,FWD,4,0.902,likely_starter,3.224577,3.112679,3.112195,3.112195,3.112195,3.112195,3.224577,3.174005,3.174005,3.174005,3.174005,raw_for_likely_starter
gon_alo_ramos__por,Goncalo Ramos,POR,FWD,5,0.7482,likely_starter,2.869582,3.542257,3.5417,3.5417,3.5417,3.5417,2.869582,3.172035,3.172035,3.172035,3.172035,raw_for_likely_starter
antonio_nusa__nor,Antonio Nusa,NOR,MID,3.5,0.82,likely_starter,3.697805,2.505892,2.505892,2.505892,2.505892,2.505892,3.161444,3.161444,3.161444,3.161444,3.161444,raw_for_likely_starter
ugurcan_cakir__tur,Ugurcan Cakir,TUR,GK,4,0.909,likely_starter,3.039943,3.303122,3.303122,3.303122,3.303122,3.303122,3.039943,3.158374,3.158374,3.158374,3.158374,raw_for_likely_starter
nico_o_reilly__eng,Nico O'Reilly,ENG,DEF,4,0.809,likely_starter,2.956691,3.389872,3.389873,3.389873,3.389873,3.389873,3.151622,3.151623,3.151623,3.151623,3.151623,raw_for_likely_starter
math_as_olivera__uru,Mathias Olivera,URU,DEF,4,0.8758,likely_starter,2.937076,3.389872,3.389873,3.389873,3.389873,3.389873,2.937076,3.140835,3.140835,3.140835,3.140835,raw_for_likely_starter
remo_freuler__sui,Remo Freuler,SUI,MID,3.5,0.9362,likely_starter,3.647942,2.505892,2.505892,2.505892,2.505892,2.505892,3.647942,3.134019,3.134019,3.134019,3.134019,raw_for_likely_starter
marc_gu_hi__eng,Marc Guehi,ENG,DEF,4.5,0.6292,other,3.090987,3.173219,3.530283,3.17322,3.530283,3.17322,3.127991,3.28867,3.127992,3.28867,3.127992,appearance_scaled_then_base_capped
nico_elvedi__sui,Nico Elvedi,SUI,DEF,3,0.8748,cheap_real_starter,3.420823,2.758025,2.758026,2.758026,2.758026,2.758026,3.122564,3.122564,3.122564,3.122564,3.122564,raw_for_likely_starter
casemiro__bra,Casemiro,BRA,MID,4.5,0.824,likely_starter,3.377417,2.808772,2.808773,2.808773,2.808773,2.808773,3.377417,3.121527,3.121527,3.121527,3.121527,raw_for_likely_starter
pedro_porro__esp,Pedro Porro,ESP,DEF,4.5,0.5721,other,3.302255,2.885249,3.530283,2.88525,3.530283,2.88525,3.114602,3.404868,3.114603,3.404868,3.114603,appearance_scaled_then_base_capped
ronald_ara_jo__uru,Ronald Araujo,URU,DEF,4.5,0.844,likely_starter,2.770868,3.530282,3.530283,3.530283,3.530283,3.530283,2.770868,3.112605,3.112605,3.112605,3.112605,raw_for_likely_starter
scott_mctominay__sco,Scott McTominay,SCO,MID,4.5,0.9326,likely_starter,3.360177,2.808772,2.808773,2.808773,2.808773,2.808773,3.360177,3.112045,3.112045,3.112045,3.112045,raw_for_likely_starter
piero_hincapi__ecu,Piero Hincapie,ECU,DEF,3.5,0.9131,likely_starter,3.034849,3.190341,3.190342,3.190342,3.190342,3.190342,3.034849,3.104821,3.104821,3.104821,3.104821,raw_for_likely_starter
johan_mojica__col,Johan Mojica,COL,DEF,3.5,0.8098,likely_starter,3.012133,3.190341,3.190342,3.190342,3.190342,3.190342,3.012133,3.092327,3.092327,3.092327,3.092327,raw_for_likely_starter
alphonso_davies__can,Alphonso Davies,CAN,DEF,4,0.892,likely_starter,2.843285,3.389872,3.389873,3.389873,3.389873,3.389873,2.843285,3.08925,3.08925,3.08925,3.08925,raw_for_likely_starter
alistair_johnston__can,Alistair Johnston,CAN,DEF,3,0.9095,cheap_real_starter,3.358716,2.758025,2.758026,2.758026,2.758026,2.758026,3.088405,3.088406,3.088406,3.088406,3.088406,raw_for_likely_starter
florian_wirtz__ger,Florian Wirtz,GER,MID,7.5,0.9217,premium,3.153211,3.007211,3.007212,3.007212,3.007212,3.007212,3.087511,3.087511,3.087511,3.087511,3.087511,raw_for_likely_starter
kevin_de_bruyne__bel,Kevin De Bruyne,BEL,MID,7,0.9117,premium,3.152598,2.996767,2.996768,2.996768,2.996768,2.996768,3.152598,3.082475,3.082475,3.082475,3.082475,raw_for_likely_starter
leandro_trossard__bel,Leandro Trossard,BEL,FWD,5.5,0.5867,other,3.071419,3.088933,3.684868,3.088446,3.684868,3.088446,3.0793,3.347471,3.079081,3.347471,3.079081,appearance_scaled_then_base_capped
mehdi_taremi__irn,Mehdi Taremi,IRN,FWD,3.5,0.9306,likely_starter,3.369437,2.7189,2.718483,2.718483,2.718483,2.718483,3.369437,3.076508,3.076508,3.076508,3.076508,raw_for_likely_starter
achraf_hakimi__mar,Achraf Hakimi,MAR,DEF,4,0.8511,likely_starter,2.806512,3.389872,3.389873,3.389873,3.389873,3.389873,2.806512,3.069024,3.069024,3.069024,3.069024,raw_for_likely_starter
nahuel_molina__arg,Nahuel Molina,ARG,DEF,4,0.6634,other,2.947856,3.21263,3.389873,3.212631,3.389873,3.212631,2.947856,3.146764,3.067005,3.146764,3.067005,appearance_scaled_then_base_capped
zion_suzuki__jpn,Zion Suzuki,JPN,GK,4,0.9433,likely_starter,2.869267,3.303122,3.303122,3.303122,3.303122,3.303122,2.869267,3.064502,3.064502,3.064502,3.064502,raw_for_likely_starter
gonzalo_plata__ecu,Gonzalo Plata,ECU,MID,3.5,0.7817,likely_starter,3.503135,2.505892,2.505892,2.505892,2.505892,2.505892,3.503135,3.054376,3.054376,3.054376,3.054376,raw_for_likely_starter
alexander_s_rloth__nor,Alexander Sørloth,NOR,FWD,4.5,0.8805,likely_starter,2.766437,3.370426,3.369898,3.369898,3.369898,3.369898,2.766437,3.037994,3.037994,3.037994,3.037994,raw_for_likely_starter
willian_pacho__ecu,Willian Pacho,ECU,DEF,3,0.9365,cheap_real_starter,3.214548,2.758025,2.758026,2.758026,2.758026,2.758026,3.214548,3.009113,3.009113,3.009113,3.009113,raw_for_likely_starter
dayot_upamecano__fra,Dayot Upamecano,FRA,DEF,4,0.6508,other,2.880738,3.151612,3.389873,3.151613,3.389873,3.151613,2.880738,3.109849,3.002632,3.109849,3.002632,appearance_scaled_then_base_capped
arda_g_ler__tur,Arda Güler,TUR,MID,4.5,0.6698,other,3.250832,2.687594,2.808773,2.687595,2.808773,2.687595,3.250832,3.051905,2.997375,3.051905,2.997375,appearance_scaled_then_base_capped
ruben_vargas__sui,Ruben Vargas,SUI,FWD,3.5,0.9254,likely_starter,3.210892,2.7189,2.718483,2.718483,2.718483,2.718483,3.210892,2.989308,2.989308,2.989308,2.989308,raw_for_likely_starter
nicol_s_tagliafico__arg,Nicolas Tagliafico,ARG,DEF,4,0.6441,other,2.854318,3.119166,3.389873,3.119167,3.389873,3.119167,2.854318,3.095318,2.9735,3.095318,2.9735,appearance_scaled_then_base_capped
raphinha__bra,Raphinha,BRA,FWD,6.5,0.86,premium,2.198878,3.87876,3.878145,3.878145,3.298317,3.878145,2.198878,2.954548,2.954548,2.693626,2.954548,raw_for_likely_starter
lyle_foster__rsa,Lyle Foster,RSA,FWD,3.5,0.8284,likely_starter,3.124491,2.7189,2.718483,2.718483,2.718483,2.718483,3.124491,2.941787,2.941787,2.941787,2.941787,raw_for_likely_starter
julio_soler__arg,Julio Soler,ARG,DEF,3,0.8253,cheap_real_starter,3.082891,2.758025,2.758026,2.758026,2.758026,2.758026,3.082891,2.936702,2.936702,2.936702,2.936702,raw_for_likely_starter
john_stones__eng,John Stones,ENG,DEF,4,0.6535,other,2.71814,3.164687,3.389873,3.164688,3.389873,3.164688,2.71814,3.02042,2.919087,3.02042,2.919087,appearance_scaled_then_base_capped
alexander_schlager__aut,Alexander Schlager,AUT,GK,3.5,0.921,likely_starter,3.047049,2.743457,2.743457,2.743457,2.743457,2.743457,3.047049,2.910433,2.910433,2.910433,2.910433,raw_for_likely_starter
gabriel_magalh_es__bra,Gabriel Magalhaes,BRA,DEF,4.5,0.6041,other,2.753007,3.046633,3.530283,3.046634,3.530283,3.046634,2.753007,3.102781,2.885139,3.102781,2.885139,appearance_scaled_then_base_capped
jules_kounde__fra,Jules Kounde,FRA,DEF,3.5,0.6814,other,2.702045,3.105569,3.190342,3.10557,3.190342,3.10557,2.702045,2.921779,2.883631,2.921779,2.883631,appearance_scaled_then_base_capped
jo_o_cancelo__por,João Cancelo,POR,DEF,5,0.6475,other,2.515088,3.330451,3.600488,3.330452,3.600488,3.330452,2.515088,3.003518,2.882002,3.003518,2.882002,appearance_scaled_then_base_capped
declan_rice__eng,Declan Rice,ENG,MID,4.5,0.9181,likely_starter,2.926274,2.808772,2.808773,2.808773,2.808773,2.808773,2.926274,2.873399,2.873399,2.873399,2.873399,raw_for_likely_starter
bukayo_saka__eng,Bukayo Saka,ENG,FWD,6.5,0.6461,premium,2.327682,3.491523,3.878145,3.579528,3.491523,3.491523,2.327682,3.02539,2.891013,2.85141,2.85141,appearance_scaled_then_base_capped
kristoffer_ajer__nor,Kristoffer Ajer,NOR,DEF,3,0.9075,cheap_real_starter,2.926775,2.758025,2.758026,2.758026,2.758026,2.758026,2.926775,2.850838,2.850838,2.850838,2.850838,raw_for_likely_starter
jamal_musiala__ger,Jamal Musiala,GER,MID,6.5,0.8928,premium,2.736507,2.986323,2.986324,2.986324,2.986324,2.986324,2.736507,2.848925,2.848925,2.848925,2.848925,raw_for_likely_starter
pedro_neto__por,Pedro Neto,POR,FWD,5,0.5894,other,2.717542,2.98258,3.5417,2.982111,3.5417,2.982111,2.717542,3.088413,2.836598,3.088413,2.836598,appearance_scaled_then_base_capped
bernardo_silva__por,Bernardo Silva,POR,MID,5.5,0.8893,likely_starter,2.718413,2.941065,2.941066,2.941066,2.941066,2.941066,2.718413,2.818607,2.818607,2.818607,2.818607,raw_for_likely_starter
ferdi_kadioglu__tur,Ferdi Kadioglu,TUR,DEF,3.5,0.918,likely_starter,2.511737,3.190341,3.190342,3.190342,3.190342,3.190342,2.511737,2.817109,2.817109,2.817109,2.817109,raw_for_likely_starter
leo_pereira__bra,Leo Pereira,BRA,DEF,3,0.7,cheap_real_starter,2.850777,2.758025,2.758026,2.758026,2.758026,2.758026,2.850777,2.809039,2.809039,2.809039,2.809039,raw_for_likely_starter
nayef_aguerd__mar,Nayef Aguerd,MAR,DEF,3,0.8342,cheap_real_starter,2.820448,2.758025,2.758026,2.758026,2.758026,2.758026,2.792358,2.792358,2.792358,2.792358,2.792358,raw_for_likely_starter
jos_mar_a_gim_nez__uru,Jose Maria Gimenez,URU,DEF,4.5,0.6717,other,2.287247,3.387558,3.530283,3.387559,3.430871,3.387559,2.287247,2.846613,2.782387,2.801878,2.782387,appearance_scaled_then_base_capped
ferr_n_torres__esp,Ferran Torres,ESP,FWD,5,0.5692,other,2.698424,2.880361,3.5417,2.879908,3.5417,2.879908,2.780296,3.077898,2.780092,3.077898,2.780092,appearance_scaled_then_base_capped
oliver_baumann__ger,Oliver Baumann,GER,GK,5,0.5443,other,2.52542,3.062401,3.938417,3.0624,3.78813,3.0624,2.52542,3.161269,2.767061,3.09364,2.767061,appearance_scaled_then_base_capped
daniel_mu_oz__col,Daniel Muñoz,COL,DEF,4,0.6489,other,2.455044,3.142411,3.389873,3.142412,3.389873,3.142412,2.764359,2.875717,2.76436,2.875717,2.76436,appearance_scaled_then_base_capped
zeno_debast__bel,Zeno Debast,BEL,DEF,3.5,0.6368,other,2.62337,2.902299,3.190342,2.9023,3.190342,2.9023,2.62337,2.878507,2.748889,2.878507,2.748889,appearance_scaled_then_base_capped
pervis_estupi_n__ecu,Pervis Estupinan,ECU,DEF,3.5,0.7068,likely_starter,2.386115,3.190341,3.190342,3.190342,3.190342,3.190342,2.386115,2.748017,2.748017,2.748017,2.748017,raw_for_likely_starter
yassine_bono_bounou__mar,Yassine 'Bono' Bounou,MAR,GK,3.5,0.7956,likely_starter,2.716446,2.743457,2.743457,2.743457,2.743457,2.743457,2.716446,2.728601,2.728601,2.728601,2.728601,raw_for_likely_starter
enzo_fern_ndez__arg,Enzo Fernandez,ARG,MID,5,0.8911,likely_starter,2.588971,2.888844,2.888845,2.888845,2.888845,2.888845,2.588971,2.723914,2.723914,2.723914,2.723914,raw_for_likely_starter
der_milit_o__bra,Eder Militão,BRA,DEF,3,0.6282,other,2.892308,2.475131,2.758026,2.475131,2.758026,2.475131,2.892308,2.831881,2.704578,2.831881,2.704578,appearance_scaled_then_base_capped
tijjani_reijnders__ned,Tijjani Reijnders,NED,MID,6,0.6768,premium,2.489292,2.873884,2.972398,2.873885,2.972398,2.873885,2.662358,2.70669,2.662359,2.70669,2.662359,appearance_scaled_then_base_capped
ibrahima_konat__fra,Ibrahima Konate,FRA,DEF,3,0.6172,other,2.82908,2.43179,2.758026,2.431791,2.758026,2.431791,2.82908,2.797106,2.6503,2.797106,2.6503,appearance_scaled_then_base_capped
iliman_ndiaye__sen,Iliman Ndiaye,SEN,MID,3,0.8253,cheap_real_starter,3.084978,2.063755,2.063756,2.063756,2.063756,2.063756,2.625428,2.625428,2.625428,2.625428,2.625428,raw_for_likely_starter
