match_id,home,away,kickoff_dk,home_win_odds,draw_odds,away_win_odds,home_clean_sheet_odds,away_clean_sheet_odds,over_2_5_odds,under_2_5_odds,source,odds_fetched_at,odds_fetched_label,home_team_id,away_team_id,stage,group,home_win_prob_fair,draw_prob_fair,away_win_prob_fair,home_win_pct_fair,draw_pct_fair,away_win_pct_fair,home_win_prob,draw_prob,away_win_prob,home_win_pct,draw_pct,away_win_pct
20,AUT,JOR,2026-06-17 06:00,1.32,5.80,10.50,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.738934,0.168171,0.092895,73.89,16.82,9.29,0.738934,0.168171,0.092895,73.89,16.82,9.29
21,POR,COD,2026-06-17 19:00,1.30,5.80,12.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.750485,0.168212,0.081303,75.05,16.82,8.13,0.750485,0.168212,0.081303,75.05,16.82,8.13
21,POR,COD,2026-06-17 19:00,1.30,5.80,12.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.750485,0.168212,0.081303,75.05,16.82,8.13,0.750485,0.168212,0.081303,75.05,16.82,8.13
22,ENG,CRO,2026-06-17 22:00,1.73,3.75,5.50,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.563101,0.259777,0.177121,56.31,25.98,17.71,0.563101,0.259777,0.177121,56.31,25.98,17.71
22,ENG,CRO,2026-06-17 22:00,1.73,3.75,5.50,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.563101,0.259777,0.177121,56.31,25.98,17.71,0.563101,0.259777,0.177121,56.31,25.98,17.71
23,GHA,PAN,2026-06-18 01:00,2.20,3.45,3.65,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.446345,0.284626,0.269030,44.63,28.46,26.90,0.446345,0.284626,0.269030,44.63,28.46,26.90
23,GHA,PAN,2026-06-18 01:00,2.20,3.45,3.65,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.446345,0.284626,0.269030,44.63,28.46,26.90,0.446345,0.284626,0.269030,44.63,28.46,26.90
24,UZB,COL,2026-06-18 04:00,9.00,4.70,1.42,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.108074,0.206950,0.684976,10.81,20.70,68.50,0.108074,0.206950,0.684976,10.81,20.70,68.50
24,UZB,COL,2026-06-18 04:00,9.00,4.70,1.42,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.108074,0.206950,0.684976,10.81,20.70,68.50,0.108074,0.206950,0.684976,10.81,20.70,68.50
25,CZE,RSA,2026-06-18 18:00,1.76,3.85,4.90,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.550562,0.251685,0.197753,55.06,25.17,19.78,0.550562,0.251685,0.197753,55.06,25.17,19.78
25,CZE,RSA,2026-06-18 18:00,1.76,3.85,4.90,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.550562,0.251685,0.197753,55.06,25.17,19.78,0.550562,0.251685,0.197753,55.06,25.17,19.78
26,SUI,BIH,2026-06-18 21:00,1.56,4.20,6.75,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.624010,0.231775,0.144216,62.40,23.18,14.42,0.624010,0.231775,0.144216,62.40,23.18,14.42
26,SUI,BIH,2026-06-18 21:00,1.56,4.20,6.75,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.624010,0.231775,0.144216,62.40,23.18,14.42,0.624010,0.231775,0.144216,62.40,23.18,14.42
27,CAN,QAT,2026-06-19 00:00,1.26,6.25,14.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.774234,0.156085,0.069681,77.42,15.61,6.97,0.774234,0.156085,0.069681,77.42,15.61,6.97
27,CAN,QAT,2026-06-19 00:00,1.26,6.25,14.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.774234,0.156085,0.069681,77.42,15.61,6.97,0.774234,0.156085,0.069681,77.42,15.61,6.97
28,MEX,KOR,2026-06-19 03:00,2.02,3.35,4.25,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.481167,0.290137,0.228696,48.12,29.01,22.87,0.481167,0.290137,0.228696,48.12,29.01,22.87
28,MEX,KOR,2026-06-19 03:00,2.02,3.35,4.25,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.481167,0.290137,0.228696,48.12,29.01,22.87,0.481167,0.290137,0.228696,48.12,29.01,22.87
29,USA,AUS,2026-06-19 21:00,1.60,4.30,6.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.610218,0.227058,0.162725,61.02,22.71,16.27,0.610218,0.227058,0.162725,61.02,22.71,16.27
29,USA,AUS,2026-06-19 21:00,1.60,4.30,6.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.610218,0.227058,0.162725,61.02,22.71,16.27,0.610218,0.227058,0.162725,61.02,22.71,16.27
30,SCO,MAR,2026-06-20 00:00,5.50,3.65,1.75,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.177000,0.266713,0.556287,17.70,26.67,55.63,0.177000,0.266713,0.556287,17.70,26.67,55.63
30,SCO,MAR,2026-06-20 00:00,5.50,3.65,1.75,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.177000,0.266713,0.556287,17.70,26.67,55.63,0.177000,0.266713,0.556287,17.70,26.67,55.63
31,BRA,HAI,2026-06-20 03:00,1.12,11.50,26.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.876833,0.085396,0.037771,87.68,8.54,3.78,0.876833,0.085396,0.037771,87.68,8.54,3.78
31,BRA,HAI,2026-06-20 03:00,1.12,11.50,26.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.876833,0.085396,0.037771,87.68,8.54,3.78,0.876833,0.085396,0.037771,87.68,8.54,3.78
32,TUR,PAR,2026-06-20 06:00,2.06,3.40,4.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.471502,0.285675,0.242823,47.15,28.57,24.28,0.471502,0.285675,0.242823,47.15,28.57,24.28
32,TUR,PAR,2026-06-20 06:00,2.06,3.40,4.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.471502,0.285675,0.242823,47.15,28.57,24.28,0.471502,0.285675,0.242823,47.15,28.57,24.28
33,NED,SWE,2026-06-20 19:00,1.70,3.95,5.40,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.573002,0.246608,0.180390,57.30,24.66,18.04,0.573002,0.246608,0.180390,57.30,24.66,18.04
33,NED,SWE,2026-06-20 19:00,1.70,3.95,5.40,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.573002,0.246608,0.180390,57.30,24.66,18.04,0.573002,0.246608,0.180390,57.30,24.66,18.04
34,GER,CIV,2026-06-20 22:00,1.57,4.40,6.50,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.625643,0.223241,0.151117,62.56,22.32,15.11,0.625643,0.223241,0.151117,62.56,22.32,15.11
34,GER,CIV,2026-06-20 22:00,1.57,4.40,6.50,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.625643,0.223241,0.151117,62.56,22.32,15.11,0.625643,0.223241,0.151117,62.56,22.32,15.11
35,ECU,CUW,2026-06-21 02:00,1.13,11.00,23.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.868163,0.089184,0.042653,86.82,8.92,4.27,0.868163,0.089184,0.042653,86.82,8.92,4.27
35,ECU,CUW,2026-06-21 02:00,1.13,11.00,23.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.868163,0.089184,0.042653,86.82,8.92,4.27,0.868163,0.089184,0.042653,86.82,8.92,4.27
36,TUN,JPN,2026-06-21 06:00,7.50,4.20,1.53,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.130078,0.232283,0.637639,13.01,23.23,63.76,0.130078,0.232283,0.637639,13.01,23.23,63.76
36,TUN,JPN,2026-06-21 06:00,7.50,4.20,1.53,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.130078,0.232283,0.637639,13.01,23.23,63.76,0.130078,0.232283,0.637639,13.01,23.23,63.76
37,ESP,KSA,2026-06-21 18:00,1.12,10.00,30.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.870070,0.097448,0.032483,87.01,9.74,3.25,0.870070,0.097448,0.032483,87.01,9.74,3.25
37,ESP,KSA,2026-06-21 18:00,1.12,10.00,30.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.870070,0.097448,0.032483,87.01,9.74,3.25,0.870070,0.097448,0.032483,87.01,9.74,3.25
38,BEL,IRN,2026-06-21 21:00,1.38,5.30,9.50,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.711419,0.185238,0.103343,71.14,18.52,10.33,0.711419,0.185238,0.103343,71.14,18.52,10.33
