player_id,player_name,team_name,position,old_holdet_price,new_holdet_price,diff
besfort_zeneli__swe,Besfort Zeneli,Sverige,MID,2000000.0,1995000.0,-5000.0
herman_johansson__swe,Herman Johansson,Sverige,MID,2500000.0,2495000.0,-5000.0
ibrahim_sangare__civ,Ibrahim Sangare,Elfenbenskysten,MID,3000000.0,3042000.0,42000.0
christ_inao_oulai__civ,Christ Inao Oulaï,Elfenbenskysten,MID,2000000.0,2042000.0,42000.0
parfait_guiagon__civ,Parfait Guiagon,Elfenbenskysten,MID,2000000.0,1995000.0,-5000.0
seko_fofana__civ,Seko Fofana,Elfenbenskysten,MID,2500000.0,2522000.0,22000.0
jean_michael_seri__civ,Jean Michael Seri,Elfenbenskysten,MID,2500000.0,2495000.0,-5000.0
franck_kessie__civ,Franck Kessie,Elfenbenskysten,MID,3000000.0,3022000.0,22000.0
daichi_kamada__jpn,Daichi Kamada,Japan,MID,3500000.0,3686000.0,186000.0
takefusa_kubo__jpn,Takefusa Kubo,Japan,MID,4000000.0,4066000.0,66000.0
keito_nakamura__jpn,Keito Nakamura,Japan,MID,3000000.0,3166000.0,166000.0
junya_ito__jpn,Junya Ito,Japan,MID,3500000.0,3522000.0,22000.0
ritsu_doan__jpn,Ritsu Doan,Japan,MID,4000000.0,4006000.0,6000.0
ao_tanaka__jpn,Ao Tanaka,Japan,MID,2500000.0,2495000.0,-5000.0
kaishu_sano__jpn,Kaishu Sano,Japan,MID,2500000.0,2516000.0,16000.0
denil_castillo__ecu,Denil Castillo,Ecuador,MID,2500000.0,2495000.0,-5000.0
kendry_p_ez__ecu,Kendry Paez,Ecuador,MID,3000000.0,2995000.0,-5000.0
gonzalo_plata__ecu,Gonzalo Plata,Ecuador,MID,3500000.0,3501000.0,1000.0
alan_franco__ecu,Alan Franco,Ecuador,MID,2500000.0,2499000.0,-1000.0
mois_s_caicedo__ecu,Moises Caicedo,Ecuador,MID,3000000.0,2991000.0,-9000.0
john_yeboah__ecu,John Yeboah,Ecuador,MID,3000000.0,2999000.0,-1000.0
jordy_alcivar__ecu,Jordy Alcivar,Ecuador,MID,2000000.0,1995000.0,-5000.0
alan_minda__ecu,Alan Minda,Ecuador,MID,3000000.0,2999000.0,-1000.0
pedro_vite__ecu,Pedro Vite,Ecuador,MID,2500000.0,2491000.0,-9000.0
yaimar_medina__ecu,Yaimar Medina,Ecuador,MID,2000000.0,1995000.0,-5000.0
mortadha_ben_ouanes__tun,Mortadha Ben Ouanes,Tunesien,MID,2000000.0,1995000.0,-5000.0
khalil_ayari__tun,Khalil Ayari,Tunesien,MID,2000000.0,1995000.0,-5000.0
rani_khedira__tun,Rani Khedira,Tunesien,MID,3000000.0,2965000.0,-35000.0
anis_ben_slimane__tun,Anis Ben Slimane,Tunesien,MID,2500000.0,2485000.0,-15000.0
elias_achouri__tun,Elias Achouri,Tunesien,MID,3500000.0,3493000.0,-7000.0
ellyes_skhiri__tun,Ellyes Skhiri,Tunesien,MID,2500000.0,2485000.0,-15000.0
elias_saad__tun,Elias Saad,Tunesien,MID,2500000.0,2485000.0,-15000.0
