player_id,player_name,team_id,team_name,position,price,price_estimate,start_prob,start_prob_source,minute_share,weighted_group_stage_ev,optimizer_ev,holdet_player_id,holdet_team_name,holdet_price,official_holdet_master,ev_rebased_to_holdet_master,ev_match_method,ev_match_score,goal_share_norm,assist_share_norm,sot_share_norm,match_1_opponent_team,match_1_kickoff,match_1_minutes_if_start,match_1_goal_ev,match_1_assist_ev,match_1_shots_on_target_ev,match_1_clean_sheet_ev,match_1_card_ev,match_1_result_ev,match_1_team_scores_ev,match_1_opponent_scores_ev,match_1_on_pitch_ev,match_1_start_minutes_ev,match_1_total_ev_next_match,match_1_weighted_match_ev,match_2_opponent_team,match_2_kickoff,match_2_minutes_if_start,match_2_goal_ev,match_2_assist_ev,match_2_shots_on_target_ev,match_2_clean_sheet_ev,match_2_card_ev,match_2_result_ev,match_2_team_scores_ev,match_2_opponent_scores_ev,match_2_on_pitch_ev,match_2_start_minutes_ev,match_2_total_ev_next_match,match_2_weighted_match_ev,match_3_opponent_team,match_3_kickoff,match_3_minutes_if_start,match_3_goal_ev,match_3_assist_ev,match_3_shots_on_target_ev,match_3_clean_sheet_ev,match_3_card_ev,match_3_result_ev,match_3_team_scores_ev,match_3_opponent_scores_ev,match_3_on_pitch_ev,match_3_start_minutes_ev,match_3_total_ev_next_match,match_3_weighted_match_ev,total_ev_group_stage,name_norm,team_norm,position_norm,key_name_team_pos,key_name_team,key_token_team,holdet_person_id,holdet_team_id,holdet_start_price,holdet_position,holdet_is_out,score
vladimir_coufal__cze,Vladimir Coufal,CZE,Czechia,DEF,3000000,3000000,0.796,team_minute_rank,0.046,0.894,0.894,49933,Czechia,3000000,True,True,name_team_position,1.0,0.01,0.014,0.005,KOR,2026-06-12 04:00,74.819,0.013,0.012,0.006,0.052,0.066,0.059,0.043,-0.0378830958745502,0.046,59.589,0.276,0.276,RSA,2026-06-18 18:00,74.819,0.015,0.015,0.007,0.066,0.066,0.068,0.048,-0.0339631801120058,0.046,59.589,0.349,0.331,MEX,2026-06-25 03:00,74.819,0.015,0.014,0.007,0.06,0.066,0.061,0.046,-0.035616250816101,0.046,59.589,0.318,0.287,0.943,vladimir coufal,czechia,DEF,vladimir coufal|czechia|DEF,vladimir coufal|czechia,coufal vladimir|czechia,39062,584,3000000,DEF,False,
jo_o_cancelo__por,João Cancelo,POR,Portugal,DEF,5000000,5000000,0.47,name+team,0.02,0.256,0.256,49286,Portugal,5000000,True,True,name_team_position,1.0,0.007,0.012,0.003,COD,2026-06-17 19:00,74.36,0.006,0.008,0.002,0.0,0.039,0.079,0.029,-0.0191795033384167,0.006,34.986,0.12,0.12,UZB,2026-06-23 19:00,74.36,0.007,0.008,0.002,0.0,0.039,0.046,0.029,-0.0185055674192566,0.006,34.986,0.09,0.085,COL,2026-06-28 01:30,74.36,0.005,0.006,0.002,0.0,0.039,0.032,0.026,-0.0218808411651004,0.006,34.986,0.056,0.05,0.266,joao cancelo,portugal,DEF,joao cancelo|portugal|DEF,joao cancelo|portugal,cancelo joao|portugal,30532,585,5000000,DEF,False,
n_lson_semedo__por,Nelson Semedo,POR,Portugal,DEF,4000000,4000000,0.542,name+team,0.037,0.335,0.335,49635,Portugal,4000000,True,True,name_team_position,1.0,0.007,0.013,0.003,COD,2026-06-17 19:00,74.673,0.008,0.01,0.003,0.0,0.045,0.092,0.033,-0.0221831012577251,0.015,40.465,0.153,0.153,UZB,2026-06-23 19:00,74.673,0.008,0.01,0.003,0.0,0.045,0.053,0.034,-0.0214036238921147,0.015,40.465,0.118,0.112,COL,2026-06-28 01:30,74.673,0.007,0.008,0.002,0.0,0.045,0.037,0.03,-0.025307480939686,0.015,40.465,0.077,0.07,0.348,nelson semedo,portugal,DEF,nelson semedo|portugal|DEF,nelson semedo|portugal,nelson semedo|portugal,33555,585,4000000,DEF,False,
r_ben_dias__por,Ruben Dias,POR,Portugal,DEF,4000000,4000000,0.882,name+team,0.074,1.803,1.803,49798,Portugal,4000000,True,True,name_team_position,1.0,0.009,0.021,0.003,COD,2026-06-17 19:00,75.33,0.015,0.026,0.006,0.176,0.074,0.15,0.055,-0.0364395468657028,0.056,66.471,0.713,0.713,UZB,2026-06-23 19:00,75.33,0.016,0.026,0.006,0.186,0.074,0.087,0.056,-0.0351591216598257,0.056,66.471,0.679,0.645,COL,2026-06-28 01:30,75.33,0.013,0.021,0.005,0.136,0.074,0.061,0.049,-0.0415718761340197,0.056,66.471,0.493,0.444,1.886,ruben dias,portugal,DEF,ruben dias|portugal|DEF,ruben dias|portugal,dias ruben|portugal,35657,585,4000000,DEF,False,
diogo_dalot__por,Diogo Dalot,POR,Portugal,DEF,4000000,4000000,0.729,name+team,0.042,0.593,0.593,49025,Portugal,4000000,True,True,name_team_position,1.0,0.011,0.013,0.005,COD,2026-06-17 19:00,74.751,0.016,0.013,0.007,0.0,0.061,0.123,0.045,-0.0298731183294547,0.037,54.493,0.257,0.257,UZB,2026-06-23 19:00,74.751,0.016,0.014,0.007,0.0,0.061,0.071,0.046,-0.0288234265254332,0.037,54.493,0.212,0.201,COL,2026-06-28 01:30,74.751,0.013,0.011,0.006,0.0,0.061,0.05,0.041,-0.0340805987381219,0.037,54.493,0.15,0.135,0.619,diogo dalot,portugal,DEF,diogo dalot|portugal|DEF,diogo dalot|portugal,dalot diogo|portugal,35195,585,4000000,DEF,False,
nuno_tavares__por,Nuno Tavares,POR,Portugal,DEF,3500000,3500000,0.448,name+team,0.02,0.237,0.237,49673,Portugal,3500000,True,True,name_team_position,1.0,0.007,0.012,0.003,COD,2026-06-17 19:00,74.36,0.006,0.007,0.002,0.0,0.037,0.076,0.027,-0.0182826934054833,0.004,33.35,0.112,0.112,UZB,2026-06-23 19:00,74.36,0.006,0.007,0.002,0.0,0.037,0.044,0.028,-0.0176402698991213,0.004,33.35,0.083,0.079,COL,2026-06-28 01:30,74.36,0.005,0.006,0.002,0.0,0.037,0.031,0.025,-0.0208577200054145,0.004,33.35,0.051,0.046,0.246,nuno tavares,portugal,DEF,nuno tavares|portugal|DEF,nuno tavares|portugal,nuno tavares|portugal,38872,585,3500000,DEF,False,
gon_alo_in_cio__por,Goncalo Inacio,POR,Portugal,DEF,4000000,4000000,0.681,name+team,0.035,0.454,0.454,49142,Portugal,4000000,True,True,name_team_position,1.0,0.007,0.013,0.003,COD,2026-06-17 19:00,74.637,0.01,0.012,0.004,0.0,0.056,0.115,0.042,-0.0278515543238897,0.032,50.806,0.204,0.204,UZB,2026-06-23 19:00,74.637,0.01,0.012,0.004,0.0,0.056,0.066,0.043,-0.026872896924263,0.032,50.806,0.16,0.152,COL,2026-06-28 01:30,74.637,0.008,0.01,0.003,0.0,0.056,0.047,0.038,-0.0317743074786266,0.032,50.806,0.109,0.098,0.473,goncalo inacio,portugal,DEF,goncalo inacio|portugal|DEF,goncalo inacio|portugal,goncalo inacio|portugal,41206,585,4000000,DEF,False,
nuno_mendes__por,Nuno Mendes,POR,Portugal,DEF,4500000,4500000,0.979,name+team,0.09,3.048,3.048,49672,Portugal,4500000,True,True,name_team_position,1.0,0.013,0.045,0.008,COD,2026-06-17 19:00,75.615,0.027,0.063,0.015,0.291,0.082,0.168,0.061,-0.0405689339124342,0.067,74.004,1.178,1.178,UZB,2026-06-23 19:00,75.615,0.028,0.065,0.015,0.308,0.082,0.097,0.062,-0.0391434088984024,0.067,74.004,1.158,1.1,COL,2026-06-28 01:30,75.615,0.022,0.051,0.012,0.225,0.082,0.068,0.055,-0.0462828668455348,0.067,74.004,0.855,0.77,3.192,nuno mendes,portugal,DEF,nuno mendes|portugal|DEF,nuno mendes|portugal,mendes nuno|portugal,40449,585,4500000,DEF,False,
ant_nio_silva__por,Antonio Silva,POR,Portugal,DEF,3500000,3500000,0.56,name+team,0.027,0.339,0.339,48855,Portugal,3500000,True,True,name_team_position,1.0,0.007,0.012,0.003,COD,2026-06-17 19:00,74.484,0.008,0.009,0.003,0.0,0.046,0.094,0.034,-0.0228701007657683,0.017,41.719,0.155,0.155,UZB,2026-06-23 19:00,74.484,0.008,0.01,0.003,0.0,0.046,0.055,0.035,-0.0220664833775126,0.017,41.719,0.119,0.113,COL,2026-06-28 01:30,74.484,0.006,0.008,0.002,0.0,0.046,0.038,0.031,-0.0260912409177604,0.017,41.719,0.078,0.07,0.353,antonio silva,portugal,DEF,antonio silva|portugal|DEF,antonio silva|portugal,antonio silva|portugal,42978,585,3500000,DEF,False,
tom_s_ara_jo__por,Tomas Araujo,POR,Portugal,DEF,3500000,3500000,0.436,name+team,0.02,0.226,0.226,49900,Portugal,3500000,True,True,name_team_position,1.0,0.007,0.012,0.003,COD,2026-06-17 19:00,74.36,0.006,0.007,0.002,0.0,0.036,0.073,0.027,-0.0177568366720814,0.002,32.391,0.107,0.107,UZB,2026-06-23 19:00,74.36,0.006,0.007,0.002,0.0,0.036,0.042,0.027,-0.0171328908986784,0.002,32.391,0.079,0.075,COL,2026-06-28 01:30,74.36,0.005,0.006,0.002,0.0,0.036,0.03,0.024,-0.0202577989617806,0.002,32.391,0.048,0.043,0.235,tomas araujo,portugal,DEF,tomas araujo|portugal|DEF,tomas araujo|portugal,araujo tomas|portugal,41884,585,3500000,DEF,False,
