match_id,home,away,kickoff_dk,home_win_prob_fair,draw_prob_fair,away_win_prob_fair,home_strength_advantage,away_strength_advantage,home_goal_multiplier,away_goal_multiplier,home_assist_multiplier,away_assist_multiplier,home_clean_sheet_prob_fair,away_clean_sheet_prob_fair,home_clean_sheet_multiplier,away_clean_sheet_multiplier,source
47,PAN,CRO,2026-06-24 01:00,0.1437,0.2425,0.6138,-0.4702,0.4702,0.7500,1.3291,0.8000,1.2351,0.1717,0.4865,0.7973,1.2223,match_odds_probs+bet365_clean_sheet
48,COL,COD,2026-06-24 04:00,0.6524,0.2261,0.1215,0.5309,-0.5309,1.3500,0.7500,1.2500,0.8000,0.5376,0.1883,1.2913,0.8198,match_odds_probs+bet365_clean_sheet
49,SUI,CAN,2026-06-24 21:00,0.4463,0.2846,0.2690,0.1773,-0.1773,1.1241,0.8759,1.0887,0.9113,0.3547,0.2500,1.0443,0.9030,match_odds_probs+bet365_clean_sheet
50,BIH,QAT,2026-06-24 21:00,0.6303,0.2311,0.1387,0.4916,-0.4916,1.3441,0.7500,1.2458,0.8000,0.4624,0.1883,1.1897,0.8198,match_odds_probs+bet365_clean_sheet
51,SCO,BRA,2026-06-25 00:00,0.1372,0.1960,0.6668,-0.5297,0.5297,0.7500,1.3500,0.8000,1.2500,0.1358,0.5000,0.7489,1.2405,match_odds_probs+bet365_clean_sheet
52,MAR,HAI,2026-06-25 00:00,0.7229,0.1841,0.0929,0.6300,-0.6300,1.3500,0.7500,1.2500,0.8000,0.5585,0.0960,1.3195,0.6951,match_odds_probs+bet365_clean_sheet
53,CZE,MEX,2026-06-25 03:00,0.1943,0.2661,0.5396,-0.3454,0.3454,0.7582,1.2418,0.8273,1.1727,0.2170,0.4110,0.8585,1.1204,match_odds_probs+bet365_clean_sheet
54,RSA,KOR,2026-06-25 03:00,0.1555,0.2371,0.6074,-0.4519,0.4519,0.7500,1.3164,0.8000,1.2260,0.2337,0.3923,0.8810,1.0951,match_odds_probs+bet365_clean_sheet
55,CUW,CIV,2026-06-25 22:00,0.0652,0.1527,0.7821,-0.7169,0.7169,0.7500,1.3500,0.8000,1.2500,0.1358,0.5135,0.7489,1.2588,match_odds_probs+bet365_clean_sheet
56,ECU,GER,2026-06-25 22:00,0.1946,0.2527,0.5527,-0.3582,0.3582,0.7500,1.2507,0.8209,1.1791,0.1717,0.4110,0.7973,1.1204,match_odds_probs+bet365_clean_sheet
57,TUN,NED,2026-06-26 01:00,0.1403,0.2135,0.6462,-0.5059,0.5059,0.7500,1.3500,0.8000,1.2500,0.1717,0.4624,0.7973,1.1897,match_odds_probs+bet365_clean_sheet
58,JPN,SWE,2026-06-26 01:00,0.4571,0.2808,0.2621,0.1950,-0.1950,1.1365,0.8635,1.0975,0.9025,0.3547,0.2500,1.0443,0.9030,match_odds_probs+bet365_clean_sheet
59,TUR,USA,2026-06-26 04:00,0.3515,0.2625,0.3860,-0.0345,0.0345,0.9759,1.0241,0.9828,1.0172,0.2766,0.2766,0.9389,0.9389,match_odds_probs+bet365_clean_sheet
60,PAR,AUS,2026-06-26 04:00,0.4360,0.2902,0.2739,0.1621,-0.1621,1.1135,0.8865,1.0810,0.9190,0.3750,0.2678,1.0718,0.9270,match_odds_probs+bet365_clean_sheet
61,NOR,FRA,2026-06-26 21:00,0.2209,0.2592,0.5198,-0.2989,0.2989,0.7908,1.2092,0.8505,1.1495,0.2077,0.3750,0.8460,1.0718,match_odds_probs+bet365_clean_sheet
62,SEN,IRQ,2026-06-26 21:00,0.6746,0.2112,0.1143,0.5603,-0.5603,1.3500,0.7500,1.2500,0.8000,0.5000,0.1573,1.2405,0.7779,match_odds_probs+bet365_clean_sheet
63,CPV,KSA,2026-06-27 02:00,0.3765,0.2866,0.3369,0.0396,-0.0396,1.0277,0.9723,1.0198,0.9802,0.3373,0.3119,1.0210,0.9866,match_odds_probs+bet365_clean_sheet
64,URU,ESP,2026-06-27 02:00,0.1773,0.2424,0.5803,-0.4030,0.4030,0.7500,1.2821,0.8000,1.2015,0.1717,0.4226,0.7973,1.1360,match_odds_probs+bet365_clean_sheet
65,NZL,BEL,2026-06-27 05:00,0.0929,0.1682,0.7389,-0.6460,0.6460,0.7500,1.3500,0.8000,1.2500,0.1063,0.5135,0.7091,1.2588,match_odds_probs+bet365_clean_sheet
66,EGY,IRN,2026-06-27 05:00,0.4273,0.3093,0.2633,0.1640,-0.1640,1.1148,0.8852,1.0820,0.9180,0.4110,0.2904,1.1204,0.9576,match_odds_probs+bet365_clean_sheet
67,CRO,GHA,2026-06-27 23:00,0.5755,0.2529,0.1716,0.4039,-0.4039,1.2827,0.7500,1.2019,0.8000,0.4415,0.2170,1.1615,0.8585,match_odds_probs+bet365_clean_sheet
68,PAN,ENG,2026-06-27 23:00,0.0918,0.1784,0.7298,-0.6381,0.6381,0.7500,1.3500,0.8000,1.2500,0.1063,0.5376,0.7091,1.2913,match_odds_probs+bet365_clean_sheet
69,COD,UZB,2026-06-28 01:30,0.4069,0.2942,0.2988,0.1081,-0.1081,1.0757,0.9243,1.0540,0.9460,0.3373,0.3119,1.0210,0.9866,match_odds_probs+bet365_clean_sheet
70,COL,POR,2026-06-28 01:30,0.2673,0.2872,0.4455,-0.1782,0.1782,0.8753,1.1247,0.9109,1.0891,0.2500,0.3547,0.9030,1.0443,match_odds_probs+bet365_clean_sheet
71,ALG,AUT,2026-06-28 04:00,0.2767,0.2891,0.4343,-0.1576,0.1576,0.8897,1.1103,0.9212,1.0788,0.2766,0.3547,0.9389,1.0443,match_odds_probs+bet365_clean_sheet
72,JOR,ARG,2026-06-28 04:00,0.0644,0.1379,0.7978,-0.7334,0.7334,0.7500,1.3500,0.8000,1.2500,0.0871,0.5774,0.6832,1.3451,match_odds_probs+bet365_clean_sheet
