classification,holdet_player_id,holdet_player_name,holdet_team_id,holdet_position,closest_pool_player_id,closest_pool_player_name,closest_pool_team_id,closest_pool_position,suggested_action,approval,note,reason,source_file
likely_new_player,49344,Ju-sung Kim,KOR,DEF,ji_sung_eom__kor,Ji-sung Eom,KOR,MID,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_team; score=0.927,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
needs_manual_review,50419,Jose Canale,PAR,DEF,juan_jose_caceres__par,Juan Jose Caceres,PAR,DEF,manual_match_review,,Samme land og position med fuzzy-match; bekr?ft alias/dublet versus ny spiller manuelt.,similar_name+same_team+same_position; score=0.821,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
needs_manual_review,50310,Sebastian Caceres,URU,DEF,martin_caceres__uru,Martin Caceres,URU,DEF,manual_match_review,,Samme land og position med fuzzy-match; bekr?ft alias/dublet versus ny spiller manuelt.,similar_name+same_team+same_position; score=1.024,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
needs_manual_review,50369,Daniyal Eiri,IRN,DEF,danial_esmaeilifar__irn,Danial Esmaeilifar,IRN,DEF,manual_match_review,,Samme land og position med fuzzy-match; bekr?ft alias/dublet versus ny spiller manuelt.,similar_name+same_team+same_position; score=0.917,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
needs_manual_review,48748,Ahmed Nabil Kouka,EGY,DEF,ahmed_fatouh__egy,Ahmed Fatouh,EGY,DEF,manual_match_review,,Samme land og position med fuzzy-match; bekr?ft alias/dublet versus ny spiller manuelt.,similar_name+same_team+same_position; score=0.871,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,50264,Youssef Belammari,MAR,DEF,youssef_en_nesyri__mar,Youssef En-Nesyri,MAR,FWD,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_team; score=0.847,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,49704,Pape Abou Cisse,SEN,DEF,path_ciss__sen,Pathe Ciss,SEN,MID,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_team; score=0.840,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_existing_alias,49632,Nawaf Bu Washl,KSA,DEF,nawaf_al_boushal__ksa,Nawaf Al-Boushal,KSA,DEF,review_alias_mapping,,Oplagt eksisterende alias/dublet: Nawaf Bu Washl -> Nawaf Al-Boushal.,similar_name+same_team+same_position; score=0.983,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
needs_manual_review,50407,Ali Lajami,KSA,DEF,ali_majrashi__ksa,Ali Majrashi,KSA,DEF,manual_match_review,,Samme land og position med fuzzy-match; bekr?ft alias/dublet versus ny spiller manuelt.,similar_name+same_team+same_position; score=0.977,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,50412,Mohammed Abu Al-Shamat,KSA,DEF,mohammed_al_rubaie_al_yami__ksa,Mohammed Al-Rubaie Al-Yami,KSA,GK,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_team; score=0.908,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_existing_alias,49187,Homam Al-Amin Ahmed,QAT,DEF,homam_al_amin__qat,Homam Al-Amin,QAT,DEF,review_alias_mapping,,Oplagt eksisterende alias/dublet: Homam Al-Amin Ahmed -> Homam Al-Amin.,similar_name+same_team+same_position; score=1.062,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
needs_manual_review,50296,Alfie Jones,CAN,DEF,alistair_johnston__can,Alistair Johnston,CAN,DEF,manual_match_review,,Samme land og position med fuzzy-match; bekr?ft alias/dublet versus ny spiller manuelt.,similar_name+same_team+same_position; score=0.821,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,50391,Saed Al-Rosan,JOR,DEF,nizar_al_rashdan__jor,Nizar Al-Rashdan,JOR,MID,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_team; score=0.821,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,49180,Heri Tavares,CPV,DEF,h_lio_varela__cpv,Helio Varela,CPV,FWD,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_team; score=0.867,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,49005,Delentz Pierre,HAI,DEF,leverton_pierre__hai,Leverton Pierre,HAI,MID,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_team; score=0.890,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,48922,Bruno Varela,CPV,GK,h_lio_varela__cpv,Helio Varela,CPV,FWD,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_team; score=0.867,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,49829,Scott Bain,SCO,GK,scott_mctominay__sco,Scott McTominay,SCO,MID,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_team; score=0.840,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,50405,Ahmed Al-Kassar,KSA,GK,salem_al_dawsari__ksa,Salem Al-Dawsari,KSA,MID,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_team; score=0.845,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,50413,Mohammed Al-Owais,KSA,GK,mohammed_sulaiman__ksa,Mohammed Sulaiman,KSA,DEF,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_team; score=0.906,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_existing_alias,49617,Munir Mohamedi El Kajoui,MAR,GK,munir_el_kajoui__mar,Munir El Kajoui,MAR,GK,review_alias_mapping,,Oplagt eksisterende alias/dublet: Munir Mohamedi El Kajoui -> Munir El Kajoui.,similar_name+same_team+same_position; score=1.019,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,50377,Jalal Hassan,IRQ,GK,ali_al_hamadi__irq,Ali Al-Hamadi,IRQ,FWD,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_team; score=0.840,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,50404,Seyed Hossein Hosseini,IRN,GK,amirhossein_hosseinzadeh__irn,Amirhossein Hosseinzadeh,IRN,FWD,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_team; score=0.852,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,48768,Alejandro 'Alex' Remiro,ESP,GK,alejandro_alex_grimaldo__esp,Alejandro 'Alex' Grimaldo,ESP,DEF,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_team; score=1.033,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,49454,Lucas Chevalier,FRA,GK,lucas_hern_ndez__fra,Lucas Hernandez,FRA,DEF,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_team; score=0.867,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,49287,Joao Carvalho,POR,GK,jo_o_cancelo__por,João Cancelo,POR,DEF,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_team; score=0.920,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,50291,David Doudera,CZE,MID,david_jurasek__holdet_584,David Jurasek,CZE,DEF,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_team; score=0.892,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
needs_manual_review,50269,Marten de Roon,NED,MID,frenkie_de_jong__ned,Frenkie de Jong,NED,MID,manual_match_review,,Samme land og position med fuzzy-match; bekr?ft alias/dublet versus ny spiller manuelt.,similar_name+same_team+same_position; score=0.871,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
needs_manual_review,49702,Pablo Barrios,ESP,MID,pablo_gavi__esp,Pablo Gavi,ESP,MID,manual_match_review,,Samme land og position med fuzzy-match; bekr?ft alias/dublet versus ny spiller manuelt.,similar_name+same_team+same_position; score=0.946,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,48766,Aleix Garcia,ESP,MID,eric_garcia__esp,Eric Garcia,ESP,DEF,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_team; score=0.983,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
needs_manual_review,49703,Pablo Fornals,ESP,MID,pablo_gavi__esp,Pablo Gavi,ESP,MID,manual_match_review,,Samme land og position med fuzzy-match; bekr?ft alias/dublet versus ny spiller manuelt.,similar_name+same_team+same_position; score=0.859,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,49278,Jesus Rodriguez,ESP,MID,james_rodr_guez__col,James Rodriguez,COL,MID,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_position; score=0.917,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,49181,Herman Johansson,SWE,MID,viktor_johansson__swe,Viktor Johansson,SWE,GK,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_team; score=0.887,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,50302,Cristian Volpato,AUS,MID,cristian_roldan__usa,Cristian Roldan,USA,MID,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_position; score=0.824,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,50301,Cameron Devlin,AUS,MID,cameron_burgess__aus,Cameron Burgess,AUS,DEF,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_team; score=0.821,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,49128,Gabriel Sara,BRA,MID,gabriel_martinelli__bra,Gabriel Martinelli,BRA,FWD,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_team; score=0.867,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
needs_manual_review,48833,Andrey Santos,BRA,MID,danilo_dos_santos__bra,Danilo dos Santos,BRA,MID,manual_match_review,,Samme land og position med fuzzy-match; bekr?ft alias/dublet versus ny spiller manuelt.,similar_name+same_team+same_position; score=0.917,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,49932,Vitinho,BRA,MID,vitinha__por,Vitinha,POR,MID,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_position; score=0.907,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
needs_manual_review,49402,Kodai Sano,JPN,MID,kaishu_sano__jpn,Kaishu Sano,JPN,MID,manual_match_review,,Samme land og position med fuzzy-match; bekr?ft alias/dublet versus ny spiller manuelt.,similar_name+same_team+same_position; score=1.012,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,49405,Koki Saito,JPN,MID,hiroki_ito__jpn,Hiroki Ito,JPN,DEF,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_team; score=0.900,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,49197,Hyeok-kyu Kwon,KOR,MID,oh_hyeon_gyu__kor,Hyeon-Gyu Oh,KOR,FWD,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_team; score=0.892,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
needs_manual_review,49201,Hyun-seok Hong,KOR,MID,hyun_jun_yang__kor,Hyun-Jun Yang,KOR,MID,manual_match_review,,Samme land og position med fuzzy-match; bekr?ft alias/dublet versus ny spiller manuelt.,similar_name+same_team+same_position; score=0.843,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,50272,Gilberto Mora,MEX,MID,guillermo_ochoa__mex,Guillermo Ochoa,MEX,GK,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_team; score=0.843,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
needs_manual_review,50309,Rodrigo Zalazar,URU,MID,rodrigo_bentancur__uru,Rodrigo Bentancur,URU,MID,manual_match_review,,Samme land og position med fuzzy-match; bekr?ft alias/dublet versus ny spiller manuelt.,similar_name+same_team+same_position; score=0.875,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
needs_manual_review,50375,Amir Mohammad Razzaghinia,IRN,MID,mohammed_ghorbani__irn,Mohammad Ghorbani,IRN,MID,manual_match_review,,Samme land og position med fuzzy-match; bekr?ft alias/dublet versus ny spiller manuelt.,similar_name+same_team+same_position; score=0.869,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,50373,Mehdi Torabi,IRN,MID,mehdi_taremi__irn,Mehdi Taremi,IRN,FWD,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_team; score=0.950,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,50380,Ahmed Qasem,IRQ,MID,ahmed_hasan_maknzi__irq,Ahmed Hasan Maknzi,IRQ,DEF,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_team; score=0.821,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
needs_manual_review,50253,Alberto Quintero,PAN,MID,adalberto_carrasquilla__pan,Adalberto Carrasquilla,PAN,MID,manual_match_review,,Samme land og position med fuzzy-match; bekr?ft alias/dublet versus ny spiller manuelt.,similar_name+same_team+same_position; score=0.829,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,50263,Soufiane Rahimi,MAR,MID,souffian_el_karouani__mar,Souffian El Karouani,MAR,DEF,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_team; score=0.886,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,49574,Mohamed Ali Ben Romdhane,TUN,MID,mohamed_amine_ben_hamida__tun,Mohamed Amine Ben Hamida,TUN,DEF,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_team; score=0.908,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
needs_manual_review,50397,Ahmed Al-Ganehi,QAT,MID,ahmed_fathi__qat,Ahmed Fathi,QAT,MID,manual_match_review,,Samme land og position med fuzzy-match; bekr?ft alias/dublet versus ny spiller manuelt.,similar_name+same_team+same_position; score=0.942,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,50384,Sherzod Esanov,UZB,MID,sherzod_nasrullayev__uzb,Sherzod Nasrullaev,UZB,DEF,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_team; score=0.825,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,48752,Ailson Tavares,CPV,MID,gilson_benchimol_tavares__cpv,Gilson Benchimol Tavares,CPV,FWD,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_team; score=0.884,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
needs_manual_review,49410,Kristian Arnstad,NOR,MID,kristian_thorstvedt__nor,Kristian Thorstvedt,NOR,MID,manual_match_review,,Samme land og position med fuzzy-match; bekr?ft alias/dublet versus ny spiller manuelt.,similar_name+same_team+same_position; score=0.993,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,50383,Azizbek Amanov,UZB,FWD,aziz_g_aniyev__uzb,Aziz Ganiev,UZB,MID,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_team; score=0.840,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_existing_alias,49111,Firas Al Brikan,KSA,FWD,firas_al_buraikan__ksa,Firas Al-Buraikan,KSA,FWD,review_alias_mapping,,Oplagt eksisterende alias/dublet: Firas Al Brikan -> Firas Al-Buraikan.,similar_name+same_team+same_position; score=1.188,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,50415,Saleh Al-Shehri,KSA,FWD,saleh_al_shamat__ksa,Saleh Al-Shamat,KSA,MID,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_team; score=0.933,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,48908,Boulaye Dia,SEN,FWD,abdoulaye_seck__sen,Abdoulaye Seck,SEN,DEF,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_team; score=0.840,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,49162,Habib Diallo,SEN,FWD,habib_diarra__sen,Habib Diarra,SEN,MID,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_team; score=0.950,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,49610,Mostafa Mohamed,EGY,FWD,mostafa_ziko__egy,Mostafa Ziko,EGY,MID,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name+same_team; score=0.867,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
likely_new_player,50288,Santiago Gimenez,MEX,FWD,santiago_mele__uru,Santiago Mele,URU,GK,manual_approve_before_import,,Closest match ligner en anden spiller; behandles som mulig ny spiller efter manuel godkendelse.,similar_name; score=0.828,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
needs_manual_review,50294,Jan Kuchta,CZE,FWD,jan_kliment__holdet_584,Jan Kliment,CZE,FWD,manual_match_review,,Samme land og position med fuzzy-match; bekr?ft alias/dublet versus ny spiller manuelt.,similar_name+same_team+same_position; score=0.821,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
