player_id,player_name,team_id,position,start_prob,conditional_start_prob,appearance_prob,availability_prob,availability_risk,round_specific_rotation_risk,start_prob_source,minute_share,weighted_group_stage_ev,total_ev_group_stage,team_ev_share,team_position_ev_share,team_position_rank,position_slot_target,inside_expected_slot_band,start_signal_raw,start_signal_rank_adjusted,start_signal_tier
ger_nimo_rulli__arg,Geronimo Rulli,ARG,GK,0.0172,0.0172,0.0,0.7117,medium_risk,,transfermarkt_availability_split_2026_06_05+gk_hierarchy_normalized,0.001564,0.176206,0.25767,0.003364548739442751,0.040708027571472266,2,1,0,0.018907030194119365,0.018907030194119365,Langt fra start
walter_benitez__arg,Walter Benitez,ARG,GK,0.0151,0.0151,0.0,0.6524,high_risk,,transfermarkt_availability_split_2026_06_05+gk_hierarchy_normalized,0.001373,0.0,0.0,0.0,0.0,3,1,0,0.012877,0.0,Langt fra start
enzo_fern_ndez__arg,Enzo Fernandez,ARG,MID,0.8911,0.9498,0.0,0.8235,medium_risk,,transfermarkt_availability_split_2026_06_05,0.081009,2.723023,2.717419,0.05199450417195566,0.1771698273288689,1,4,1,0.8191907933385589,0.869190793338559,Klar starter
alexis_mac_allister__arg,Alexis Mac Allister,ARG,MID,0.8573,0.9255,0.0,0.7894,medium_risk,,transfermarkt_availability_split_2026_06_05,0.077936,3.308301,3.905328,0.06317003938144668,0.21525015283452414,2,4,1,0.793511793115151,0.843511793115151,Klar starter
giovani_lo_celso__arg,Giovani Lo Celso,ARG,MID,0.8292,0.8638,0.0,0.8853,low_risk,,transfermarkt_availability_split_2026_06_05,0.075382,2.991027,3.400851,0.057111881107846686,0.19460714695615308,3,4,1,0.765868224188558,0.8158682241885581,Sandsynlig starter
thiago_almada__arg,Thiago Almada,ARG,MID,0.7556,0.8786,0.0,0.6,high_risk,,transfermarkt_availability_split_2026_06_05,0.068691,2.489468,2.226612,0.04753491039625817,0.16197388553117056,4,4,1,0.6960398907765766,0.7460398907765766,Sandsynlig starter
rodrigo_de_paul__arg,Rodrigo de Paul,ARG,MID,0.4556,0.468,0.0,0.9239,medium_risk,,transfermarkt_availability_split_2026_06_05,0.041418,1.83728,1.937284,0.0350817685436556,0.11954015091124251,5,4,0,0.42232060869422244,0.42232060869422244,Bænk/rotation
leandro_paredes__arg,Leandro Paredes,ARG,MID,0.3707,0.3886,0.0,0.8677,medium_risk,,transfermarkt_availability_split_2026_06_05,0.0337,1.329097,1.313099,0.025378316492895486,0.08647590783967586,6,4,0,0.342323631939043,0.262323631939043,Langt fra start
nico_paz__arg,Nico Paz,ARG,MID,0.2902,0.3055,0.0,0.8567,medium_risk,,transfermarkt_availability_split_2026_06_05,0.026382,0.226489,0.19276,0.004324672709485769,0.014736202015880216,7,4,0,0.2616094465289155,0.18160944652891547,Langt fra start
franco_mastantuono__arg,Franco Mastantuono,ARG,MID,0.046,0.05,0.0,0.7736,medium_risk,,transfermarkt_availability_split_2026_06_05,0.004182,0.242265,0.319417,0.004625906043841289,0.015762646227310027,9,4,0,0.043085237921169216,0.0,Langt fra start
exequiel_palacios__arg,Exequiel Palacios,ARG,MID,0.0474,0.05,0.0,0.8502,medium_risk,,transfermarkt_availability_split_2026_06_05,0.004309,0.222614,0.277723,0.004250681889846592,0.014484080355174681,8,4,0,0.04418393923651029,0.0,Langt fra start
alan_varela__arg,Alan Varela,ARG,MID,0.0452,0.05,0.0,0.7283,unknown,,transfermarkt_availability_split_2026_06_05,0.004109,0.0,0.0,0.0,0.0,10,4,0,0.040470149999999996,0.0,Langt fra start
lucas_herrington__aus,Lucas Herrington,AUS,DEF,0.9119,0.97,0.0,0.8288,medium_risk,,transfermarkt_availability_split_2026_06_05,0.0829,1.350948,1.733842,0.06680350291296241,0.129656886456505,1,4,1,0.7939078637912986,0.8439078637912987,Klar starter
alessandro_circati__aus,Alessandro Circati,AUS,DEF,0.8526,0.923,0.0,0.7819,medium_risk,,transfermarkt_availability_split_2026_06_05,0.077509,1.730692,1.690049,0.0855815975621865,0.16610271907962523,2,4,1,0.7479243517860718,0.7979243517860718,Sandsynlig starter
jacob_italiano__aus,Jacob Italiano,AUS,DEF,0.6669,0.701,0.0,0.8611,low_risk,,transfermarkt_availability_split_2026_06_05,0.060627,1.149478,1.387277,0.0568409420061958,0.11032085508120998,3,4,1,0.5825571326084308,0.6325571326084308,Tvivlsom starter
jordan_bos__aus,Jordan Bos,AUS,DEF,0.6111,0.6313,0.0,0.9084,medium_risk,,transfermarkt_availability_split_2026_06_05,0.055555,1.429386,1.234789,0.07068221116930311,0.13718495331020725,4,4,1,0.5383556058894859,0.588355605889486,Tvivlsom starter
kye_rowles__aus,Kye Rowles,AUS,DEF,0.5974,0.6375,0.0,0.8204,medium_risk,,transfermarkt_availability_split_2026_06_05,0.054309,1.378501,1.252951,0.06816598090305592,0.13230127853712992,5,4,0,0.5260574268988659,0.5260574268988659,Tvivlsom starter
aziz_behich__aus,Aziz Behich,AUS,DEF,0.396,0.4356,0.0,0.7407,medium_risk,,transfermarkt_availability_split_2026_06_05,0.036,0.918638,0.840348,0.0454260536371185,0.08816604551813308,6,4,0,0.34876790723366924,0.2687679072336692,Langt fra start
jason_geria__aus,Jason Geria,AUS,DEF,0.3356,0.3903,0.0,0.6,high_risk,,transfermarkt_availability_split_2026_06_05,0.030509,0.771285,0.698332,0.03813954330161058,0.07402387928373665,7,4,0,0.2954843650934542,0.2154843650934542,Langt fra start
kai_trewin__aus,Kai Trewin,AUS,DEF,0.3258,0.3382,0.0,0.895,medium_risk,,transfermarkt_availability_split_2026_06_05,0.029618,0.554539,0.664542,0.02742159409677594,0.05322173774172198,8,4,0,0.28451125347901096,0.20451125347901095,Langt fra start
cameron_burgess__aus,Cameron Burgess,AUS,DEF,0.1772,0.1803,0.0,0.9506,medium_risk,,transfermarkt_availability_split_2026_06_05,0.016109,0.617195,0.583348,0.030519892683038754,0.059235131208989995,9,4,0,0.15855250775505092,0.07855250775505092,Langt fra start
milo_degenek__aus,Milos Degenek,AUS,DEF,0.1451,0.1556,0.0,0.8058,medium_risk,,transfermarkt_availability_split_2026_06_05,0.013191,0.42319,0.474867,0.020926471187445086,0.04061555128659901,10,4,0,0.12883887868803218,0.048838878688032175,Langt fra start
callum_elder__aus,Callum Elder,AUS,DEF,0.0386,0.05,0.0,0.35,high_risk,,transfermarkt_availability_split_2026_06_05,0.003509,0.095556,0.136826,0.004725182260420857,0.009170962496141815,11,4,0,0.03406835536263522,0.0,Langt fra start
deni_juric__aus,Deni Juric,AUS,FWD,0.8537,0.97,0.0,0.6575,medium_risk,,transfermarkt_availability_split_2026_06_05,0.077609,0.758486,0.33221,0.03750664104794649,0.23933450841330756,1,2,1,0.7914708720384146,0.8414708720384146,Klar starter
mohamed_toure__aus,Mohamed Toure,AUS,FWD,0.752,0.8744,0.0,0.6,high_risk,,transfermarkt_availability_split_2026_06_05,0.068364,1.099481,0.273229,0.05436862276434535,0.34693289611775535,2,2,1,0.7125969067874923,0.7625969067874924,Sandsynlig starter
martin_boyle__aus,Martin Boyle,AUS,FWD,0.3967,0.4184,0.0,0.8516,medium_risk,,transfermarkt_availability_split_2026_06_05,0.036064,0.63469,0.581085,0.03138500909274681,0.20027161891563217,3,2,0,0.3778681329635106,0.3778681329635106,Bænk/rotation
awer_mabil__aus,Awer Mabil,AUS,FWD,0.2953,0.3434,0.0,0.6,high_risk,,transfermarkt_availability_split_2026_06_05,0.026845,0.230267,0.245988,0.01138655389049698,0.07265900655886476,4,2,0,0.2726264397679319,0.19262643976793187,Langt fra start
nestory_irankunda__aus,Nestory Irankunda,AUS,FWD,0.093,0.1024,0.0,0.7403,medium_risk,,transfermarkt_availability_split_2026_06_05,0.008455,0.324455,0.311729,0.016044089437658015,0.10237931606811425,5,2,0,0.09486239288262904,0.014862392882629041,Langt fra start
nishan_velupillay__aus,Nishan Velupillay,AUS,FWD,0.0502,0.055,0.0,0.7542,medium_risk,,transfermarkt_availability_split_2026_06_05,0.004564,0.121767,0.154083,0.006021299220401299,0.03842265392632589,6,2,0,0.04929889687133529,0.0,Langt fra start
ante_suto__aus,Ante Suto,AUS,FWD,0.0464,0.05,0.0,0.7934,unknown,,transfermarkt_availability_split_2026_06_05,0.004218,0.0,0.0,0.0,0.0,7,2,0,0.0415443,0.0,Langt fra start
mathew_ryan__aus,Mathew Ryan,AUS,GK,0.9463,0.9463,0.0,0.8334,medium_risk,,transfermarkt_availability_split_2026_06_05+gk_hierarchy_normalized,0.086027,1.981597,2.118142,0.09798868717509303,0.914038885457599,1,1,1,0.9032383229045144,0.9532383229045145,Klar starter
