match_id,home,away,kickoff_dk,home_win_odds,draw_odds,away_win_odds,home_clean_sheet_odds,away_clean_sheet_odds,over_2_5_odds,under_2_5_odds,home_win_prob_fair,draw_prob_fair,away_win_prob_fair,home_cs_prob,away_cs_prob,over_2_5_prob,under_2_5_prob,source
60,PAR,AUS,2026-06-26 04:00,2.155,3.2,3.45,,,,,0.4351,0.2930,0.2718,,,,,bet365+Betinia consensus
61,NOR,FRA,2026-06-26 21:00,4.75,3.7,1.7,,,,,0.1969,0.2529,0.5502,,,,,bet365+Betinia consensus
62,SEN,IRQ,2026-06-26 21:00,1.475,4.265,6.33,,,,,0.6332,0.2190,0.1479,,,,,bet365+Betinia consensus
63,CPV,KSA,2026-06-27 02:00,2.76,3.45,2.44,,,,,0.3409,0.2726,0.3865,,,,,bet365+Betinia consensus
64,URU,ESP,2026-06-27 02:00,5,3.95,1.62,,,,,0.1868,0.2365,0.5766,,,,,bet365+Betinia consensus
65,NZL,BEL,2026-06-27 05:00,9.5,5.625,1.275,,,,,0.0988,0.1666,0.7346,,,,,bet365+Betinia consensus
66,EGY,IRN,2026-06-27 05:00,2.31,3,3.37,,,,,0.4067,0.3133,0.2800,,,,,bet365+Betinia consensus
67,CRO,GHA,2026-06-27 23:00,1.71,3.63,4.75,,,,,0.5459,0.2571,0.1970,,,,,bet365+Betinia consensus
68,PAN,ENG,2026-06-27 23:00,11.5,6.125,1.235,,,,,0.0833,0.1538,0.7628,,,,,bet365+Betinia consensus
69,COD,UZB,2026-06-28 01:30,2.495,3.275,2.8,,,,,0.3770,0.2872,0.3358,,,,,bet365+Betinia consensus
70,COL,POR,2026-06-28 01:30,3.45,3.225,2.155,,,,,0.2725,0.2914,0.4361,,,,,bet365+Betinia consensus
71,ALG,AUT,2026-06-28 04:00,3.5,3.225,2.145,,,,,0.2690,0.2920,0.4390,,,,,bet365+Betinia consensus
72,JOR,ARG,2026-06-28 04:00,14.5,7,1.16,,,,,0.0659,0.1328,0.8013,,,,,bet365+Betinia consensus
