team_id,position,team_position_start_rank,player_name,price_m,start_prob,conditional_start_prob,availability_risk,round_specific_rotation_risk,match_1_opponent_team,weighted_group_stage_ev,optimizer_ev,start_prob_source,source_note
MEX,MID,2,Brian Gutierrez,2.5,0.6683,0.6916,medium_risk,,RSA,0.576337,0.576337,transfermarkt_availability_split_2026_06_07,
MEX,MID,3,Roberto Alvarado,2.5,0.576,0.6356,medium_risk,,RSA,3.01662,3.01662,transfermarkt_availability_split_2026_06_07,
NED,DEF,1,Virgil van Dijk,5.0,0.9438,0.97,low_risk,,JPN,3.59446,3.59446,transfermarkt_availability_split_2026_06_07,
NED,DEF,2,Denzel Dumfries,5.0,0.9243,0.9518,low_risk,,JPN,3.958434,3.958434,transfermarkt_availability_split_2026_06_07,
NED,DEF,3,Jurrien Timber,2.5,0.7551,0.8563,medium_risk,,JPN,2.308303,2.308303,transfermarkt_availability_split_2026_06_07,
NED,FWD,1,Cody Gakpo,6.5,0.9308,0.9593,low_risk,,JPN,4.998909,4.998909,transfermarkt_availability_split_2026_06_07,
NED,FWD,2,Donyell Malen,4.5,0.7971,0.8255,low_risk,,JPN,3.713799,3.713799,transfermarkt_availability_split_2026_06_07,
NED,FWD,3,Memphis Depay,4.0,0.6669,0.7052,medium_risk,,JPN,0.512235,0.512235,transfermarkt_availability_split_2026_06_07,
NED,GK,1,Bart Verbruggen,4.5,0.9012,0.9012,low_risk,,JPN,3.536019,3.536019,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,
NED,MID,1,Frenkie de Jong,3.0,0.9368,0.97,low_risk,,,1.35951,1.35951,transfermarkt_availability_split_2026_06_07,
NED,MID,2,Crysencio Summerville,3.0,0.8851,0.97,unknown,,,1.34013,1.34013,transfermarkt_availability_split_2026_06_07,
NED,MID,3,Tijjani Reijnders,6.0,0.6768,0.6935,medium_risk,,JPN,3.138659,3.138659,transfermarkt_availability_split_2026_06_07,
NOR,DEF,1,Kristoffer Ajer,3.0,0.9075,0.9629,medium_risk,,IRQ,2.951024,2.951024,transfermarkt_availability_split_2026_06_07,
NOR,DEF,2,Julian Ryerson,3.5,0.88,0.93,low_risk,low,IRQ,3.097342,3.097342,transfermarkt_availability_split_2026_06_07,Manual review: secure Norway starter; frequent 90-minute national-team usage; round 1 vs Iraq is strong value; offensive/assist upside from fullback role.
NOR,DEF,3,David Møller Wolfe,3.0,0.6856,0.7138,low_risk,,IRQ,2.617981,2.617981,transfermarkt_availability_split_2026_06_07,Manual review: usage is more ambiguous; do not raise blindly. Keep as watch/manual-check unless later expert-start data confirms.
NOR,DEF,4,Torbjørn Heggem,2.5,0.6376,0.6538,medium_risk,,IRQ,1.854285,1.854285,transfermarkt_availability_split_2026_06_07,
