player_name,matched_player_id,team_id,position,price,specific_round,start_prob,conditional_start_prob,appearance_prob,availability_risk,manual_status,next_round_opponent,next_round_win_prob,next_round_score,round1_2_score,group_stage_score,long_run_score,total_ev,round_1_ev,round_2_ev,round_3_ev,selected_in_strategies,model_error_flag,model_error_reason,recommended_manual_action,note
Brian Gutierrez,brian_gutierrez__mex,MEX,MID,2500000,,0.7685,0.8333,0.7778,medium_risk,,RSA,0.6447,1.7481,1.6665,1.7406,0.0,0.4406,0.1821,0.1344,0.1053,,no,,No immediate manual action from audit rules.,appearance_prob column uses availability_prob proxy; no separate appearance_prob source found. Not selected in exported strategy/formation squads.
Enner Valencia,enner_valencia__ecu,ECU,FWD,4000000,Runde 2,0.8568,0.97,0.6667,medium_risk,,CIV,0.4138,5.7956,8.3754,9.3093,1.5538,3.8204,1.107,1.8607,0.6793,,no,,No immediate manual action from audit rules.,Not selected in exported strategy/formation squads.
Arthur Theate,arthur_theate__bel,BEL,DEF,3000000,,0.6402,0.6739,0.8571,medium_risk,,EGY,0.566,3.355,4.4743,5.8374,2.5908,2.7528,0.8233,0.9217,0.8633,,no,,No immediate manual action from audit rules.,Not selected in exported strategy/formation squads.
Maxim De Cuyper,maxim_de_cuyper__bel,BEL,DEF,4000000,,0.7162,0.7619,0.8286,medium_risk,,EGY,0.566,5.0868,6.4279,8.083,4.1019,3.3926,1.0148,1.1413,1.0588,,no,,No immediate manual action from audit rules.,Not selected in exported strategy/formation squads.
Mahmoud Trezeguet,mahmoud_trezeguet__egy,EGY,MID,3000000,Runde 2,0.8438,0.9535,0.6714,medium_risk,,BEL,0.1929,1.432,1.5976,1.9187,0.0,0.3632,0.0652,0.1339,0.1413,,yes,specific_round_2_but_low_round_2_ev,Check round 2 fixture/upside assumptions.,Not selected in exported strategy/formation squads.
Kevin De Bruyne,kevin_de_bruyne__bel,BEL,MID,7000000,,0.8443,0.9449,0.6959,medium_risk,,EGY,0.566,5.4762,6.6841,8.0377,4.3183,3.0611,0.9936,1.0384,0.877,,no,,No immediate manual action from audit rules.,Not selected in exported strategy/formation squads.
Mehdi Taremi,mehdi_taremi__irn,IRN,FWD,3500000,Runde 1,0.9079,0.9505,0.872,low_risk,,NZL,0.5072,7.274,6.8883,8.4531,0.9795,3.4113,1.7943,0.6495,0.84,,no,,No immediate manual action from audit rules.,Not selected in exported strategy/formation squads.
Jurrien Timber,jurri_n_timber__ned,NED,DEF,2500000,Runde 2-3,0.6497,0.7381,0.6579,medium_risk,,JPN,0.4788,2.6687,3.5207,4.7123,2.9773,2.2521,0.6471,0.7492,0.7347,,yes,requested_uncertain_start_check; specific_round_2_but_low_round_2_ev; specific_round_3_but_low_round_3_ev,Manual lineup/start check before selection. Check round 2 fixture/upside assumptions. Check round 3 fixture/upside/rotation assumptions.,appearance_prob column uses availability_prob proxy; no separate appearance_prob source found. Not selected in exported strategy/formation squads.
Nico Schlotterbeck,nico_schlotterbeck__ger,GER,DEF,4000000,Runde 1,0.6026,0.6522,0.7826,medium_risk,,CUW,0.9177,5.2518,5.2821,5.814,4.0498,2.7243,1.2324,0.7389,0.6426,,yes,specific_round_1_but_low_next_round_score,Check round 1 fixture/upside assumptions.,Not selected in exported strategy/formation squads.
Wesley Franca,wesley_franca__bra,BRA,DEF,3500000,Runde 2-3,0.6273,0.7143,0.6522,medium_risk,,MAR,0.5861,3.7476,5.0588,5.9365,4.5269,2.5367,0.769,0.948,0.6928,,yes,specific_round_2_but_low_round_2_ev; specific_round_3_but_low_round_3_ev,Check round 2 fixture/upside assumptions. Check round 3 fixture/upside/rotation assumptions.,Not selected in exported strategy/formation squads.
