team_id,team_name,gk_count,sum_start_prob,max_start_prob,over_100_flag,multiple_high_gk_flag,player_name,player_id,start_prob,conditional_start_prob,start_prob_source,optimizer_ev,price
BRA,Brasilien,4,1.0251,0.65,TRUE,FALSE,Ederson Moraes,ederson_moraes__bra,0.3,0.35,manual_context_override_safe,0.732927,4995000
BRA,Brasilien,4,1.0251,0.65,TRUE,FALSE,Bento Krepski,bento_krepski__bra,0.05,0.08,manual_context_override_safe,0.0,5000000
BRA,Brasilien,4,1.0251,0.65,TRUE,FALSE,Weverton,weverton__bra,0.0251,0.0251,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.691232,3995000
CAN,Canada,3,0.8552,0.8,FALSE,FALSE,Maxime Crepeau,maxime_cr_peau__can,0.8,0.88,manual_context_override_safe,9.329998,3029000
CAN,Canada,3,0.8552,0.8,FALSE,FALSE,Dayne St. Clair,dayne_st_clair__can,0.0301,0.0301,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.422396,3495000
CAN,Canada,3,0.8552,0.8,FALSE,FALSE,Owen Goodman,owen_goodman__can,0.0251,0.0251,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.54364,2495000
CIV,Elfenbenskysten,3,1.0,0.892,FALSE,FALSE,Yahia Fofana,yahia_fofana__civ,0.892,0.892,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,5.03514,3122000
CIV,Elfenbenskysten,3,1.0,0.892,FALSE,FALSE,Alban Lafont,alban_lafont__civ,0.0829,0.0829,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.371643,2495000
CIV,Elfenbenskysten,3,1.0,0.892,FALSE,FALSE,Mohamed Kone,mohamed_kone__civ,0.0251,0.0251,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.0,2995000
COD,Congo DR,3,1.0,0.9494,FALSE,FALSE,Lionel Mpasi Nzau,lionel_mpasi_nzau__cod,0.9494,0.9494,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,1.061036,2514000
COD,Congo DR,3,1.0,0.9494,FALSE,FALSE,Timothy Fayulu,timothy_fayulu__cod,0.0255,0.0255,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.060125,2495000
COD,Congo DR,3,1.0,0.9494,FALSE,FALSE,Matthieu Epolo,matthieu_epolo__cod,0.0251,0.0251,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.101003,2995000
COL,Colombia,3,1.0001,0.7899,FALSE,FALSE,Camilo Vargas,camilo_vargas__col,0.7899,0.7899,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,10.265664,4059000
COL,Colombia,3,1.0001,0.7899,FALSE,FALSE,David Ospina,david_ospina__col,0.1212,0.1212,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,1.507991,3495000
COL,Colombia,3,1.0001,0.7899,FALSE,FALSE,Alvaro Montero,alvaro_montero__col,0.089,0.089,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,1.253397,3995000
CPV,Kap Verde,4,1.0,0.9285,FALSE,FALSE,Vozinha,vozinha__cpv,0.9285,0.9285,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.969572,2655000
CPV,Kap Verde,4,1.0,0.9285,FALSE,FALSE,Marcio Rosa,marcio_rosa__cpv,0.0464,0.0464,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.0,2495000
CPV,Kap Verde,4,1.0,0.9285,FALSE,FALSE,CJ Dos Santos,cj_dos_santos__cpv,0.0251,0.0251,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.0,2495000
CPV,Kap Verde,4,1.0,0.9285,FALSE,FALSE,Bruno Varela,bruno_varela__cpv,0.0,0.0,holdet_official_unmatched_default,0.0,2500000
CRO,Kroatien,3,1.0,0.9486,FALSE,FALSE,Dominik Livakovic,dominik_livakovi__cro,0.9486,0.9486,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,7.418713,4022000
CRO,Kroatien,3,1.0,0.9486,FALSE,FALSE,Dominik Kotarski,dominik_kotarski__cro,0.0263,0.0263,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.216728,2995000
CRO,Kroatien,3,1.0,0.9486,FALSE,FALSE,Ivor Pandur,ivor_pandur__cro,0.0251,0.0251,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.628593,2495000
CUW,Curaçao,3,1.0,0.9495,FALSE,FALSE,Eloy Room,eloy_room__cuw,0.9495,0.9495,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.284586,2473000
CUW,Curaçao,3,1.0,0.9495,FALSE,FALSE,Trevor Doornbusch,trevor_doornbusch__cuw,0.0254,0.0254,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.0,2495000
CUW,Curaçao,3,1.0,0.9495,FALSE,FALSE,Tyrick Bodak,tyrick_bodak__cuw,0.0251,0.0251,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.0,2495000
CZE,Tjekkiet,4,0.9999,0.9039,FALSE,FALSE,Matej Kovar,matej_kovar__cze,0.9039,0.9039,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,2.805337,3018000
CZE,Tjekkiet,4,0.9999,0.9039,FALSE,FALSE,Lukas Hornicek,lukas_hornicek__cze,0.0622,0.0622,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.116794,2495000
CZE,Tjekkiet,4,0.9999,0.9039,FALSE,FALSE,Jindrich Stanek,jindrich_stanek__cze,0.0338,0.0338,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.0,2495000
CZE,Tjekkiet,4,0.9999,0.9039,FALSE,FALSE,Martin Jedlicka,martin_jedlicka__cze,0.0,0.0,transfermarkt_availability_split_2026_06_07,0.0,2500000
ECU,Ecuador,4,1.0001,0.7812,FALSE,FALSE,Hernan Galindez,hern_n_gal_ndez__ecu,0.7812,0.7812,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,8.495284,3506000
ECU,Ecuador,4,1.0001,0.7812,FALSE,FALSE,Gonzalo Valle,gonzalo_valle__ecu,0.1261,0.1261,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,1.261501,2995000
ECU,Ecuador,4,1.0001,0.7812,FALSE,FALSE,Moises Ramirez,moises_ramirez__ecu,0.0928,0.0928,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.698755,2495000
ECU,Ecuador,4,1.0001,0.7812,FALSE,FALSE,David Cabezas,david_cabezas__ecu,0.0,0.0,transfermarkt_availability_split_2026_06_07,0.0,2500000
EGY,Egypten,4,1.0001,0.5193,FALSE,TRUE,Mostafa Oufa Shobeir,oufa_shobeir__egy,0.5193,0.5193,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,2.238991,2524000
