player_id,player_name,team_id,position,start_prob,minute_share,component_rounds_present,component_weighted_sum,old_base_ev,price_quality_ev_num,current_final_ev,formula_expected_ev,formula_diff,component_vs_old_base_diff,repair_status
noa_lang__ned,Noa Lang,NED,FWD,0.4448,0.040436,3,0.49916399999999994,0.158,1.759073225806452,2.793038,0.8784829516129035,1.9145550483870966,0.3411639999999999,component_rows_need_new_base
d_sir_dou__fra,Desire Doue,FRA,FWD,0.7192,0.065382,3,1.409973,0.627,2.635501935483872,3.442461,1.5308258709677425,1.9116351290322577,0.7829729999999999,component_rows_need_new_base
michael_gregoritsch__aut,Michael Gregoritsch,AUT,FWD,0.7668,0.069709,3,2.8881979999999996,1.409,2.2812009677419365,3.692733,1.8014904354838714,1.8912425645161286,1.4791979999999996,component_rows_need_new_base
jhon_arias__col,Jhon Arias,COL,MID,0.8946,0.081327,3,1.759799,0.705,1.9220676923076925,3.131343,1.2526804615384617,1.8786625384615385,1.054799,component_rows_need_new_base
lee_jae_sung__kor,Jae-Sung Lee,KOR,MID,0.7731,0.070282,3,1.855206,0.861,2.5527461538461536,3.491501,1.622285769230769,1.869215230769231,0.9942059999999999,component_rows_need_new_base
rodrigo_aguirre__uru,Rodrigo Aguirre,URU,FWD,0.8234,0.074855,3,2.7905539999999998,1.239,1.759073225806452,3.317659,1.4730329516129035,1.8446260483870964,1.5515539999999997,component_rows_need_new_base
giovani_lo_celso__arg,Giovani Lo Celso,ARG,MID,0.7765,0.070591,3,2.8845460000000003,1.489,2.5527461538461536,3.811874,1.9676857692307692,1.8441882307692308,1.3955460000000002,component_rows_need_new_base
thiago_almada__arg,Thiago Almada,ARG,MID,0.6347,0.0577,3,1.597977,0.765,2.8030153846153847,3.513683,1.682106923076923,1.831576076923077,0.832977,component_rows_need_new_base
richard_r_os__col,Richard Rios,COL,MID,0.8685,0.078955,3,1.9362249999999999,0.891,2.3658784615384616,3.378495,1.5546953076923078,1.8237996923076922,1.0452249999999998,component_rows_need_new_base
alexander_isak__swe,Alexander Isak,SWE,FWD,0.8206,0.0746,3,2.081309,1.079,3.020881935483872,3.763406,1.9528468709677425,1.8105591290322574,1.0023090000000001,component_rows_need_new_base
federico_vi_as__uru,Federico Vinas,URU,FWD,0.7883,0.071664,3,3.3849229999999997,1.881,2.635501935483872,3.995911,2.2205258709677427,1.7753851290322573,1.5039229999999997,component_rows_need_new_base
rayan_cherki__fra,Rayan Cherki,FRA,FWD,0.6933,0.063027,3,1.523666,0.724,2.635501935483872,3.333917,1.5841758709677425,1.7497411290322575,0.799666,component_rows_need_new_base
cristiano_ronaldo__por,Cristiano Ronaldo,POR,FWD,0.908,0.082545,3,5.128404,3.38,3.3627512903225814,5.118141,3.372238080645162,1.7459029193548377,1.7484039999999998,component_rows_need_new_base
mikel_oyarzabal__esp,Mikel Oyarzabal,ESP,FWD,0.8478,0.077073,3,3.6112019999999996,2.219,3.387614516129033,4.467014,2.744876532258065,1.722137467741935,1.3922019999999997,component_rows_need_new_base
tajon_buchanan__can,Tajon Buchanan,CAN,MID,0.9066,0.082418,3,3.8222759999999996,2.195,2.3658784615384616,3.95798,2.271895307692308,1.6860846923076922,1.6272759999999997,component_rows_need_new_base
lamine_yamal__esp,Lamine Yamal,ESP,FWD,0.8685,0.078955,3,3.658295,2.291,3.4435567741935493,4.488443,2.809650548387097,1.6787924516129031,1.367295,component_rows_need_new_base
marko_arnautovi__aut,Marko Arnautovic,AUT,FWD,0.8911,0.081009,3,4.086660999999999,2.515,2.871702580645162,4.347485,2.6755161612903233,1.6719688387096765,1.5716609999999993,component_rows_need_new_base
