match_id,home,away,kickoff_dk,home_win_odds,draw_odds,away_win_odds,home_clean_sheet_odds,away_clean_sheet_odds,over_2_5_odds,under_2_5_odds,home_win_prob_fair,draw_prob_fair,away_win_prob_fair,home_cs_prob,away_cs_prob,over_2_5_prob,under_2_5_prob,source,odds_fetched_at,odds_fetched_label
50,BIH,QAT,2026-06-24 21:00,1.65,3.85,6.25,,,,,0.5908,0.2532,0.1560,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
49,SUI,CAN,2026-06-24 21:00,2.2,3.45,3.65,,,,,0.4463,0.2846,0.2690,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
52,MAR,HAI,2026-06-25 00:00,1.35,5.3,10.5,,,,,0.7229,0.1841,0.0929,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
51,SCO,BRA,2026-06-25 00:00,8,4.5,1.49,,,,,0.1227,0.2182,0.6590,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
54,RSA,KOR,2026-06-25 03:00,4.25,3.5,1.98,,,,,0.2293,0.2785,0.4922,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
53,CZE,MEX,2026-06-25 03:00,5,3.65,1.84,,,,,0.1966,0.2693,0.5342,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
55,CUW,CIV,2026-06-25 22:00,15,6.4,1.25,,,,,0.0652,0.1527,0.7821,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
56,ECU,GER,2026-06-25 22:00,5,3.85,1.76,,,,,0.1946,0.2527,0.5527,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
58,JPN,SWE,2026-06-26 01:00,2.1,3.5,3.75,,,,,0.4630,0.2778,0.2593,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
57,TUN,NED,2026-06-26 01:00,7,4.6,1.52,,,,,0.1403,0.2135,0.6462,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
60,PAR,AUS,2026-06-26 04:00,2.23,3.35,3.55,,,,,0.4360,0.2902,0.2739,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
59,TUR,USA,2026-06-26 04:00,2.75,3.5,2.63,,,,,0.3532,0.2775,0.3693,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
61,NOR,FRA,2026-06-26 21:00,4.4,3.75,1.87,,,,,0.2209,0.2592,0.5198,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
62,SEN,IRQ,2026-06-26 21:00,1.46,4.5,8,,,,,0.6636,0.2153,0.1211,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
63,CPV,KSA,2026-06-27 02:00,2.7,3.4,2.8,,,,,0.3625,0.2879,0.3496,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
64,URU,ESP,2026-06-27 02:00,5.8,4,1.68,,,,,0.1694,0.2457,0.5849,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
66,EGY,IRN,2026-06-27 05:00,2.28,3.15,3.7,,,,,0.4273,0.3093,0.2633,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
65,NZL,BEL,2026-06-27 05:00,10.5,5.8,1.32,,,,,0.0929,0.1682,0.7389,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
67,CRO,GHA,2026-06-27 23:00,1.68,3.9,6,,,,,0.5845,0.2518,0.1637,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
68,PAN,ENG,2026-06-27 23:00,11,5.75,1.3,,,,,0.0879,0.1682,0.7439,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
70,COL,POR,2026-06-28 01:30,3.7,3.4,2.15,,,,,0.2625,0.2857,0.4518,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
69,COD,UZB,2026-06-28 01:30,2.38,3.3,3.3,,,,,0.4094,0.2953,0.2953,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
71,ALG,AUT,2026-06-28 04:00,3.6,3.35,2.2,,,,,0.2695,0.2896,0.4410,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
72,JOR,ARG,2026-06-28 04:00,18,7,1.22,,,,,0.0546,0.1403,0.8051,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12
