"match_id","home","away","team_id","clean_sheet_yes_odds","clean_sheet_no_odds","source","clean_sheet_fetched_at","clean_sheet_fetched_label","note","stage","group","team_name","opponent_id","opponent_name","kickoff_dk","yes_odds","no_odds","odds_fetched_at","odds_fetched_label"
"81","","","CIV","4.00","1.21","Unibet/Oddset.dk","","","","R32","","Elfenbenskysten","NOR","Norge","2026-06-30 19:00","4.00","1.21","2026-06-28T06:18:52+02:00","Unibet/Oddset 28.06 screenshots"
"81","","","NOR","2.75","1.40","Unibet/Oddset.dk","","","","R32","","Norge","CIV","Elfenbenskysten","2026-06-30 19:00","2.75","1.40","2026-06-28T06:18:52+02:00","Unibet/Oddset 28.06 screenshots"
"82","","","ECU","3.00","1.33","Unibet/Oddset.dk","","","","R32","","Ecuador","MEX","Mexico","2026-07-01 03:00","3.00","1.33","2026-06-28T06:18:52+02:00","Unibet/Oddset 28.06 screenshots"
"82","","","MEX","2.15","1.63","Unibet/Oddset.dk","","","","R32","","Mexico","ECU","Ecuador","2026-07-01 03:00","2.15","1.63","2026-06-28T06:18:52+02:00","Unibet/Oddset 28.06 screenshots"
"83","","","COD","6.50","1.08","Unibet/Oddset.dk","","","","R32","","DR Congo","ENG","England","2026-07-01 18:00","6.50","1.08","2026-06-28T06:18:52+02:00","Unibet/Oddset 28.06 screenshots"
"83","","","ENG","1.56","2.30","Unibet/Oddset.dk","","","","R32","","England","COD","DR Congo","2026-07-01 18:00","1.56","2.30","2026-06-28T06:18:52+02:00","Unibet/Oddset 28.06 screenshots"
"84","","","BEL","2.30","1.54","Unibet/Oddset.dk","","","","R32","","Belgien","SEN","Senegal","2026-07-01 22:00","2.30","1.54","2026-06-28T06:18:52+02:00","Unibet/Oddset 28.06 screenshots"
"84","","","SEN","3.50","1.26","Unibet/Oddset.dk","","","","R32","","Senegal","BEL","Belgien","2026-07-01 22:00","3.50","1.26","2026-06-28T06:18:52+02:00","Unibet/Oddset 28.06 screenshots"
"85","","","AUT","5.50","1.11","Unibet/Oddset.dk","","","","R32","","Østrig","ESP","Spanien","2026-07-02 21:00","5.50","1.11","2026-06-28T06:18:52+02:00","Unibet/Oddset 28.06 screenshots"
"85","","","ESP","1.56","2.30","Unibet/Oddset.dk","","","","R32","","Spanien","AUT","Østrig","2026-07-02 21:00","1.56","2.30","2026-06-28T06:18:52+02:00","Unibet/Oddset 28.06 screenshots"
"86","","","CRO","3.40","1.26","Unibet/Oddset.dk","","","","R32","","Kroatien","POR","Portugal","2026-07-03 01:00","3.40","1.26","2026-06-28T06:18:52+02:00","Unibet/Oddset 28.06 screenshots"
"86","","","POR","2.10","1.67","Unibet/Oddset.dk","","","","R32","","Portugal","CRO","Kroatien","2026-07-03 01:00","2.10","1.67","2026-06-28T06:18:52+02:00","Unibet/Oddset 28.06 screenshots"
"88","","","COL","2.00","1.73","Unibet/Oddset.dk","","","","R32","","Colombia","GHA","Ghana","2026-07-04 03:30","2.00","1.73","2026-06-28T06:18:52+02:00","Unibet/Oddset 28.06 screenshots"
"88","","","GHA","3.65","1.25","Unibet/Oddset.dk","","","","R32","","Ghana","COL","Colombia","2026-07-04 03:30","3.65","1.25","2026-06-28T06:18:52+02:00","Unibet/Oddset 28.06 screenshots"
"92","MEX","ENG","ENG","2.50","1.47","Danske Spil / Oddset","2026-07-03T09:34:08+02:00","Oddset 03.07 kl. 09:34","Manuelt aflæst fra screenshots/PDF 03.07","R16","","England","MEX","Mexico","","2.50","1.47","2026-07-03T09:34:08+02:00","Oddset 03.07 kl. 09:34"
