player_id,player_name,team_id,position,recent_available_observations,recent_available_start_rate,historical_weighted_start_rate,neutral_injury_or_suspension_rows,old_conditional_start_prob,new_conditional_start_prob,old_start_prob,new_start_prob,old_start_prob_source,new_start_prob_source,context_override
rodrigo_de_paul__arg,Rodrigo de Paul,ARG,MID,2026-06-07:played:start=0; 2026-03-31:played:start=0; 2026-03-27:played:start=0,0,0.7526,0,0.4678,0.2258,0.4553,0.2199,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
matias_galarza_fonda__par,Matias Galarza Fonda,PAR,MID,2026-06-05:played:start=0; 2026-03-31:in squad:start=0; 2026-03-27:played:start=0,0,0.1859,0,0.294,0.0558,0.2589,0.0494,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
antonio_r_diger__ger,Antonio Rüdiger,GER,DEF,2026-06-06:in squad:start=0; 2026-05-31:in squad:start=0; 2026-03-30:played:start=0,0,0.7308,34,0.229,0.2193,0.2168,0.208,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
tomas_holes__cze,Tomas Holes,CZE,DEF,2026-06-05:played:start=0; 2026-05-31:played:start=0; 2026-03-31:in squad:start=0,0,0.6686,14,0.2006,0.2006,0.187,0.187,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
rami_rabia__egy,Rami Rabia,EGY,DEF,2026-06-06:in squad:start=0; 2026-05-28:played:start=0; 2026-03-31:in squad:start=0,0,0.6741,10,0.2118,0.2022,0.1821,0.1739,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,2026-05-31:played:start=0; 2025-10-14:in squad:start=0; 2025-10-10:in squad:start=0,0,0.6819,19,0.2046,0.2046,0.1759,0.1759,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
cameron_burgess__aus,Cameron Burgess,AUS,DEF,2026-06-06:played:start=0; 2026-05-31:played:start=0; 2026-03-31:played:start=0,0,0.5632,0,0.1789,0.169,0.1757,0.1661,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
jearl_margaritha__cuw,Jearl Margaritha,CUW,FWD,2026-05-30:in squad:start=0; 2026-03-31:played:start=0; 2026-03-27:played:start=0,0,0.596,2,0.1788,0.1788,0.1755,0.1755,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
max_arfsten__usa,Max Arfsten,USA,DEF,2026-06-06:played:start=0; 2026-05-31:played:start=0; 2026-03-31:played:start=0,0,0.5524,0,0.1773,0.1657,0.1737,0.1625,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
ibrahim_sangare__civ,Ibrahim Sangare,CIV,MID,2026-06-04:played:start=0; 2026-03-31:in squad:start=0; 2026-03-28:played:start=0,0,0.641,5,0.1923,0.1923,0.1728,0.1728,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
erick_davis__pan,Eric Davis,PAN,DEF,2026-06-06:played:start=0; 2026-06-04:played:start=0; 2026-05-31:played:start=0,0,0.6013,13,0.1861,0.1804,0.1667,0.162,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
ngelo_preciado__ecu,Angelo Preciado,ECU,DEF,2026-05-31:played:start=0; 2026-03-31:played:start=0; 2026-03-27:played:start=0,0,0.576,5,0.1728,0.1728,0.164,0.164,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
charles_pickel__cod,Charles Pickel,COD,MID,2026-06-03:played:start=0; 2026-03-31:played:start=0; 2026-01-06:played:start=0,0,0.552,0,0.1656,0.1656,0.1552,0.1552,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
patrick_agyemang__usa,Patrick Agyemang,USA,FWD,2026-03-31:played:start=0; 2026-03-28:played:start=0; 2025-10-15:in squad:start=0,0,0.5417,2,0.1625,0.1625,0.1535,0.1535,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
baghdad_bounedjah__alg,Baghdad Bounedjah,ALG,FWD,2026-01-10:played:start=0; 2026-01-06:played:start=0; 2025-12-31:in squad:start=0,0,0.5882,0,0.1765,0.1765,0.1518,0.1518,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
alireza_jahanbakhsh__irn,Alireza Jahanbakhsh,IRN,FWD,2026-03-31:played:start=0; 2026-03-27:played:start=0; 2025-10-14:played:start=0,0,0.5451,13,0.1635,0.1635,0.1507,0.1507,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
youcef_atal__alg,Youcef Atal,ALG,DEF,2026-01-10:in squad:start=0; 2026-01-06:in squad:start=0; 2025-12-31:played:start=0,0,0.5593,29,0.1678,0.1678,0.1504,0.1504,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
david_raum__ger,David Raum,GER,DEF,2026-06-06:played:start=0; 2026-05-31:in squad:start=0; 2026-03-30:played:start=0,0,0.5038,4,0.1511,0.1511,0.1476,0.1476,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
abdulaziz_hatim_mohammed__qat,Abdulaziz Hatim Mohammed,QAT,MID,2026-06-06:in squad:start=0; 2026-05-28:in squad:start=0; 2025-12-07:in squad:start=0,0,0.5536,0,0.1661,0.1661,0.1465,0.1465,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
milo_degenek__aus,Milos Degenek,AUS,DEF,2026-06-06:played:start=0; 2026-05-31:in squad:start=0; 2026-03-31:played:start=0,0,0.488,11,0.1541,0.1464,0.1436,0.1367,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
nicolas_de_la_cruz__uru,Nicolas de la Cruz,URU,MID,2026-03-31:played:start=0; 2026-03-27:in squad:start=0; 2025-03-21:played:start=0,0,0.5208,16,0.1562,0.1562,0.1385,0.1385,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
jawad_el_yamiq__mar,Jawad El Yamiq,MAR,DEF,2026-01-18:played:start=0; 2026-01-14:in squad:start=0; 2026-01-09:in squad:start=0,0,0.5233,7,0.157,0.157,0.135,0.135,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
amad_diallo__civ,Amad Diallo,CIV,FWD,2026-06-04:played:start=0; 2026-03-31:played:start=0; 2026-03-28:played:start=0,0,0.5219,9,0.1566,0.1566,0.1346,0.1346,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
ramin_rezaeian__irn,Ramin Rezaeian,IRN,DEF,2026-06-04:played:start=0; 2026-05-29:played:start=0; 2026-03-31:played:start=0,0,0.5079,2,0.1524,0.1524,0.1338,0.1338,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
kaan_ayhan__tur,Kaan Ayhan,TUR,MID,2026-06-06:in squad:start=0; 2026-06-01:played:start=0; 2026-03-31:in squad:start=0,0,0.4453,8,0.1397,0.1336,0.1326,0.127,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
anthony_ralston__sco,Anthony Ralston,SCO,DEF,2026-06-06:played:start=0; 2026-05-30:played:start=0; 2026-03-31:in squad:start=0,0,0.4508,0,0.1439,0.1353,0.132,0.1245,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
jhon_c_rdoba__col,Jhon Cordoba,COL,FWD,2026-06-01:in squad:start=0; 2026-03-29:played:start=0; 2026-03-26:played:start=0,0,0.478,0,0.1434,0.1434,0.1309,0.1309,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
ali_majrashi__ksa,Ali Majrashi,KSA,DEF,2026-06-05:played:start=0; 2026-05-31:in squad:start=0; 2026-03-31:played:start=0,0,0.4654,4,0.1484,0.1396,0.1276,0.1201,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
nando_pijnaker__nzl,Nando Pijnaker,NZL,DEF,2026-06-06:played:start=0; 2026-06-03:played:start=0; 2025-06-10:in squad:start=0,0,0.4139,8,0.1348,0.1242,0.1247,0.1154,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
kendry_p_ez__ecu,Kendry Paez,ECU,MID,2026-05-31:played:start=0; 2026-03-31:in squad:start=0; 2026-03-27:played:start=0,0,0.4193,0,0.1258,0.1258,0.1237,0.1237,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
omid_noorafkan__irn,Omid Noorafkan,IRN,MID,2026-05-29:played:start=0; 2026-03-31:played:start=0; 2026-03-27:played:start=0,0,0.4519,6,0.1356,0.1356,0.1236,0.1236,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
jonathan_osorio__can,Jonathan Osorio,CAN,MID,2026-06-05:in squad:start=0; 2026-06-02:played:start=0; 2026-03-31:played:start=0,0,0.4182,6,0.1299,0.1255,0.1223,0.1184,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
david_ospina__col,David Ospina,COL,GK,2026-06-01:played:start=0; 2026-03-29:in squad:start=0; 2026-03-26:in squad:start=0,0,0.4965,31,0.1212,0.1212,0.1212,0.1212,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,
d_enis_burni__bih,Dzenis Burnic,BIH,MID,2026-06-06:played:start=0; 2026-05-29:played:start=0; 2026-03-31:played:start=0,0,0.3867,0,0.1255,0.116,0.1209,0.112,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
junnosuke_suzuki__jpn,Junnosuke Suzuki,JPN,DEF,2026-05-31:in squad:start=0; 2026-03-31:played:start=0; 2026-03-28:played:start=0,0,0.4359,3,0.1308,0.1308,0.1206,0.1206,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
mohau_nkota__rsa,Mohau Nkota,RSA,FWD,2026-01-04:in squad:start=0; 2025-12-29:played:start=0; 2025-12-26:in squad:start=0,0,0.4375,0,0.1313,0.1313,0.1189,0.1189,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
eliesse_ben_seghir__mar,Eliesse Ben Seghir,MAR,MID,2026-01-14:played:start=0; 2026-01-09:in squad:start=0; 2026-01-04:played:start=0,0,0.4474,0,0.1342,0.1342,0.1154,0.1154,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
derrick_etienne__hai,Derrick Etienne Jr.,HAI,FWD,2026-06-06:played:start=0; 2026-06-03:played:start=0; 2026-03-31:played:start=0,0,0.4077,0,0.1314,0.1223,0.113,0.1052,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
youssef_en_nesyri__mar,Youssef En-Nesyri,MAR,FWD,2026-01-18:played:start=0; 2026-01-14:played:start=0; 2026-01-09:played:start=0,0,0.4185,9,0.1255,0.1255,0.1118,0.1118,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
ibrahim_sulemana__gha,Ibrahim Sulemana,GHA,MID,2026-03-30:in squad:start=0; 2026-03-27:played:start=0; 2025-09-04:in squad:start=0,0,0.4082,7,0.1224,0.1224,0.1084,0.1084,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
pape_matar_sarr__sen,Pape Matar Sarr,SEN,MID,2026-05-31:played:start=0; 2026-03-28:played:start=0; 2026-01-18:in squad:start=0,0,0.3919,1,0.1176,0.1176,0.1062,0.1062,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
eric_garcia__esp,Eric Garcia,ESP,DEF,2026-06-04:played:start=0; 2022-12-06:in squad:start=0; 2022-12-01:in squad:start=0,0,0.4091,4,0.1227,0.1227,0.1055,0.1055,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
hjalmar_ekdal__swe,Hjalmar Ekdal,SWE,DEF,2026-06-04:played:start=0; 2026-06-01:played:start=0; 2025-10-13:in squad:start=0,0,0.3769,12,0.1131,0.1131,0.1014,0.1014,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
joao_palhinha__por,João Palhinha,POR,MID,2025-11-16:in squad:start=0; 2025-11-13:in squad:start=0; 2025-10-14:played:start=0,0,0.3465,2,0.1039,0.1039,0.0998,0.0998,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
juan_manuel_sanabria__uru,Juan Manuel Sanabria,URU,MID,2026-03-31:played:start=0; 2026-03-27:played:start=0; 2025-11-19:in squad:start=0,0,0.3446,0,0.1034,0.1034,0.0993,0.0993,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
brian_rodr_guez__uru,Brian Rodriguez,URU,FWD,2026-03-31:in squad:start=0; 2026-03-27:played:start=0; 2025-11-19:played:start=0,0,0.3623,2,0.1087,0.1087,0.0981,0.0981,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
amir_hadziahmetovic__bih,Amir Hadziahmetovic,BIH,MID,2026-06-06:played:start=0; 2026-05-29:played:start=0; 2026-03-31:played:start=0,0,0.3423,6,0.1122,0.1027,0.0965,0.0883,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
jesus_angulo__mex,Jesus Angulo,MEX,DEF,2026-04-01:in squad:start=0; 2026-03-29:in squad:start=0; 2025-03-24:played:start=0,0,0.3638,0,0.1092,0.1092,0.0939,0.0939,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
erick_sanchez__mex,Erick Sanchez,MEX,MID,2026-04-01:played:start=0; 2026-03-29:played:start=0; 2026-02-26:played:start=0,0,0.3588,0,0.1076,0.1076,0.0926,0.0926,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
adil_boulbina__alg,Adil Boulbina,ALG,FWD,2026-06-03:played:start=0; 2026-03-31:in squad:start=0; 2026-03-27:played:start=0,0,0.3555,0,0.1066,0.1066,0.0917,0.0917,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
gervane_kastaneer__cuw,Gervane Kastaneer,CUW,FWD,2026-05-30:played:start=0; 2026-03-31:played:start=0; 2026-03-27:played:start=0,0,0.3308,2,0.0992,0.0992,0.0902,0.0902,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
rafael_santos_borre__col,Rafael Santos Borre,COL,FWD,2026-03-29:in squad:start=0; 2026-03-26:in squad:start=0; 2025-11-19:played:start=0,0,0.3181,6,0.0954,0.0954,0.0901,0.0901,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
dylan_batubinsika__cod,Dylan Batubinsika,COD,DEF,2026-06-03:in squad:start=0; 2026-01-06:in squad:start=0; 2025-12-30:in squad:start=0,0,0.3356,2,0.1007,0.1007,0.0889,0.0889,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
mohammed_ghorbani__irn,Mohammad Ghorbani,IRN,MID,2026-06-04:played:start=0; 2026-05-29:played:start=0; 2026-03-31:in squad:start=0,0,0.3118,0,0.0935,0.0935,0.0887,0.0887,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
evidence_makgopa__rsa,Evidence Makgopa,RSA,FWD,2026-05-29:in squad:start=0; 2026-03-31:played:start=0; 2026-03-27:played:start=0,0,0.3391,0,0.1017,0.1017,0.0875,0.0875,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
djibril_sow__sui,Djibril Sow,SUI,MID,2026-06-06:played:start=0; 2026-05-31:played:start=0; 2026-03-31:played:start=0,0,0.2987,11,0.0948,0.0896,0.0871,0.0827,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
carlos_rodriguez__mex,Carlos Rodriguez,MEX,MID,2026-04-01:in squad:start=0; 2026-03-29:played:start=0; 2026-02-26:played:start=0,0,0.309,4,0.0927,0.0927,0.0864,0.0864,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
nkosinathi_sibisi__rsa,Nkosinathi Sibisi,RSA,DEF,2026-05-29:played:start=0; 2026-03-31:in squad:start=0; 2026-03-27:in squad:start=0,0,0.3149,0,0.0945,0.0945,0.0863,0.0863,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
deiver_machado__col,Deiver Machado,COL,DEF,2026-06-01:played:start=0; 2026-03-29:played:start=0; 2026-03-26:played:start=0,0,0.3316,13,0.0995,0.0995,0.0855,0.0855,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
jeremie_frimpong__ned,Jeremie Frimpong,NED,DEF,2026-03-31:played:start=0; 2026-03-27:in squad:start=0; 2025-10-12:in squad:start=0,0,0.2906,6,0.0872,0.0872,0.0846,0.0846,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
igor_sergeev__uzb,Igor Sergeev,UZB,FWD,2026-06-02:played:start=0; 2026-03-30:in squad:start=0; 2026-03-27:played:start=0,0,0.309,11,0.0927,0.0927,0.0843,0.0843,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
kevin_yakob__irq,Kevin Yakob,IRQ,MID,2026-06-04:played:start=0; 2026-05-29:played:start=0; 2026-04-01:played:start=0,0,0.3224,15,0.0967,0.0967,0.0832,0.0832,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
alexander_prass__aut,Alexander Prass,AUT,DEF,2026-06-01:played:start=0; 2026-03-31:played:start=0; 2026-03-27:played:start=0,0,0.3006,3,0.0902,0.0902,0.0816,0.0816,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
brenden_aaronson__usa,Brenden Aaronson,USA,MID,2026-06-06:played:start=0; 2026-05-31:in squad:start=0; 2026-03-31:played:start=0,0,0.2852,3,0.089,0.0855,0.0812,0.0782,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
koki_ogawa__jpn,Koki Ogawa,JPN,FWD,2026-05-31:played:start=0; 2026-03-31:played:start=0; 2026-03-28:in squad:start=0,0,0.3146,6,0.0944,0.0944,0.0812,0.0812,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
daniel_vivian__esp,Daniel Vivian,ESP,DEF,2025-11-18:in squad:start=0; 2025-11-15:in squad:start=0; 2025-10-14:played:start=0,0,0.2847,2,0.0854,0.0854,0.0801,0.0801,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
frans_dhia_putros__irq,Frans Dhia Putros,IRQ,DEF,2026-06-04:played:start=0; 2026-05-29:played:start=0; 2026-04-01:in squad:start=0,0,0.3054,9,0.0916,0.0916,0.0788,0.0788,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
saleem_obaid__jor,Saleem Obaid,JOR,DEF,2026-05-31:played:start=0; 2026-03-31:played:start=0; 2026-03-27:in squad:start=0,0,0.3038,0,0.0911,0.0911,0.0784,0.0784,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
alex_arce__par,Alex Arce,PAR,FWD,2026-06-05:played:start=0; 2026-03-31:in squad:start=0; 2026-03-27:played:start=0,0,0.2525,2,0.0825,0.0757,0.078,0.0719,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
hossam_abdelmaguid__egy,Hossam Abdelmaguid,EGY,DEF,2026-06-06:in squad:start=0; 2026-05-28:played:start=0; 2026-03-31:played:start=0,0,0.2781,0,0.0889,0.0834,0.0771,0.0728,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
kevin_casta_o__col,Kevin Castano,COL,MID,2026-06-01:played:start=0; 2026-03-29:in squad:start=0; 2026-03-26:played:start=0,0,0.2646,0,0.0794,0.0794,0.0759,0.0759,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
godfried_roemeratoe__cuw,Godfried Roemeratoe,CUW,MID,2026-05-30:played:start=0; 2026-03-31:played:start=0; 2026-03-27:played:start=0,0,0.2599,0,0.078,0.078,0.0753,0.0753,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
aymen_dahmen__tun,Aymen Dahmen,TUN,GK,2026-06-06:in squad:start=0; 2026-06-01:in squad:start=0; 2026-03-31:in squad:start=0,0,0.5859,5,0.073,0.04,0.073,0.04,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,
kristijan_jaki__cro,Kristijan Jakic,CRO,DEF,2026-06-02:played:start=0; 2026-04-01:in squad:start=0; 2026-03-26:played:start=0,0,0.2595,9,0.0779,0.0779,0.0729,0.0729,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
akmal_mozgovoy__uzb,Akmal Mozgovoy,UZB,MID,2026-06-02:played:start=0; 2026-03-30:played:start=0; 2026-03-27:played:start=0,0,0.2723,0,0.0817,0.0817,0.0717,0.0717,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
carl_sainte__hai,Carl Sainte,HAI,MID,2026-06-06:in squad:start=0; 2026-06-03:played:start=0; 2026-03-31:played:start=0,0,0.2384,0,0.0759,0.0715,0.0715,0.0676,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
jordy_alcivar__ecu,Jordy Alcivar,ECU,MID,2026-05-31:played:start=0; 2026-03-31:played:start=0; 2026-03-27:played:start=0,0,0.2744,2,0.0823,0.0823,0.0708,0.0708,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
german_berterame__mex,German Berterame,MEX,FWD,2026-04-01:in squad:start=0; 2026-03-29:played:start=0; 2026-01-25:played:start=0,0,0.2728,0,0.0819,0.0819,0.0704,0.0704,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
goncalo_guedes__por,Goncalo Guedes,POR,FWD,2026-06-06:played:start=0; 2026-03-31:in squad:start=0; 2026-03-29:played:start=0,0,0.237,6,0.0806,0.0711,0.0694,0.0611,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
tarek_alaa__egy,Tarek Alaa,EGY,DEF,2023-02-25:in squad:start=0; 2023-02-22:in squad:start=0; 2023-02-19:in squad:start=0,0,0.25,0,0.075,0.075,0.0693,0.0693,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
kevin_rodr_guez__ecu,Kevin Rodriguez,ECU,FWD,2026-05-31:played:start=0; 2026-03-27:played:start=0; 2025-11-19:in squad:start=0,0,0.2397,4,0.0719,0.0719,0.0689,0.0689,transfermarkt_availability_split_2026_06_07,transfermarkt_availability_split_2026_06_07,
