player_name,team_id,position,price_m,start_prob,conditional_start_prob,availability_risk,match_1_opponent_team,match_1_weighted_match_ev,optimizer_ev,start_signal_tier,start_signal_rank_adjusted,audit_priority
Gabriel Magalhaes,BRA,DEF,4.5,0.6041,0.6443,medium_risk,MAR,0.891387,2.883586,Tvivlsom starter,0.5815692950351871,0.10900960000000015
Nathan Saliba,CAN,MID,3.0,0.5501,0.593,medium_risk,BIH,0.813451,1.891311,Tvivlsom starter,0.5615065742454736,0.1006608
Alex Freeman,USA,DEF,2.5,0.6629,0.6783,medium_risk,PAR,0.944396,2.163916,Tvivlsom starter,0.6369854969506363,0.09261680000000005
Alex Sandro,BRA,DEF,2.5,0.5495,0.639,high_risk,MAR,0.802157,2.024794,Bænk/rotation,0.4801169260474549,0.09222560000000002
David Cabezas,ECU,GK,2.5,0.6671,0.6671,high_risk,CIV,0.929383,1.752126,Tvivlsom starter,0.679350554396763,0.07640639999999999
Jefferson Lerma,COL,MID,3.0,0.6382,0.6935,medium_risk,UZB,0.890763,2.062972,Tvivlsom starter,0.6427193470849915,0.07441039999999999
Guillermo Varela,URU,DEF,3.0,0.5316,0.6173,high_risk,KSA,0.754746,1.89941,Bænk/rotation,0.5184752475672348,0.07219680000000006
Douglas Santos,BRA,DEF,2.5,0.5331,0.6199,high_risk,MAR,0.750652,1.940726,Bænk/rotation,0.3856527135256095,0.06742159999999997
Merih Demiral,TUR,DEF,3.0,0.6686,0.6924,medium_risk,AUS,0.918422,2.43395,Tvivlsom starter,0.6387507528523672,0.06613760000000002
Milad Mohammadi,IRN,DEF,2.5,0.6102,0.6592,medium_risk,NZL,0.845334,1.622989,Tvivlsom starter,0.5892673478759861,0.0660672000000001
Tim Ream,USA,DEF,2.5,0.5853,0.6715,high_risk,PAR,0.812286,1.878144,Tvivlsom starter,0.5679452239573328,0.06452879999999994
Matt Turner,USA,GK,3.0,0.6001,0.6001,medium_risk,PAR,0.812891,1.938301,Tvivlsom starter,0.6209721563259837,0.05021280000000006
Jules Kounde,FRA,DEF,3.5,0.6814,0.6976,medium_risk,SEN,0.907738,2.876339,Tvivlsom starter,0.6487135965048841,0.04479040000000012
Sebastian Berhalter,USA,MID,3.0,0.6315,0.6674,medium_risk,PAR,0.833906,2.066179,Tvivlsom starter,0.6422322757970212,0.03562480000000012
John Stones,ENG,DEF,4.0,0.6535,0.7024,medium_risk,CRO,0.848733,2.911502,Tvivlsom starter,0.62457830812065,0.02548640000000002
Zeno Debast,BEL,DEF,3.5,0.6368,0.6552,medium_risk,EGY,0.826014,2.742073,Tvivlsom starter,0.6123433677532368,0.02401120000000001
Victor Lindelöf,SWE,DEF,3.0,0.6262,0.6988,medium_risk,TUN,0.810035,1.919577,Tvivlsom starter,0.5513574299456429,0.02182800000000007
Mert Müldür,TUR,DEF,3.0,0.6172,0.6552,medium_risk,AUS,0.797852,2.172315,Tvivlsom starter,0.5429185637841738,0.021081600000000034
Adrien Rabiot,FRA,MID,4.0,0.605,0.6585,medium_risk,SEN,0.765318,2.16191,Tvivlsom starter,0.6214971776178534,0.007254400000000105
Wesley Franca,BRA,DEF,3.5,0.6273,0.7143,medium_risk,MAR,0.769857,2.610779,Tvivlsom starter,0.5997972142619192,-0.011414399999999936
