holdet_player_id,holdet_player_name,holdet_team_id,holdet_position,pool_player_id,pool_player_name,pool_team_id,pool_position,match_type,source_file
49994,Zineddine Belaid,ALG,DEF,zineddine_belaid__alg,Zineddine Belaid,ALG,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49544,Mehdi Dorval,ALG,DEF,mehdi_dorval__alg,Mehdi Dorval,ALG,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49757,Rayan Ait-Nouri,ALG,DEF,rayan_a_t_nouri__alg,Rayan Ait-Nouri,ALG,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49749,Ramy Bensebaini,ALG,DEF,ramy_bensebaini__alg,Ramy Bensebaini,ALG,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49743,Rafik Belghali,ALG,DEF,rafik_belghali__alg,Rafik Belghali,ALG,DEF,name_team_position,data\holdet_players_game_616_flat.csv
48755,Aissa Mandi,ALG,DEF,a_ssa_mandi__alg,Aissa Mandi,ALG,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49647,Nicolas Otamendi,ARG,DEF,nicol_s_otamendi__arg,Nicolas Otamendi,ARG,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49651,Nicolas Tagliafico,ARG,DEF,nicol_s_tagliafico__arg,Nicolas Tagliafico,ARG,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49433,Leonardo Balerdi,ARG,DEF,leonardo_balerdi__arg,Leonardo Balerdi,ARG,DEF,name_team_position,data\holdet_players_game_616_flat.csv
48969,Cristian Romero,ARG,DEF,cristian_romero__arg,Cristian Romero,ARG,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49356,Julio Soler,ARG,DEF,julio_soler__arg,Julio Soler,ARG,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49457,Lucas Herrington,AUS,DEF,lucas_herrington__aus,Lucas Herrington,AUS,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49145,Gonzalo Montiel,ARG,DEF,gonzalo_montiel__arg,Gonzalo Montiel,ARG,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49621,Nahuel Molina,ARG,DEF,nahuel_molina__arg,Nahuel Molina,ARG,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49241,Jacob Italiano,AUS,DEF,jacob_italiano__aus,Jacob Italiano,AUS,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49258,Jason Geria,AUS,DEF,jason_geria__aus,Jason Geria,AUS,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49368,Kai Trewin,AUS,DEF,kai_trewin__aus,Kai Trewin,AUS,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49417,Kye Rowles,AUS,DEF,kye_rowles__aus,Kye Rowles,AUS,DEF,name_team_position,data\holdet_players_game_616_flat.csv
48929,Cameron Burgess,AUS,DEF,cameron_burgess__aus,Cameron Burgess,AUS,DEF,name_team_position,data\holdet_players_game_616_flat.csv
48770,Alessandro Circati,AUS,DEF,alessandro_circati__aus,Alessandro Circati,AUS,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49315,Jordan Bos,AUS,DEF,jordan_bos__aus,Jordan Bos,AUS,DEF,name_team_position,data\holdet_players_game_616_flat.csv
48927,Callum Elder,AUS,DEF,callum_elder__aus,Callum Elder,AUS,DEF,name_team_position,data\holdet_players_game_616_flat.csv
48881,Aziz Behich,AUS,DEF,aziz_behich__aus,Aziz Behich,AUS,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49567,Milos Degenek,AUS,DEF,milo_degenek__aus,Milos Degenek,AUS,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49034,Douglas Santos,BRA,DEF,douglas_santos__bra,Douglas Santos,BRA,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49507,Marquinhos,BRA,DEF,marquinhos__bra,Marquinhos,BRA,DEF,name_team_position,data\holdet_players_game_616_flat.csv
48778,Alex Sandro,BRA,DEF,alex_sandro__bra,Alex Sandro,BRA,DEF,name_team_position,data\holdet_players_game_616_flat.csv
