holdet_player_id,holdet_player_name,holdet_team_id,holdet_position,closest_pool_player_id,closest_pool_player_name,closest_pool_team_id,closest_pool_position,reason,source_file
48833,Andrey Santos,BRA,MID,danilo_dos_santos__bra,Danilo dos Santos,BRA,MID,similar_name+same_team+same_position; score=0.917,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49932,Vitinho,BRA,MID,vitinha__por,Vitinha,POR,MID,similar_name+same_position; score=0.907,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49128,Gabriel Sara,BRA,MID,gabriel_martinelli__bra,Gabriel Martinelli,BRA,FWD,similar_name+same_team; score=0.867,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49402,Kodai Sano,JPN,MID,kaishu_sano__jpn,Kaishu Sano,JPN,MID,similar_name+same_team+same_position; score=1.012,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49405,Koki Saito,JPN,MID,hiroki_ito__jpn,Hiroki Ito,JPN,DEF,similar_name+same_team; score=0.900,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49197,Hyeok-kyu Kwon,KOR,MID,oh_hyeon_gyu__kor,Hyeon-Gyu Oh,KOR,FWD,similar_name+same_team; score=0.892,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49201,Hyun-seok Hong,KOR,MID,hyun_jun_yang__kor,Hyun-Jun Yang,KOR,MID,similar_name+same_team+same_position; score=0.843,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
50272,Gilberto Mora,MEX,MID,guillermo_ochoa__mex,Guillermo Ochoa,MEX,GK,similar_name+same_team; score=0.843,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
50309,Rodrigo Zalazar,URU,MID,rodrigo_aguirre__uru,Rodrigo Aguirre,URU,FWD,similar_name+same_team; score=0.867,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
50253,Alberto Quintero,PAN,MID,adalberto_carrasquilla__pan,Adalberto Carrasquilla,PAN,MID,similar_name+same_team+same_position; score=0.829,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
50263,Soufiane Rahimi,MAR,MID,souffian_el_karouani__mar,Souffian El Karouani,MAR,DEF,similar_name+same_team; score=0.886,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49574,Mohamed Ali Ben Romdhane,TUN,MID,mohamed_amine_ben_hamida__tun,Mohamed Amine Ben Hamida,TUN,DEF,similar_name+same_team; score=0.908,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
48752,Ailson Tavares,CPV,MID,gilson_benchimol_tavares__cpv,Gilson Benchimol Tavares,CPV,FWD,similar_name+same_team; score=0.884,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49410,Kristian Arnstad,NOR,MID,kristian_thorstvedt__nor,Kristian Thorstvedt,NOR,MID,similar_name+same_team+same_position; score=0.993,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49162,Habib Diallo,SEN,FWD,habib_diarra__sen,Habib Diarra,SEN,MID,similar_name+same_team; score=0.950,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
48908,Boulaye Dia,SEN,FWD,abdoulaye_seck__sen,Abdoulaye Seck,SEN,DEF,similar_name+same_team; score=0.840,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
49610,Mostafa Mohamed,EGY,FWD,mostafa_ziko__egy,Mostafa Ziko,EGY,MID,similar_name+same_team; score=0.867,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
50288,Santiago Gimenez,MEX,FWD,santiago_mele__uru,Santiago Mele,URU,GK,similar_name; score=0.828,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
50294,Jan Kuchta,CZE,FWD,jan_kliment__holdet_584,Jan Kliment,CZE,FWD,similar_name+same_team+same_position; score=0.821,C:\Users\Administrator\Desktop\vm2026_local_app\data\holdet_players_game_616_flat.csv
