match_id,home,away,kickoff_dk,team_id,opponent_team_id,is_home,match_raw,team_raw,clean_sheet_yes_odds,clean_sheet_no_odds,clean_sheet_yes_implied,clean_sheet_no_implied,clean_sheet_prob_fair,source
39,URU,CPV,2026-06-22 00:00,URU,CPV,1,Uruguay v Cape Verde,Uruguay,1.83,1.83,0.546448,0.546448,0.5,bet365 clean sheet yes/no 2026-06-02
40,NZL,EGY,2026-06-22 03:00,EGY,NZL,0,New Zealand v Egypt,Egypt,2,1.72,0.5,0.581395,0.462366,bet365 clean sheet yes/no 2026-06-02
40,NZL,EGY,2026-06-22 03:00,NZL,EGY,1,New Zealand v Egypt,New Zealand,4.33,1.2,0.230947,0.833333,0.216998,bet365 clean sheet yes/no 2026-06-02
41,ARG,AUT,2026-06-22 19:00,ARG,AUT,1,Argentina v Austria,Argentina,2.2,1.61,0.454545,0.621118,0.422572,bet365 clean sheet yes/no 2026-06-02
41,ARG,AUT,2026-06-22 19:00,AUT,ARG,0,Argentina v Austria,Austria,5,1.16,0.2,0.862069,0.188312,bet365 clean sheet yes/no 2026-06-02
42,FRA,IRQ,2026-06-22 23:00,FRA,IRQ,1,France v Iraq,France,1.4,2.75,0.714286,0.363636,0.662651,bet365 clean sheet yes/no 2026-06-02
42,FRA,IRQ,2026-06-22 23:00,IRQ,FRA,0,France v Iraq,Iraq,15,1.03,0.066667,0.970874,0.064255,bet365 clean sheet yes/no 2026-06-02
43,NOR,SEN,2026-06-23 02:00,NOR,SEN,1,Norway v Senegal,Norway,2.75,1.4,0.363636,0.714286,0.337349,bet365 clean sheet yes/no 2026-06-02
43,NOR,SEN,2026-06-23 02:00,SEN,NOR,0,Norway v Senegal,Senegal,4,1.22,0.25,0.819672,0.233716,bet365 clean sheet yes/no 2026-06-02
44,JOR,ALG,2026-06-23 05:00,ALG,JOR,0,Jordan v Algeria,Algeria,2.2,1.61,0.454545,0.621118,0.422572,bet365 clean sheet yes/no 2026-06-02
44,JOR,ALG,2026-06-23 05:00,JOR,ALG,1,Jordan v Algeria,Jordan,5,1.16,0.2,0.862069,0.188312,bet365 clean sheet yes/no 2026-06-02
45,POR,UZB,2026-06-23 19:00,POR,UZB,1,Portugal v Uzbekistan,Portugal,1.83,1.83,0.546448,0.546448,0.5,bet365 clean sheet yes/no 2026-06-02
45,POR,UZB,2026-06-23 19:00,UZB,POR,0,Portugal v Uzbekistan,Uzbekistan,10,1.062,0.1,0.94162,0.096004,bet365 clean sheet yes/no 2026-06-02
46,ENG,GHA,2026-06-23 22:00,ENG,GHA,1,England v Ghana,England,1.83,1.83,0.546448,0.546448,0.5,bet365 clean sheet yes/no 2026-06-02
46,ENG,GHA,2026-06-23 22:00,GHA,ENG,0,England v Ghana,Ghana,8,1.083,0.125,0.923361,0.119234,bet365 clean sheet yes/no 2026-06-02
47,PAN,CRO,2026-06-24 01:00,CRO,PAN,0,Panama v Croatia,Croatia,1.9,1.8,0.526316,0.555556,0.486486,bet365 clean sheet yes/no 2026-06-02
47,PAN,CRO,2026-06-24 01:00,PAN,CRO,1,Panama v Croatia,Panama,5.5,1.14,0.181818,0.877193,0.171687,bet365 clean sheet yes/no 2026-06-02
48,COL,COD,2026-06-24 04:00,COD,COL,0,Colombia v DR Congo,DR Congo,5,1.16,0.2,0.862069,0.188312,bet365 clean sheet yes/no 2026-06-02
48,COL,COD,2026-06-24 04:00,COL,COD,1,Colombia v DR Congo,Colombia,1.72,2,0.581395,0.5,0.537634,bet365 clean sheet yes/no 2026-06-02
49,SUI,CAN,2026-06-24 21:00,CAN,SUI,0,Switzerland v Canada,Canada,3.75,1.25,0.266667,0.8,0.25,bet365 clean sheet yes/no 2026-06-02
49,SUI,CAN,2026-06-24 21:00,SUI,CAN,1,Switzerland v Canada,Switzerland,2.62,1.44,0.381679,0.694444,0.35468,bet365 clean sheet yes/no 2026-06-02
50,BIH,QAT,2026-06-24 21:00,BIH,QAT,1,Bosnia-Herzegovina v Qatar,Bosnia-Herzegovina,2,1.72,0.5,0.581395,0.462366,bet365 clean sheet yes/no 2026-06-02
50,BIH,QAT,2026-06-24 21:00,QAT,BIH,0,Bosnia-Herzegovina v Qatar,Qatar,5,1.16,0.2,0.862069,0.188312,bet365 clean sheet yes/no 2026-06-02
51,SCO,BRA,2026-06-25 00:00,BRA,SCO,0,Scotland v Brazil,Brazil,1.83,1.83,0.546448,0.546448,0.5,bet365 clean sheet yes/no 2026-06-02
51,SCO,BRA,2026-06-25 00:00,SCO,BRA,1,Scotland v Brazil,Scotland,7,1.1,0.142857,0.909091,0.135802,bet365 clean sheet yes/no 2026-06-02
52,MAR,HAI,2026-06-25 00:00,HAI,MAR,0,Morocco v Haiti,Haiti,10,1.062,0.1,0.94162,0.096004,bet365 clean sheet yes/no 2026-06-02
52,MAR,HAI,2026-06-25 00:00,MAR,HAI,1,Morocco v Haiti,Morocco,1.66,2.1,0.60241,0.47619,0.558511,bet365 clean sheet yes/no 2026-06-02
53,CZE,MEX,2026-06-25 03:00,CZE,MEX,1,Czechia v Mexico,Czechia,4.33,1.2,0.230947,0.833333,0.216998,bet365 clean sheet yes/no 2026-06-02
53,CZE,MEX,2026-06-25 03:00,MEX,CZE,0,Czechia v Mexico,Mexico,2.25,1.57,0.444444,0.636943,0.410995,bet365 clean sheet yes/no 2026-06-02
54,RSA,KOR,2026-06-25 03:00,KOR,RSA,0,South Africa v South Korea,South Korea,2.37,1.53,0.421941,0.653595,0.392308,bet365 clean sheet yes/no 2026-06-02
54,RSA,KOR,2026-06-25 03:00,RSA,KOR,1,South Africa v South Korea,South Africa,4,1.22,0.25,0.819672,0.233716,bet365 clean sheet yes/no 2026-06-02
55,CUW,CIV,2026-06-25 22:00,CIV,CUW,0,Curaçao v Ivory Coast,Ivory Coast,1.8,1.9,0.555556,0.526316,0.513514,bet365 clean sheet yes/no 2026-06-02
55,CUW,CIV,2026-06-25 22:00,CUW,CIV,1,Curaçao v Ivory Coast,Curaçao,7,1.1,0.142857,0.909091,0.135802,bet365 clean sheet yes/no 2026-06-02
56,ECU,GER,2026-06-25 22:00,ECU,GER,1,Ecuador v Germany,Ecuador,5.5,1.14,0.181818,0.877193,0.171687,bet365 clean sheet yes/no 2026-06-02
56,ECU,GER,2026-06-25 22:00,GER,ECU,0,Ecuador v Germany,Germany,2.25,1.57,0.444444,0.636943,0.410995,bet365 clean sheet yes/no 2026-06-02
57,TUN,NED,2026-06-26 01:00,NED,TUN,0,Tunisia v Netherlands,Netherlands,2,1.72,0.5,0.581395,0.462366,bet365 clean sheet yes/no 2026-06-02
57,TUN,NED,2026-06-26 01:00,TUN,NED,1,Tunisia v Netherlands,Tunisia,5.5,1.14,0.181818,0.877193,0.171687,bet365 clean sheet yes/no 2026-06-02
58,JPN,SWE,2026-06-26 01:00,JPN,SWE,1,Japan v Sweden,Japan,2.62,1.44,0.381679,0.694444,0.35468,bet365 clean sheet yes/no 2026-06-02
58,JPN,SWE,2026-06-26 01:00,SWE,JPN,0,Japan v Sweden,Sweden,3.75,1.25,0.266667,0.8,0.25,bet365 clean sheet yes/no 2026-06-02
