player_id,holdet_player_id,player_name,team_name,position,match_method,old_price,old_holdet_price,new_price,diff
seydinaissa_laye__qat,50401,Seydinaissa Laye,Qatar,DEF,holdet_player_id,1965000,1965000,2014000,49000
pedro_ro_ro_miguel_correia__qat,49727,Pedro 'Ro-Ro' Miguel Correia,Qatar,DEF,holdet_player_id,2465000,2465000,2514000,49000
sultan_al_brake__qat,49867,Sultan Al-Brake,Qatar,DEF,holdet_player_id,2462000,2462000,2495000,33000
boualem_khoukhi__qat,48907,Boualem Khoukhi,Qatar,DEF,holdet_player_id,2660000,2660000,2709000,49000
homam_al_amin_ahmed__qat,49187,Homam Al-Amin Ahmed,Qatar,DEF,holdet_player_id,2507000,2507000,2574000,67000
ayoub_al_oui__qat,48878,Ayoub Al-Oui,Qatar,DEF,holdet_player_id,2455000,2455000,2504000,49000
john_souttar__sco,49306,John Souttar,Skotland,DEF,holdet_player_id,2490000,2490000,2495000,5000
jack_hendry__sco,49239,Jack Hendry,Skotland,DEF,holdet_player_id,2083000,2083000,2092000,9000
scott_mckenna__sco,49830,Scott McKenna,Skotland,DEF,holdet_player_id,2490000,2490000,2495000,5000
nathan_patterson__sco,49628,Nathan Patterson,Skotland,DEF,holdet_player_id,2023000,2023000,2032000,9000
aaron_hickey__sco,50061,Aaron Hickey,Skotland,DEF,holdet_player_id,2567000,2567000,2572000,5000
andy_robertson__sco,48834,Andy Robertson,Skotland,DEF,holdet_player_id,3063000,3063000,3092000,29000
grant_hanley__sco,49150,Grant Hanley,Skotland,DEF,holdet_player_id,2583000,2583000,2592000,9000
anthony_ralston__sco,48846,Anthony Ralston,Skotland,DEF,holdet_player_id,2494000,2494000,2495000,1000
kieran_tierney__sco,49401,Kieran Tierney,Skotland,DEF,holdet_player_id,2486000,2486000,2495000,9000
dominic_hyam__sco,49028,Dominic Hyam,Skotland,DEF,holdet_player_id,1990000,1990000,1995000,5000
moise_bombito__can,50298,Moïse Bombito,Canada,DEF,holdet_player_id,2557000,2557000,2495000,-62000
alphonso_davies__can,48809,Alphonso Davies,Canada,DEF,holdet_player_id,3990000,3990000,3995000,5000
alfie_jones__can,50296,Alfie Jones,Canada,DEF,holdet_player_id,1990000,1990000,1995000,5000
