"Kamp","Hold","Rent bur - Ja","Rent bur - Nej"
"Cape Verde v Saudi Arabia","Cape Verde","2.75","1.40"
"Cape Verde v Saudi Arabia","Saudi Arabia","3.00","1.36"
"Uruguay v Spain","Uruguay","5.50","1.14"
"Uruguay v Spain","Spain","2.20","1.61"
"Egypt v Iran","Egypt","2.25","1.57"
"Egypt v Iran","Iran","3.25","1.33"
"New Zealand v Belgium","New Zealand","9.00","1.071"
"New Zealand v Belgium","Belgium","1.80","1.90"
"Croatia v Ghana","Croatia","2.10","1.66"
"Croatia v Ghana","Ghana","4.33","1.20"
"Panama v England","Panama","9.00","1.071"
"Panama v England","England","1.72","2.00"
"Colombia v Portugal","Colombia","3.75","1.25"
"Colombia v Portugal","Portugal","2.62","1.44"
"DR Congo v Uzbekistan","DR Congo","2.75","1.40"
"DR Congo v Uzbekistan","Uzbekistan","3.00","1.36"
"Algeria v Austria","Algeria","3.40","1.30"
"Algeria v Austria","Austria","2.62","1.44"
"Jordan v Argentina","Jordan","11.00","1.05"
"Jordan v Argentina","Argentina","1.61","2.20"
