match_id,home,away,kickoff_dk,home_win_odds,draw_odds,away_win_odds,home_clean_sheet_odds,away_clean_sheet_odds,over_2_5_odds,under_2_5_odds,source,odds_fetched_at,odds_fetched_label,home_team_id,away_team_id,stage,group
59,TUR,USA,2026-06-26 04:00,3.1,4,2.12,,,,,Unibet,2026-06-20T12:13:47+02:00,20.06 kl. 12:13,,,,
59,TUR,USA,2026-06-26 04:00,2.75,3.50,2.50,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
60,PAR,AUS,2026-06-26 04:00,2.65,2.4,3.8,,,,,Unibet,2026-06-20T12:13:47+02:00,20.06 kl. 12:13,,,,
60,PAR,AUS,2026-06-26 04:00,2.23,3.35,3.55,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
61,NOR,FRA,2026-06-26 21:00,4.35,3.75,1.83,,,,,Unibet,2026-06-20T12:13:47+02:00,20.06 kl. 12:13,,,,
61,NOR,FRA,2026-06-26 21:00,4.40,3.75,1.87,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
62,SEN,IRQ,2026-06-26 21:00,1.3,5.4,10.5,,,,,Unibet,2026-06-20T12:13:47+02:00,20.06 kl. 12:13,,,,
62,SEN,IRQ,2026-06-26 21:00,1.44,4.60,8.50,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
63,CPV,KSA,2026-06-27 02:00,2.75,3.7,2.48,,,,,Unibet,2026-06-20T12:13:47+02:00,20.06 kl. 12:13,,,,
63,CPV,KSA,2026-06-27 02:00,2.45,3.70,2.75,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
64,URU,ESP,2026-06-27 02:00,6.25,4.2,1.55,,,,,Unibet,2026-06-20T12:13:47+02:00,20.06 kl. 12:13,,,,
64,URU,ESP,2026-06-27 02:00,5.40,3.95,1.65,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
65,NZL,BEL,2026-06-27 05:00,13,6.5,1.23,,,,,Unibet,2026-06-20T12:13:47+02:00,20.06 kl. 12:13,,,,
