strategy,display_name_da,formation,total_price,total_ev,total_score,avg_conditional_start_prob,high_risk_players,recommended_captain,captain_expected_growth,captain_score,captain_reason,player_name,team_id,position,price,EV,strategy_score,start_prob,conditional_start_prob,availability_risk,manual_captain_status,relevant_rounds,opponents,win_probabilities,clean_sheet_probabilities,goal_assist_fixture_info,note
group_stage,Gruppespil,3-4-3,48500000,44.222581,120.933652,0.8412,2,Cristiano Ronaldo,1.999538,2.379538,kaptajnscore baseret paa runde 1-vaekst 2; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Nuno Mendes,POR,DEF,4500000,3.974216,10.954704,0.7657,0.8431,medium_risk,,1+2+3,R1:COD; R2:UZB; R3:COL,R1:0.734; R2:0.743; R3:0.436,R1:0.5; R2:0.5; R3:0.355,,favoritkamp i relevant horisont; stærk clean sheet-profil; runde 3-rotation proxy p6=0.545
group_stage,Gruppespil,3-4-3,48500000,44.222581,120.933652,0.8412,2,Cristiano Ronaldo,1.999538,2.379538,kaptajnscore baseret paa runde 1-vaekst 2; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Chris Richards,USA,DEF,3000000,3.127363,8.568773,0.6712,0.7805,high_risk,,1+2+3,R1:PAR; R2:AUS; R3:TUR,R1:0.476; R2:0.545; R3:0.371,R1:0.411; R2:0.423; R3:0.277,,manuel tjek: high_risk
group_stage,Gruppespil,3-4-3,48500000,44.222581,120.933652,0.8412,2,Cristiano Ronaldo,1.999538,2.379538,kaptajnscore baseret paa runde 1-vaekst 2; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Josko Gvardiol,CRO,DEF,3500000,2.840621,8.288236,0.8562,0.9216,medium_risk,,1+2+3,R1:ENG; R2:PAN; R3:GHA,R1:0.204; R2:0.619; R3:0.546,R1:0.208; R2:0.486; R3:0.442,,stærk startsikkerhed
group_stage,Gruppespil,3-4-3,48500000,44.222581,120.933652,0.8412,2,Cristiano Ronaldo,1.999538,2.379538,kaptajnscore baseret paa runde 1-vaekst 2; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Raul Jimenez,MEX,FWD,4500000,4.992947,12.796656,0.7012,0.8154,high_risk,,1+2+3,R1:RSA; R2:KOR; R3:CZE,R1:0.645; R2:0.529; R3:0.484,,R1: goal 1.35 / assist 1.25; R2: goal 1.228 / assist 1.163; R3: goal 1.172 / assist 1.123,manuel tjek: high_risk; høj EV; godt offensivt kampmiljø
group_stage,Gruppespil,3-4-3,48500000,44.222581,120.933652,0.8412,2,Cristiano Ronaldo,1.999538,2.379538,kaptajnscore baseret paa runde 1-vaekst 2; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Cristiano Ronaldo,POR,FWD,7000000,4.947107,12.470983,0.908,0.97,medium_risk,,1+2+3,R1:COD; R2:UZB; R3:COL,R1:0.734; R2:0.743; R3:0.436,,R1: goal 1.35 / assist 1.25; R2: goal 1.35 / assist 1.25; R3: goal 1.115 / assist 1.082,stærk startsikkerhed; høj EV; favoritkamp i relevant horisont; godt offensivt kampmiljø; runde 3-rotation proxy p6=0.545
group_stage,Gruppespil,3-4-3,48500000,44.222581,120.933652,0.8412,2,Cristiano Ronaldo,1.999538,2.379538,kaptajnscore baseret paa runde 1-vaekst 2; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Vinicius Junior,BRA,FWD,7500000,5.044969,12.237349,0.7444,0.8103,medium_risk,,1+2+3,R1:MAR; R2:HAI; R3:SCO,R1:0.586; R2:0.897; R3:0.669,,R1: goal 1.288 / assist 1.206; R2: goal 1.35 / assist 1.25; R3: goal 1.35 / assist 1.25,høj EV; favoritkamp i relevant horisont; godt offensivt kampmiljø; runde 3-rotation proxy p6=0.526
group_stage,Gruppespil,3-4-3,48500000,44.222581,120.933652,0.8412,2,Cristiano Ronaldo,1.999538,2.379538,kaptajnscore baseret paa runde 1-vaekst 2; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Diogo Costa,POR,GK,5000000,3.560318,10.086241,0.7534,0.7925,low_risk,,1+2+3,R1:COD; R2:UZB; R3:COL,R1:0.734; R2:0.743; R3:0.436,R1:0.5; R2:0.5; R3:0.355,,favoritkamp i relevant horisont; stærk clean sheet-profil; runde 3-rotation proxy p6=0.545
group_stage,Gruppespil,3-4-3,48500000,44.222581,120.933652,0.8412,2,Cristiano Ronaldo,1.999538,2.379538,kaptajnscore baseret paa runde 1-vaekst 2; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Roberto Alvarado,MEX,MID,2500000,4.125843,13.0122,0.6394,0.7246,medium_risk,avoid,1+2+3,R1:RSA; R2:KOR; R3:CZE,R1:0.645; R2:0.529; R3:0.484,,R1: goal 1.35 / assist 1.25; R2: goal 1.228 / assist 1.163; R3: goal 1.172 / assist 1.123,captain_avoid: maa ikke anbefales som kaptajn; manuel tjek: lav conditional start; godt offensivt kampmiljø
group_stage,Gruppespil,3-4-3,48500000,44.222581,120.933652,0.8412,2,Cristiano Ronaldo,1.999538,2.379538,kaptajnscore baseret paa runde 1-vaekst 2; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Kerem Akturkoglu,TUR,MID,4500000,4.077992,11.181498,0.8753,0.9107,low_risk,,1+2+3,R1:AUS; R2:PAR; R3:USA,R1:0.518; R2:0.422; R3:0.357,,R1: goal 1.211 / assist 1.151; R2: goal 1.102 / assist 1.073; R3: goal 0.99 / assist 0.993,stærk startsikkerhed
group_stage,Gruppespil,3-4-3,48500000,44.222581,120.933652,0.8412,2,Cristiano Ronaldo,1.999538,2.379538,kaptajnscore baseret paa runde 1-vaekst 2; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Andreas Schjelderup,NOR,MID,3500000,3.967413,10.712564,0.6607,0.7143,medium_risk,,1+2+3,R1:IRQ; R2:SEN; R3:FRA,R1:0.758; R2:0.458; R3:0.197,,R1: goal 1.35 / assist 1.25; R2: goal 1.136 / assist 1.097; R3: goal 0.753 / assist 0.823,manuel tjek: lav conditional start; favoritkamp i relevant horisont; godt offensivt kampmiljø
group_stage,Gruppespil,3-4-3,48500000,44.222581,120.933652,0.8412,2,Cristiano Ronaldo,1.999538,2.379538,kaptajnscore baseret paa runde 1-vaekst 2; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Oscar Bobb,NOR,MID,3000000,3.563792,10.624446,0.9101,0.97,medium_risk,,1+2+3,R1:IRQ; R2:SEN; R3:FRA,R1:0.758; R2:0.458; R3:0.197,,R1: goal 1.35 / assist 1.25; R2: goal 1.136 / assist 1.097; R3: goal 0.753 / assist 0.823,stærk startsikkerhed; favoritkamp i relevant horisont; godt offensivt kampmiljø
long_run,Lang sigt,3-5-2,50000000,34.26407,65.948792,0.878,0,Mikel Oyarzabal,1.34833,1.72833,kaptajnscore baseret paa runde 1-vaekst 1.348; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Nuno Mendes,POR,DEF,4500000,3.974216,5.92276,0.7657,0.8431,medium_risk,,1+2+3,R1:COD; R2:UZB; R3:COL,R1:0.734; R2:0.743; R3:0.436,R1:0.5; R2:0.5; R3:0.355,,favoritkamp i relevant horisont; stærk clean sheet-profil; valgt i lang sigt-kontekst
long_run,Lang sigt,3-5-2,50000000,34.26407,65.948792,0.878,0,Mikel Oyarzabal,1.34833,1.72833,kaptajnscore baseret paa runde 1-vaekst 1.348; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Aymeric Laporte,ESP,DEF,4500000,1.647224,5.247334,0.822,0.902,medium_risk,,1+2+3,R1:CPV; R2:KSA; R3:URU,R1:0.87; R2:0.848; R3:0.577,R1:0.625; R2:0.663; R3:0.423,,stærk startsikkerhed; favoritkamp i relevant horisont; stærk clean sheet-profil; valgt i lang sigt-kontekst
long_run,Lang sigt,3-5-2,50000000,34.26407,65.948792,0.878,0,Mikel Oyarzabal,1.34833,1.72833,kaptajnscore baseret paa runde 1-vaekst 1.348; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Ruben Dias,POR,DEF,4000000,2.812349,5.221486,0.8077,0.8506,low_risk,,1+2+3,R1:COD; R2:UZB; R3:COL,R1:0.734; R2:0.743; R3:0.436,R1:0.5; R2:0.5; R3:0.355,,favoritkamp i relevant horisont; stærk clean sheet-profil; valgt i lang sigt-kontekst
long_run,Lang sigt,3-5-2,50000000,34.26407,65.948792,0.878,0,Mikel Oyarzabal,1.34833,1.72833,kaptajnscore baseret paa runde 1-vaekst 1.348; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Mikel Oyarzabal,ESP,FWD,7500000,4.133042,7.608861,0.8478,0.9432,medium_risk,,1+2+3,R1:CPV; R2:KSA; R3:URU,R1:0.87; R2:0.848; R3:0.577,,R1: goal 1.35 / assist 1.25; R2: goal 1.35 / assist 1.25; R3: goal 1.273 / assist 1.195,stærk startsikkerhed; favoritkamp i relevant horisont; godt offensivt kampmiljø; valgt i lang sigt-kontekst
long_run,Lang sigt,3-5-2,50000000,34.26407,65.948792,0.878,0,Mikel Oyarzabal,1.34833,1.72833,kaptajnscore baseret paa runde 1-vaekst 1.348; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Nico Williams,ESP,FWD,4500000,3.744479,7.239726,0.8158,0.9091,medium_risk,,1+2+3,R1:CPV; R2:KSA; R3:URU,R1:0.87; R2:0.848; R3:0.577,,R1: goal 1.35 / assist 1.25; R2: goal 1.35 / assist 1.25; R3: goal 1.273 / assist 1.195,stærk startsikkerhed; favoritkamp i relevant horisont; godt offensivt kampmiljø; valgt i lang sigt-kontekst
long_run,Lang sigt,3-5-2,50000000,34.26407,65.948792,0.878,0,Mikel Oyarzabal,1.34833,1.72833,kaptajnscore baseret paa runde 1-vaekst 1.348; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Diogo Costa,POR,GK,5000000,3.560318,5.621557,0.7534,0.7925,low_risk,,1+2+3,R1:COD; R2:UZB; R3:COL,R1:0.734; R2:0.743; R3:0.436,R1:0.5; R2:0.5; R3:0.355,,favoritkamp i relevant horisont; stærk clean sheet-profil; valgt i lang sigt-kontekst
long_run,Lang sigt,3-5-2,50000000,34.26407,65.948792,0.878,0,Mikel Oyarzabal,1.34833,1.72833,kaptajnscore baseret paa runde 1-vaekst 1.348; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Declan Rice,ENG,MID,4500000,2.764994,5.896083,0.8465,0.8706,low_risk,,1+2+3,R1:CRO; R2:GHA; R3:PAN,R1:0.543; R2:0.709; R3:0.763,,R1: goal 1.237 / assist 1.17; R2: goal 1.35 / assist 1.25; R3: goal 1.35 / assist 1.25,favoritkamp i relevant horisont; godt offensivt kampmiljø; valgt i lang sigt-kontekst
long_run,Lang sigt,3-5-2,50000000,34.26407,65.948792,0.878,0,Mikel Oyarzabal,1.34833,1.72833,kaptajnscore baseret paa runde 1-vaekst 1.348; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Giovani Lo Celso,ARG,MID,4000000,3.082398,5.838152,0.7765,0.8553,medium_risk,,1+2+3,R1:ALG; R2:AUT; R3:JOR,R1:0.656; R2:0.571; R3:0.801,,R1: goal 1.35 / assist 1.25; R2: goal 1.276 / assist 1.197; R3: goal 1.35 / assist 1.25,favoritkamp i relevant horisont; godt offensivt kampmiljø; valgt i lang sigt-kontekst
long_run,Lang sigt,3-5-2,50000000,34.26407,65.948792,0.878,0,Mikel Oyarzabal,1.34833,1.72833,kaptajnscore baseret paa runde 1-vaekst 1.348; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Rodrigo de Paul,ARG,MID,4500000,2.957481,5.811481,0.9318,0.9545,low_risk,,1+2+3,R1:ALG; R2:AUT; R3:JOR,R1:0.656; R2:0.571; R3:0.801,,R1: goal 1.35 / assist 1.25; R2: goal 1.276 / assist 1.197; R3: goal 1.35 / assist 1.25,stærk startsikkerhed; favoritkamp i relevant horisont; godt offensivt kampmiljø; valgt i lang sigt-kontekst
long_run,Lang sigt,3-5-2,50000000,34.26407,65.948792,0.878,0,Mikel Oyarzabal,1.34833,1.72833,kaptajnscore baseret paa runde 1-vaekst 1.348; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Manu Koné,FRA,MID,3500000,2.799984,5.776565,0.7771,0.8571,medium_risk,,1+2+3,R1:SEN; R2:IRQ; R3:NOR,R1:0.652; R2:0.842; R3:0.55,,R1: goal 1.35 / assist 1.25; R2: goal 1.35 / assist 1.25; R3: goal 1.247 / assist 1.177,favoritkamp i relevant horisont; godt offensivt kampmiljø; valgt i lang sigt-kontekst
long_run,Lang sigt,3-5-2,50000000,34.26407,65.948792,0.878,0,Mikel Oyarzabal,1.34833,1.72833,kaptajnscore baseret paa runde 1-vaekst 1.348; ingen registreret straffe-/doedboldsrolle; hoej startsikkerhed; mild risk-straf; maalprofil-proxy: angriber,Aurelien Tchouameni,FRA,MID,3500000,2.787585,5.764786,0.8272,0.88,medium_risk,,1+2+3,R1:SEN; R2:IRQ; R3:NOR,R1:0.652; R2:0.842; R3:0.55,,R1: goal 1.35 / assist 1.25; R2: goal 1.35 / assist 1.25; R3: goal 1.247 / assist 1.177,favoritkamp i relevant horisont; godt offensivt kampmiljø; valgt i lang sigt-kontekst
