player_id,player_name,team_id,position,price,start_prob,missing_goal_share_norm,missing_assist_share_norm,missing_sot_share_norm,round_context_source,current_weighted_group_stage_ev_before_price_quality,current_optimizer_ev,price_band,offensive_role_score,fallback_base_ev_variant_a,fallback_base_ev_variant_b,confidence,reason_flags
jean_ricner_bellegarde__hai,Jean-Ricner Bellegarde,HAI,MID,3000000,0.6978,True,True,True,distributed_from_existing_optimizer_ev,0.273263,0.334747,upper_mid,0.7071887050988497,1.0742614583894463,0.5300846974067543,high,legacy_aggregate_round_context;set_piece_role_available_not_used_as_direct_share;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
bruno_guimaraes__bra,Bruno Guimaraes,BRA,MID,4500000,0.8763,True,True,True,distributed_from_existing_optimizer_ev,0.484645,1.52959,premium,0.7061148742662235,3.5419519424007793,2.476814967755758,high,high_priority_offensive_starter;legacy_aggregate_round_context;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
elye_wahi__civ,Elye Wahi,CIV,FWD,2500000,0.6294,True,True,True,distributed_from_existing_optimizer_ev,0.213056,0.260994,lower_mid,0.7032315002584958,1.3738404379907143,1.0296948701045197,medium,legacy_aggregate_round_context;match_1_assist_position_rate;match_1_goal_position_rate;match_1_sot_position_rate;match_2_assist_position_rate;match_2_goal_position_rate;match_2_sot_position_rate;match_3_assist_position_rate;match_3_goal_position_rate;match_3_sot_position_rate;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
alexis_saelemaekers__bel,Alexis Saelemaekers,BEL,FWD,4000000,0.5078,True,True,True,distributed_from_existing_optimizer_ev,0.262496,0.321558,premium,0.7029260823212494,2.4496668216603084,2.2150463726151677,high,legacy_aggregate_round_context
franck_kessie__civ,Franck Kessie,CIV,MID,3000000,0.6905,True,True,True,distributed_from_existing_optimizer_ev,0.201889,0.247314,upper_mid,0.7027477753317304,1.7613281198773278,1.348184855958386,medium,legacy_aggregate_round_context;match_1_assist_position_rate;match_1_goal_position_rate;match_1_sot_position_rate;match_2_assist_position_rate;match_2_goal_position_rate;match_2_sot_position_rate;match_3_assist_position_rate;match_3_goal_position_rate;match_3_sot_position_rate;set_piece_role_available_not_used_as_direct_share;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
kenan_yildiz__tur,Kenan Yildiz,TUR,MID,4000000,0.8953,True,True,True,distributed_from_existing_optimizer_ev,0.444552,1.454243,premium,0.698336632494176,2.710242964906927,1.3018089040608576,high,high_priority_offensive_starter;legacy_aggregate_round_context;no_transfermarkt_usage_match;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
pavel_sulc__cze,Pavel Sulc,CZE,MID,4000000,0.8997,True,True,True,distributed_from_existing_optimizer_ev,0.233161,1.337978,premium,0.6966634337091163,3.307587541099909,3.0144632834049014,medium,high_priority_offensive_starter;legacy_aggregate_round_context;match_1_assist_position_rate;match_1_goal_position_rate;match_1_sot_position_rate;match_2_assist_position_rate;match_2_goal_position_rate;match_2_sot_position_rate;match_3_assist_position_rate;match_3_goal_position_rate;match_3_sot_position_rate
fabian_ruiz__esp,Fabian Ruiz,ESP,MID,4500000,0.8178,True,True,True,distributed_from_existing_optimizer_ev,1.045299,1.83795,premium,0.6965034867236356,3.438842031126876,3.3456804032630214,high,high_priority_offensive_starter;legacy_aggregate_round_context
amad_diallo__civ,Amad Diallo,CIV,FWD,3500000,0.1336,True,True,True,distributed_from_existing_optimizer_ev,0.136973,0.167792,upper_mid,0.6951689728286875,0.5985330974554941,0.4977335552812783,medium,legacy_aggregate_round_context;match_1_assist_position_rate;match_1_goal_position_rate;match_1_sot_position_rate;match_2_assist_position_rate;match_2_goal_position_rate;match_2_sot_position_rate;match_3_assist_position_rate;match_3_goal_position_rate;match_3_sot_position_rate;set_piece_role_available_not_used_as_direct_share;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
tomas_soucek__cze,Tomas Soucek,CZE,MID,3500000,0.9395,True,True,True,distributed_from_existing_optimizer_ev,0.249779,1.264039,premium,0.6951614403685775,3.1268683602450134,2.848737467175354,medium,high_priority_offensive_starter;legacy_aggregate_round_context;match_1_assist_position_rate;match_1_goal_position_rate;match_1_sot_position_rate;match_2_assist_position_rate;match_2_goal_position_rate;match_2_sot_position_rate;match_3_assist_position_rate;match_3_goal_position_rate;match_3_sot_position_rate
