player_id,player_name,team_id,position,price,start_prob,fallback_candidate,fallback_applied,current_base_ev,variant_a_base_ev,variant_b_base_ev,raw_hybrid_base_ev_before_threshold,hybrid_base_ev,base_ev_lift,current_price_quality_ev,dry_run_price_quality_ev,current_optimizer_ev,dry_run_optimizer_ev,optimizer_ev_lift,cap_reason,confidence,reason_flags,match_1_current_ev,match_1_dry_run_ev,match_2_current_ev,match_2_dry_run_ev,match_3_current_ev,match_3_dry_run_ev,shares_status,round_context_source
mohamed_kanno__ksa,Mohamed Kanno,KSA,MID,3000000,0.8439,yes,yes,0.317411,1.4130859343110074,1.5281633368971783,1.4130859343110074,1.4130859343110074,1.0956749343110075,2.061296,2.063755,1.102159,1.705887,0.6037279999999998,variant_a,medium,high_priority_offensive_starter;legacy_aggregate_round_context,0.073425,0.4210527885675819,0.109566,0.4398123991392028,0.13442,0.5522207466042228,missing_shares,distributed_from_existing_optimizer_ev
mousa_tamari__jor,Mousa Tamari,JOR,MID,3000000,0.8437,yes,yes,0.274017,1.1571225584312153,1.0634166841355726,1.1571225584312153,1.1571225584312153,0.8831055584312153,2.061296,2.063755,1.078292,1.565107,0.486815,variant_a,high,high_priority_offensive_starter;legacy_aggregate_round_context;set_piece_role_available_not_used_as_direct_share,0.042014,0.35093946168686174,0.123567,0.4197141812261779,0.108436,0.38646891551817564,missing_shares,distributed_from_existing_optimizer_ev
hakan_calhanoglu__tur,Hakan Calhanoglu,TUR,MID,4000000,0.7024,yes,yes,0.423506,2.156520087913027,1.0735244998041555,1.2882293997649865,1.2882293997649865,0.8647233997649866,2.68831,2.690405,1.442668,1.919208,0.47653999999999996,variant_b_times_1_20,high,high_priority_offensive_starter;legacy_aggregate_round_context;set_piece_role_available_not_used_as_direct_share;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap,0.175499,0.5050403719060205,0.129635,0.41717715489148377,0.118372,0.3660118729674824,missing_shares,distributed_from_existing_optimizer_ev
deni_juric__aus,Deni Juric,AUS,FWD,2500000,0.8537,yes,yes,0.313362,1.341564554984459,0.9551878404627412,1.1462254085552894,1.1462254085552894,0.8328634085552895,1.302526,1.308452,0.758486,1.219228,0.460742,variant_b_times_1_20,high,high_priority_offensive_starter;legacy_aggregate_round_context;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap,0.083794,0.36920110492726876,0.113896,0.37734755086112326,0.115672,0.3996767527668974,missing_shares,distributed_from_existing_optimizer_ev
ben_doak__sco,Ben Doak,SCO,MID,3000000,0.8408,yes,yes,0.47953,2.1361543751098786,1.0337576664282444,1.2405091997138933,1.2405091997138933,0.7609791997138933,2.061296,2.063755,1.191325,1.61097,0.41964500000000005,variant_b_times_1_20,high,high_priority_offensive_starter;legacy_aggregate_round_context;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap,0.203652,0.5556883306173085,0.144087,0.3667999628997948,0.131791,0.3180209061967899,missing_shares,distributed_from_existing_optimizer_ev
yousef_qashi__jor,Yousef Qashi,JOR,MID,2000000,0.8559,yes,yes,0.280039,1.1495400668063809,1.0524061610769615,1.030039,1.030039,0.75,0.49376,0.497131,0.376213,0.790231,0.414018,mid_price_lt_3m_lift_cap_0.75,high,high_priority_offensive_starter;legacy_aggregate_round_context,0.043345,0.30570785577993326,0.12604,0.37755057401812686,0.110654,0.34678057020193986,missing_shares,distributed_from_existing_optimizer_ev
dong_gyeong_lee__kor,Dong-gyeong Lee,KOR,MID,2000000,0.7198,yes,yes,0.274245,1.498544431435512,1.030418205764879,1.024245,1.024245,0.75,0.49376,0.497131,0.373027,0.787044,0.41401699999999997,mid_price_lt_3m_lift_cap_0.75,high,high_priority_offensive_starter;legacy_aggregate_round_context;variant_a_assist_team_share_over_cap,0.102448,0.37623319028043556,0.083427,0.28937197998906816,0.08837,0.3586398297304963,missing_shares,distributed_from_existing_optimizer_ev
alvaro_fidalgo__mex,Alvaro Fidalgo,MEX,MID,2500000,0.8834,yes,yes,0.506231,2.887117276802826,1.5494099133584234,1.256231,1.256231,0.7500000000000001,1.22876,1.231704,0.831369,1.245194,0.4138249999999999,mid_price_lt_3m_lift_cap_0.75,high,high_priority_offensive_starter;legacy_aggregate_round_context;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap,0.21684,0.4984387471506937,0.161623,0.40709090820425414,0.127768,0.3507013446450523,missing_shares,distributed_from_existing_optimizer_ev
odildzhon_khamrobekov__uzb,Odildzhon Khamrobekov,UZB,MID,2500000,0.939,yes,yes,0.300496,1.3911670751530991,1.170525829246727,1.0504959999999999,1.0504959999999999,0.7499999999999999,1.22876,1.231704,0.718215,1.13204,0.4138249999999999,mid_price_lt_3m_lift_cap_0.75,medium,high_priority_offensive_starter;legacy_aggregate_round_context;variant_a_assist_team_share_over_cap,0.061926,0.30472281753283115,0.116004,0.34666097665618956,0.122566,0.39911220581097917,missing_shares,distributed_from_existing_optimizer_ev
saleh_al_shamat__ksa,Saleh Al-Shamat,KSA,MID,2500000,0.7644,yes,yes,0.274085,1.265779796521194,1.3650137694870428,1.024085,1.024085,0.7499999999999999,1.22876,1.231704,0.703689,1.117514,0.4138249999999999,mid_price_lt_3m_lift_cap_0.75,medium,high_priority_offensive_starter;legacy_aggregate_round_context;no_transfermarkt_usage_match,0.061798,0.2997525550064402,0.09477,0.32082682725611816,0.117517,0.4035056177374415,missing_shares,distributed_from_existing_optimizer_ev
