player_id,player_name,team_id,team_name,position,price_m,price_rank_pct_position,model_ev_before_price_quality,price_quality_raw_ev,price_quality_appearance_scaled_ev,price_quality_base_capped_ev,price_quality_ev,weighted_group_stage_ev,price_quality_weight,price_quality_spread_multiplier,price_quality_applied,price_quality_method,component_source,base_ev_source,repair_status
enner_valencia__ecu,Enner Valencia,ECU,Ecuador,FWD,4,0.753788,3.762895,3.112241,3.112241,3.112241,3.112241,3.470101,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
c_sar_montes__mex,Cesar Montes,MEX,Mexico,DEF,3,0.71197,4.055525,2.744375,2.744375,2.744375,2.744375,3.465507,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
manuel_akanji__sui,Manuel Akanji,SUI,Schweiz,DEF,3.5,0.857855,3.703389,3.173894,3.173894,3.173894,3.173894,3.465116,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
nico_schlotterbeck__ger,Nico Schlotterbeck,GER,Tyskland,DEF,4,0.925187,3.514375,3.372133,3.372133,3.372133,3.372133,3.450366,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
virgil_van_dijk__ned,Virgil van Dijk,NED,Holland,DEF,5,0.996259,3.3158,3.581386,3.581386,3.581386,3.581386,3.435314,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
omar_marmoush__egy,Omar Marmoush,EGY,Egypten,FWD,5,0.867424,3.330767,3.542132,3.542132,3.542132,3.542132,3.425881,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
nuno_mendes__por,Nuno Mendes,POR,Portugal,DEF,4.5,0.972569,3.357564,3.511635,3.427356,3.511635,3.427356,3.38897,0.45,1.35,True,appearance_scaled_then_base_capped,complete_components,component_weighted_sum,component_base_rebuilt
jeremy_doku__bel,Jeremy Doku,BEL,Belgien,FWD,6.5,0.956439,3.136519,3.87888,3.605696,3.87888,3.605696,3.347649,0.45,1.35,True,appearance_scaled_then_base_capped,complete_components,component_weighted_sum,component_base_rebuilt
rjan_nyland__nor,Ørjan Nyland,NOR,Norge,GK,4,0.803846,3.334173,3.303123,3.303123,3.303123,3.303123,3.320201,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
alexis_mac_allister__arg,Alexis Mac Allister,ARG,Argentina,MID,4.5,0.927665,3.71867,2.805869,2.805869,2.805869,2.805869,3.30791,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
richie_laryea__can,Richie Laryea,CAN,Canada,DEF,3,0.71197,3.752645,2.744375,2.744375,2.744375,2.744375,3.298923,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
jo_ko_gvardiol__cro,Josko Gvardiol,CRO,Kroatien,DEF,3.5,0.857855,3.357384,3.173894,3.173894,3.173894,3.173894,3.274813,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
luis_d_az__col,Luis Diaz,COL,Colombia,FWD,5.5,0.905303,2.935747,3.685429,3.685429,3.685429,3.685429,3.273104,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
bruno_fernandes__por,Bruno Fernandes,POR,Portugal,MID,7,0.996193,3.500105,2.993649,2.993649,2.993649,2.993649,3.2722,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
tajon_buchanan__can,Tajon Buchanan,CAN,Canada,MID,3.5,0.817259,3.895947,2.503334,2.503334,2.503334,2.503334,3.269271,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
davinson_s_nchez__col,Davinson Sanchez,COL,Colombia,DEF,3.5,0.857855,3.344409,3.173894,3.173894,3.173894,3.173894,3.267677,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
john_yeboah__ecu,John Yeboah,ECU,Ecuador,MID,3,0.656091,4.249859,2.061703,2.061703,2.061703,2.061703,3.265189,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
dominik_livakovi__cro,Dominik Livakovic,CRO,Kroatien,GK,4,0.803846,3.1812,3.303123,3.303123,3.303123,3.303123,3.236065,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
juli_n_lvarez__arg,Julian Alvarez,ARG,Argentina,FWD,6,0.9375,3.016463,3.807232,3.462949,3.807232,3.462949,3.217382,0.45,1.35,True,appearance_scaled_then_base_capped,complete_components,component_weighted_sum,component_base_rebuilt
theo_hern_ndez__fra,Theo Hernandez,FRA,Frankrig,DEF,4.5,0.972569,3.118355,3.511635,3.336555,3.511635,3.336555,3.216545,0.45,1.35,True,appearance_scaled_then_base_capped,complete_components,component_weighted_sum,component_base_rebuilt
marko_arnautovi__aut,Marko Arnautovic,AUT,Østrig,FWD,4.5,0.82197,3.282763,3.370176,3.133301,3.370176,3.133301,3.215505,0.45,1.35,True,appearance_scaled_then_base_capped,complete_components,component_weighted_sum,component_base_rebuilt
marc_cucurella__esp,Marc Cucurella,ESP,Spanien,DEF,4.5,0.972569,3.409055,3.511635,2.970342,3.511635,2.970342,3.211634,0.45,1.35,True,appearance_scaled_then_base_capped,complete_components,component_weighted_sum,component_base_rebuilt
chris_richards__usa,Chris Richards,USA,USA,DEF,3,0.71197,3.585951,2.744375,2.744375,2.744375,2.744375,3.207242,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
camilo_vargas__col,Camilo Vargas,COL,Colombia,GK,4,0.803846,3.125984,3.303123,3.303123,3.303123,3.303123,3.205697,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
joshua_kimmich__ger,Joshua Kimmich,GER,Tyskland,MID,5,0.956853,3.465293,2.88585,2.88585,2.88585,2.88585,3.204543,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
johan_v_squez__mex,Johan Vasquez,MEX,Mexico,DEF,3,0.71197,3.57382,2.744375,2.744375,2.744375,2.744375,3.20057,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
mikel_oyarzabal__esp,Mikel Oyarzabal,ESP,Spanien,FWD,7.5,0.975379,3.206031,3.950529,3.181304,3.950529,3.181304,3.194904,0.45,1.35,True,appearance_scaled_then_base_capped,complete_components,component_weighted_sum,component_base_rebuilt
