kind,method,resource_type,status,url,post_data,content_type
response,,,200,https://danskespil.dk/dli/BuildArtifacts/Styles/DanskeSpil/Core.998d9a8c80.css,,text/css
response,,,200,https://danskespil.dk/Components/Common/Framework/Design/Fonts/OpenSans/open-sans-latin-400-normal.woff2,,application/font-woff2
response,,,200,https://danskespil.dk/dli/BuildArtifacts/Scripts/DanskeSpil/Core/Footer.83f4bbe218.js,,text/javascript
response,,,200,https://danskespil.dk/Components/Common/Framework/Design/Fonts/DanskeSpil/DanskeSpil-Bold.woff2,,application/font-woff2
response,,,200,https://danskespil.dk/Components/Common/Framework/Design/Fonts/OpenSans/open-sans-latin-600-normal.woff2,,application/font-woff2
response,,,200,https://danskespil.dk/Components/Common/Framework/Design/Fonts/DanskeSpil/DanskeSpil-Medium.woff2,,application/font-woff2
response,,,200,https://danskespil.dk/Components/Common/Framework/Design/Fonts/OpenSans/open-sans-latin-800-normal.woff2,,application/font-woff2
response,,,200,https://ds-static.dk/-/media/35480ef40f424bcd92a44e4fdb7586ac.svg,,image/svg+xml
response,,,200,"https://fonts.googleapis.com/css?family=Open+Sans:400,600,700",,text/css; charset=utf-8
response,,,200,https://danskespil.dk/Components/DanskeSpil/Domain/Feature.Components/Graphics/ResponsibleGaming/spillemyndigheden.svg,,image/svg+xml
response,,,200,https://danskespil.dk/Components/Common/Framework/Design/Fonts/OpenSans/open-sans-latin-700-normal.woff2,,application/font-woff2
response,,,200,https://danskespil.dk/Components/Common/Framework/Design/Fonts/DanskeSpil/DanskeSpil-Light.woff2,,application/font-woff2
response,,,200,https://danskespil.dk/Components/Common/Framework/Design/Fonts/OpenSans/open-sans-latin-500-normal.woff2,,application/font-woff2
response,,,200,https://danskespil.dk/Components/Common/Framework/Design/Fonts/DanskeSpil/DanskeSpil-Regular.woff2,,application/font-woff2
response,,,200,https://danskespil.dk/dli/BuildArtifacts/Scripts/DanskeSpil/region-oddset.11d5dfa76d.js,,text/javascript
response,,,200,https://ds-static.dk/-/media/6c5848f8dec648b1b3c08a42d6b96ec1.svg,,image/svg+xml
request,POST,fetch,,https://o72670.ingest.sentry.io/api/1264783/envelope/?sentry_key=a58e846e46ca4a388fc76b4c462058c2&sentry_version=7,"{""sent_at"":""2026-06-02T17:34:45.463Z"",""sdk"":{""name"":""sentry.javascript.browser"",""version"":""6.19.6""}}
{""type"":""session""}
{""sid"":""06f7b581343d4f32be1131c9c561dddc"",""init"":true,""started"":""2026-06-02T17:34:45.462Z"",""timestamp"":""2026-06-02T17:34:45.462Z"",""status"":""ok"",""errors"":0,""attrs"":{""release"":""238-DS-363"",""environment"":""production"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36""}}",
response,,,200,https://ds-static.dk/-/media/3064a83bacd145beb734056feb15d5f6.svg,,image/svg+xml
response,,,200,https://ds-static.dk/-/media/9f10fe1b49464c2592d66571d1bbd2c8.svg,,image/svg+xml
response,,,200,https://ensightenone.danskespil.dk/danskespil/dli_oddset_prod/Bootstrap.js,,application/javascript; charset=utf-8
request,GET,fetch,,https://doh.cq0.co/resolve?type=PTR&name=danskespil.dk.query.publicsuffix.zone,,
response,,,200,https://fonts.gstatic.com/s/opensans/v44/memvYaGs126MiZpBA-UvWbX2vVnXBbObj2OVTS-muw.woff2,,font/woff2
response,,,200,https://danskespil.dk/Components/DanskeSpil/Domain/Feature.Navigation/Graphics/SpriteSheets/LucideIcons/test-yourself.svg,,image/svg+xml
response,,,200,https://ds-static.dk/-/media/bba88f3b750349128a075b14ddc8988e.svg,,image/svg+xml
response,,,200,https://ds-static.dk/-/media/aefee3db65814a1aa90666fd1367fd4c.svg,,image/svg+xml
response,,,200,https://ds-static.dk/-/media/b144449b73a341bebf0a5a96477327d3.svg,,image/svg+xml
response,,,200,https://ds-static.dk/-/media/4b8f409871b541ee9ef5acaa69641f47.svg,,image/svg+xml
response,,,200,https://ds-static.dk/-/media/5e2cb14c3ef64f69a22afdf3d5ade728.svg,,image/svg+xml
response,,,200,https://ds-static.dk/-/media/a649f4cda96a4e739a8d877048273cee.svg,,image/svg+xml
response,,,200,https://ds-static.dk/-/media/dce038d2418441cfb1278fa69bf4956c.png,,image/webp
response,,,200,https://danskespil.dk/Components/DanskeSpil/Domain/Feature.Navigation/Graphics/SpriteSheets/LucideIcons/pause.svg,,image/svg+xml
response,,,200,https://danskespil.dk/Components/DanskeSpil/Domain/Feature.Navigation/Graphics/SpriteSheets/LucideIcons/limit-yourself.svg,,image/svg+xml
response,,,200,https://danskespil.dk/Components/DanskeSpil/Domain/Feature.Navigation/Graphics/SpriteSheets/LucideIcons/treatment.svg,,image/svg+xml
response,,,200,https://danskespil.dk/Components/DanskeSpil/Domain/Feature.Navigation/Graphics/SpriteSheets/LucideIcons/contact.svg,,image/svg+xml
response,,,200,https://danskespil.dk/Components/DanskeSpil/Domain/Feature.Components/Graphics/BrandLogos/danskespil-white.svg,,image/svg+xml
response,,,200,https://danskespil.dk/Components/DanskeSpil/Domain/Feature.Navigation/Graphics/SpriteSheets/LucideIcons/overview.svg,,image/svg+xml
response,,,200,https://danskespil.dk/Components/DanskeSpil/Domain/Feature.Navigation/Graphics/SpriteSheets/LucideIcons/relatives.svg,,image/svg+xml
response,,,200,https://ds-static.dk/-/media/613f4d83cbef4e81870c9ba3a4038368.svg,,image/svg+xml
response,,,200,https://ds-static.dk/-/media/48f2eb1bc2ac4e568b9bfe632318dfd2.png,,image/webp
response,,,200,https://ds-static.dk/-/media/c1e76016f297419b883aca8d58825e33.png,,image/webp
response,,,200,https://ds-static.dk/-/media/7c96565cb0d34c50a1e0c774453c3acc.png,,image/webp
response,,,200,https://ds-static.dk/-/media/fe72c2231b3c4ed09f22b9d9488b0207.png,,image/webp
response,,,200,https://ds-static.dk/-/media/e8515aa3edd245bbbd154fe1752882b2.svg,,image/svg+xml
response,,,200,https://ds-static.dk/-/media/6db4fab82b1745eba94f2c81c1606254.svg,,image/svg+xml
response,,,200,https://ds-static.dk/-/media/062991570e0b4385ae0bf6b951f5ff3a.svg,,image/svg+xml
response,,,200,https://ds-static.dk/-/media/2c50aadb2b3d46f4a805e0a13a4aef7b.svg,,image/svg+xml
response,,,200,https://ds-static.dk/-/media/cf5ed1162f144c38badb968f7b21d462.png,,image/webp
response,,,200,https://ds-static.dk/-/media/938a67dc57374284ae91785d771753bf.svg,,image/svg+xml
