player_name,team_id,old_start_prob,new_start_prob,conditional_start_prob,availability_prob,availability_risk,appearance_prob,round_specific_rotation_risk,start_signal_context_note,old_start_prob_source,new_start_prob_source
Lucas Hernandez,FRA,0.3451,0.3451,0.3612,0.8734,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Lucas Digne,FRA,0.3167,0.3167,0.3602,0.6549,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Stefan de Vrij,NED,0.3851,0.3851,0.4101,0.8255,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Nathan Ake,NED,0.3831,0.3831,0.4033,0.8565,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Virgil van Dijk,NED,0.9438,0.9438,0.97,0.9229,low_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Jurrien Timber,NED,0.7551,0.7551,0.8563,0.6622,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Denzel Dumfries,NED,0.9243,0.9243,0.9518,0.9174,low_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Jeremie Frimpong,NED,0.0846,0.0846,0.0872,0.9155,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Jorrel Hato,NED,0.0494,0.0494,0.0574,0.6,high_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Micky van de Ven,NED,0.5829,0.5829,0.6111,0.868,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Jan Paul van Hecke,NED,0.5768,0.5768,0.6018,0.8814,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Pau Cubarsi,ESP,0.307,0.307,0.3499,0.6491,high_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Marc Pubill,ESP,0.0456,0.0456,0.05,0.75,unknown,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Eric Garcia,ESP,0.104,0.104,0.1209,0.6,high_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Pedro Porro,ESP,0.5721,0.5721,0.6653,0.6,high_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Marc Cucurella,ESP,0.5921,0.5921,0.6844,0.6148,high_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Aymeric Laporte,ESP,0.6498,0.6498,0.7193,0.7238,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Eric Smith,SWE,0.3162,0.3162,0.3361,0.8311,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Carl Starfelt,SWE,0.2896,0.2896,0.3251,0.688,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Victor Lindelöf,SWE,0.6262,0.6262,0.6988,0.7033,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Gabriel Gudmundsson,SWE,0.8488,0.8488,0.9198,0.7792,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Emil Holm,SWE,0.2857,0.2857,0.3261,0.6457,high_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Hjalmar Ekdal,SWE,0.1014,0.1014,0.1131,0.7051,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Daniel Svensson,SWE,0.8525,0.8525,0.8727,0.934,low_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Isak Hien,SWE,0.9237,0.9237,0.9653,0.8767,low_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Gustaf Lagerbielke,SWE,0.7784,0.7784,0.9051,0.6,high_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
