player_name,team_name,position,old_price,new_price,price_diff,holdet_is_out,new_is_out
Ko Itakura,Japan,DEF,2000000,1995000,-5000,False,False
Lutsharel Geertruida,Holland,DEF,2500000,2495000,-5000,False,False
Malick Thiaw,Tyskland,DEF,3000000,2995000,-5000,False,False
Mark Flekken,Holland,GK,4000000,3995000,-5000,False,False
Marten de Roon,Holland,MID,2500000,2495000,-5000,False,False
Mats Wieffer,Holland,MID,2500000,2495000,-5000,False,False
Maximilian Beier,Tyskland,FWD,2500000,2495000,-5000,False,False
Mohamed 'Hadj' Mahmoud,Tunesien,MID,2000000,1995000,-5000,False,False
Mohamed Kone,Elfenbenskysten,GK,3000000,2995000,-5000,False,False
Moises Ramirez,Ecuador,GK,2500000,2495000,-5000,False,False
Mortadha Ben Ouanes,Tunesien,MID,2000000,1995000,-5000,False,False
Moutaz Neffati,Tunesien,DEF,2000000,1995000,-5000,False,False
Nadiem Amiri,Tyskland,MID,2500000,2495000,-5000,False,False
Nick Woltemade,Tyskland,FWD,6000000,5995000,-5000,False,False
Noa Lang,Holland,FWD,3000000,2995000,-5000,False,False
Oliver Baumann,Tyskland,GK,5000000,4995000,-5000,False,False
Oumar Diakite,Elfenbenskysten,FWD,2500000,2495000,-5000,False,False
Ousmane Diomande,Elfenbenskysten,DEF,2500000,2495000,-5000,False,False
Parfait Guiagon,Elfenbenskysten,MID,2000000,1995000,-5000,False,False
Pascal Gross,Tyskland,MID,3000000,2995000,-5000,False,False
Pervis Estupinan,Ecuador,DEF,3500000,3495000,-5000,False,False
Raed Chikhaoui,Tunesien,DEF,2000000,1995000,-5000,False,False
Rayan Elloumi,Tunesien,FWD,2000000,1995000,-5000,False,False
Robin Roefs,Holland,GK,3500000,3495000,-5000,False,False
Roshon van Eijma,Curaçao,DEF,2500000,2495000,-5000,False,False
Sabri Ben Hessen,Tunesien,GK,2500000,2495000,-5000,False,False
Shurandy Sambo,Curaçao,DEF,2000000,1995000,-5000,False,False
Shuto Machino,Japan,FWD,2500000,2495000,-5000,False,False
Simon Adingra,Elfenbenskysten,FWD,2500000,2495000,-5000,False,False
Sontje Hansen,Curaçao,FWD,2000000,1995000,-5000,False,False
Taha Abdi Ali,Sverige,MID,2000000,1995000,-5000,False,False
Tomoki Hayakawa,Japan,GK,3500000,3495000,-5000,False,False
Trevor Doornbusch,Curaçao,GK,2500000,2495000,-5000,False,False
Tyrese Noslin,Curaçao,MID,2000000,1995000,-5000,False,False
Tyrick Bodak,Curaçao,GK,2500000,2495000,-5000,False,False
Viktor Johansson,Sverige,GK,3500000,3495000,-5000,False,False
Wout Weghorst,Holland,FWD,3000000,2995000,-5000,False,False
Yaimar Medina,Ecuador,MID,2000000,1995000,-5000,False,False
Yuito Suzuki,Japan,FWD,2500000,2495000,-5000,False,False
Yuto Nagatomo,Japan,DEF,2000000,1995000,-5000,False,False
Elias Achouri,Tunesien,MID,3500000,3493000,-7000,False,False
Angelo Preciado,Ecuador,DEF,3000000,2991000,-9000,False,False
Gervane Kastaneer,Curaçao,FWD,2500000,2491000,-9000,False,False
Joel Ordonez,Ecuador,DEF,2500000,2491000,-9000,False,False
Kevin Rodriguez,Ecuador,FWD,3000000,2991000,-9000,False,False
Moises Caicedo,Ecuador,MID,3000000,2991000,-9000,False,False
Nilson Angulo,Ecuador,FWD,2000000,1991000,-9000,False,False
Pedro Vite,Ecuador,MID,2500000,2491000,-9000,False,False
Piero Hincapie,Ecuador,DEF,3500000,3491000,-9000,False,False
Willian Pacho,Ecuador,DEF,3000000,2991000,-9000,False,False
Anis Ben Slimane,Tunesien,MID,2500000,2485000,-15000,False,False
Elias Saad,Tunesien,MID,2500000,2485000,-15000,False,False
Ellyes Skhiri,Tunesien,MID,2500000,2485000,-15000,False,False
Yan Valery,Tunesien,DEF,2500000,2485000,-15000,False,False
Memphis Depay,Holland,FWD,4000000,3984000,-16000,False,False
Firas Chaouat,Tunesien,FWD,2500000,2483000,-17000,False,False
Ismael Gharbi,Tunesien,MID,2500000,2483000,-17000,False,False
Sebastian Tounekti,Tunesien,MID,2000000,1983000,-17000,False,False
Jürgen Locadia,Curaçao,FWD,2000000,1977000,-23000,False,False
Jearl Margaritha,Curaçao,FWD,3000000,2975000,-25000,False,False
Abdelmouhib Chamakh,Tunesien,GK,2500000,2474000,-26000,False,False
Eloy Room,Curaçao,GK,2500000,2473000,-27000,False,False
Jackson Porozo,Ecuador,DEF,2000000,1971000,-29000,False,False
Ali Abdi,Tunesien,DEF,3000000,2969000,-31000,False,False
Mohamed Amine Ben Hamida,Tunesien,DEF,2500000,2469000,-31000,False,False
Montassar Talbi,Tunesien,DEF,3000000,2969000,-31000,False,False
Jeremy Antonisse,Curaçao,FWD,2000000,1967000,-33000,False,False
Rani Khedira,Tunesien,MID,3000000,2965000,-35000,False,False
Tahith Chong,Curaçao,MID,2000000,1961000,-39000,False,False
Armando Obispo,Curaçao,DEF,2000000,1953000,-47000,False,False
Deveron Fonville,Curaçao,DEF,2000000,1953000,-47000,False,False
Juninho Bacuna,Curaçao,MID,3000000,2953000,-47000,False,False
Leandro Bacuna,Curaçao,MID,2500000,2453000,-47000,False,False
Riechedly Bazoer,Curaçao,DEF,2000000,1953000,-47000,False,False
Sherel Floranus,Curaçao,DEF,2500000,2453000,-47000,False,False
