player_id,player_name,team_id,position_model,competition_category,competition_category_label,rows,starts,bench,not_in_squad,injury_or_fitness_absences,suspension_absences,not_selected_or_unknown_absences,recency_weight_sum,recent_weighted_starts,recent_weighted_bench,recent_weighted_not_in_squad,start_share,bench_share,not_in_squad_share,recency_weighted_start_share,recency_weighted_bench_share,recency_weighted_not_in_squad_share,competition_weight,weighted_start_signal,recency_competition_weighted_start_signal
martin_vitik__cze,Martin Vitik,CZE,DEF,ukendt,Ukendt,35,9,0,12,4,0,8,8.75,2.25,0.0,3.0,0.257,0.0,0.343,0.257,0.0,0.343,0.45,0.1156,0.1156
martin_zlomisli__bih,Martin Zlomislic,BIH,GK,ukendt,Ukendt,17,3,0,2,0,0,2,4.25,0.75,0.0,0.5,0.176,0.0,0.118,0.176,0.0,0.118,0.45,0.0792,0.0792
mart_n_zubimendi__esp,Martin Zubimendi,ESP,MID,ukendt,Ukendt,68,17,0,30,0,0,30,17.0,4.25,0.0,7.5,0.25,0.0,0.441,0.25,0.0,0.441,0.45,0.1125,0.1125
martin_degaard__nor,Martin Ødegaard,NOR,MID,ukendt,Ukendt,117,61,0,41,15,0,26,29.25,15.25,0.0,10.25,0.521,0.0,0.35,0.521,0.0,0.35,0.45,0.2344,0.2344
marvin_keller__sui,Marvin Keller,SUI,GK,ukendt,Ukendt,12,0,0,0,0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0
marvin_senaya__gha,Marvin Senaya,GHA,DEF,ukendt,Ukendt,4,1,0,1,0,0,1,1.0,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.45,0.1125,0.1125
marwan_ateya__egy,Marwan Ateya,EGY,MID,ukendt,Ukendt,47,30,0,8,0,0,7,11.75,7.5,0.0,2.0,0.638,0.0,0.17,0.638,0.0,0.17,0.45,0.2871,0.2871
matej_kovar__cze,Matej Kovar,CZE,GK,ukendt,Ukendt,32,19,0,0,0,0,0,8.0,4.75,0.0,0.0,0.594,0.0,0.0,0.594,0.0,0.0,0.45,0.2673,0.2673
mateo_kovacic__cro,Mateo Kovacic,CRO,MID,ukendt,Ukendt,159,84,0,35,19,0,15,39.75,21.0,0.0,8.75,0.528,0.0,0.22,0.528,0.0,0.22,0.45,0.2376,0.2376
matheus_cunha__bra,Matheus Cunha,BRA,FWD,ukendt,Ukendt,69,11,0,42,11,0,31,17.25,2.75,0.0,10.5,0.159,0.0,0.609,0.159,0.0,0.609,0.45,0.0716,0.0716
matheus_nunes__por,Matheus Nunes,POR,MID,ukendt,Ukendt,56,5,0,24,4,0,20,14.0,1.25,0.0,6.0,0.089,0.0,0.429,0.089,0.0,0.429,0.45,0.04,0.04
mathew_ryan__aus,Mathew Ryan,AUS,GK,ukendt,Ukendt,154,103,0,27,4,0,23,38.5,25.75,0.0,6.75,0.669,0.0,0.175,0.669,0.0,0.175,0.45,0.3011,0.3011
math_as_olivera__uru,Mathias Olivera,URU,DEF,ukendt,Ukendt,50,32,0,12,1,0,8,12.5,8.0,0.0,3.0,0.64,0.0,0.24,0.64,0.0,0.24,0.45,0.288,0.288
