player_id,player_name,team_id,position,price_m,transfermarkt_player_id,transfermarkt_profile_url,transfermarkt_national_url,transfermarkt_caps_goals_link_found,transfermarkt_table_source,tm_caps,tm_goals,tm_rows_total,tm_appeared_or_started_rows,tm_started_estimate_total,tm_on_bench_total,tm_not_in_squad_total,recent_20_started_estimate,recent_20_on_bench,recent_20_not_in_squad,recent_20_start_share,recent_10_start_share,last_national_row_date,national_team_usage_score,scraped_at
patrick_schulte__usa,Patrick Schulte,USA,GK,2.5,649397,https://www.transfermarkt.com/patrick-schulte/profil/spieler/649397,https://www.transfermarkt.de/patrick-schulte/nationalmannschaft/spieler/649397/verein_id/3505,True,ceapi_performance_game,3.0,0.0,34,17,3,0,17,1,0,10,0.05,0.0,2026-03-31,0.0395,2026-06-05T12:56:16
patrick_berg__nor,Patrick Berg,NOR,MID,2.5,308439,https://www.transfermarkt.com/patrick-berg/profil/spieler/308439,https://www.transfermarkt.de/patrick-berg/nationalmannschaft/spieler/308439/verein_id/3440,True,ceapi_performance_game,42.0,0.0,62,53,24,0,9,8,0,0,0.4,0.5,2026-06-01,0.513,2026-06-05T12:56:30
patrick_beach__aus,Patrick Beach,AUS,GK,2.5,983578,https://www.transfermarkt.com/patrick-beach/profil/spieler/983578,https://www.transfermarkt.de/patrick-beach/nationalmannschaft/spieler/983578/verein_id/3433,True,ceapi_performance_game,1.0,0.0,5,5,1,0,0,1,0,0,0.2,0.2,2026-05-31,0.164,2026-06-05T12:56:44
path_ciss__sen,Pathe Ciss,SEN,MID,2.5,525578,https://www.transfermarkt.com/pathe-ciss/profil/spieler/525578,https://www.transfermarkt.de/pathe-ciss/nationalmannschaft/spieler/525578/verein_id/3499,True,ceapi_performance_game,29.0,0.0,61,45,10,0,16,2,0,5,0.1,0.1,2026-05-31,0.196,2026-06-05T12:56:58
pape_matar_sarr__sen,Pape Matar Sarr,SEN,MID,2.5,568693,https://www.transfermarkt.com/pape-matar-sarr/profil/spieler/568693,https://www.transfermarkt.de/pape-matar-sarr/nationalmannschaft/spieler/568693/verein_id/3499,True,ceapi_performance_game,39.0,4.0,82,62,25,0,20,4,0,6,0.2,0.1,2026-05-31,0.291,2026-06-05T12:57:12
ozan_kabak__tur,Ozan Kabak,TUR,DEF,2.5,361260,https://www.transfermarkt.com/ozan-kabak/profil/spieler/361260,https://www.transfermarkt.de/ozan-kabak/nationalmannschaft/spieler/361260/verein_id/3381,True,ceapi_performance_game,29.0,2.0,84,47,21,0,37,2,0,17,0.1,0.2,2026-06-01,0.221,2026-06-05T12:57:26
owen_goodman__can,Owen Goodman,CAN,GK,2.5,814848,https://www.transfermarkt.com/owen-goodman/profil/spieler/814848,https://www.transfermarkt.de/owen-goodman/nationalmannschaft/spieler/814848/verein_id/3510,True,ceapi_performance_game,0.0,0.0,6,5,0,0,1,0,0,1,0.0,0.0,2026-06-02,0.0,2026-06-05T12:57:40
oussama_targhalline__mar,Oussama Targhalline,MAR,MID,2.5,667965,https://www.transfermarkt.com/oussama-targhalline/profil/spieler/667965,https://www.transfermarkt.de/oussama-targhalline/nationalmannschaft/spieler/667965/verein_id/3575,True,ceapi_performance_game,11.0,0.0,41,26,1,0,15,0,0,6,0.0,0.0,2026-05-26,0.044,2026-06-05T12:57:54
ousmane_diomande__civ,Ousmane Diomande,CIV,DEF,2.5,974982,https://www.transfermarkt.com/ousmane-diomande/profil/spieler/974982,https://www.transfermarkt.de/ousmane-diomande/nationalmannschaft/spieler/974982/verein_id/3591,True,ceapi_performance_game,14.0,0.0,40,27,11,0,13,5,0,7,0.25,0.3,2026-06-04,0.2685,2026-06-05T12:58:08
oumar_diakite__civ,Oumar Diakite,CIV,FWD,2.5,847279,https://www.transfermarkt.com/oumar-diakite/profil/spieler/847279,https://www.transfermarkt.de/oumar-diakite/nationalmannschaft/spieler/847279/verein_id/3591,True,ceapi_performance_game,29.0,6.0,53,34,14,0,19,4,0,6,0.2,0.3,2026-06-04,0.301,2026-06-05T12:58:22
otabek_shukurov__uzb,Otabek Shukurov,UZB,MID,2.5,294525,https://www.transfermarkt.com/otabek-shukurov/profil/spieler/294525,https://www.transfermarkt.de/otabek-shukurov/nationalmannschaft/spieler/294525/verein_id/3563,True,ceapi_performance_game,88.0,9.0,116,95,81,0,21,15,0,3,0.75,0.8,2026-06-02,0.8125,2026-06-05T12:58:36
oston_urunov__uzb,Oston Urunov,UZB,MID,2.5,492556,https://www.transfermarkt.com/oston-urunov/profil/spieler/492556,https://www.transfermarkt.de/oston-urunov/nationalmannschaft/spieler/492556/verein_id/3563,True,ceapi_performance_game,42.0,10.0,78,46,25,0,32,8,0,6,0.4,0.6,2026-06-02,0.538,2026-06-05T12:58:50
osman_hadzikic__bih,Osman Hadzikic,BIH,GK,2.5,188881,https://www.transfermarkt.com/osman-hadzikic/profil/spieler/188881,https://www.transfermarkt.de/osman-hadzikic/nationalmannschaft/spieler/188881/verein_id/3446,True,ceapi_performance_game,0.0,0.0,21,21,0,0,0,0,0,0,0.0,0.0,2026-05-29,0.0,2026-06-05T12:59:04
orlando_mosquera__pan,Orlando Mosquera,PAN,GK,2.5,402979,https://www.transfermarkt.com/orlando-mosquera/profil/spieler/402979,https://www.transfermarkt.de/orlando-mosquera/nationalmannschaft/spieler/402979/verein_id/3577,True,ceapi_performance_game,47.0,0.0,103,92,45,0,11,14,0,2,0.7,0.6,2026-06-04,0.723,2026-06-05T12:59:18
omid_noorafkan__irn,Omid Noorafkan,IRN,MID,2.5,332274,https://www.transfermarkt.com/omid-noorafkan/profil/spieler/332274,https://www.transfermarkt.de/omid-noorafkan/nationalmannschaft/spieler/332274/verein_id/3582,True,ceapi_performance_game,41.0,1.0,95,49,23,0,46,8,0,0,0.4,0.4,2026-05-29,0.484,2026-06-05T12:59:32
odilon_kossounou__civ,Odilon Kossounou,CIV,DEF,2.5,644771,https://www.transfermarkt.com/odilon-kossounou/profil/spieler/644771,https://www.transfermarkt.de/odilon-kossounou/nationalmannschaft/spieler/644771/verein_id/3591,True,ceapi_performance_game,35.0,0.0,73,49,26,0,24,8,0,6,0.4,0.5,2026-06-04,0.485,2026-06-05T12:59:49
odildzhon_khamrobekov__uzb,Odildzhon Khamrobekov,UZB,MID,2.5,288915,https://www.transfermarkt.com/odildzhon-khamrobekov/profil/spieler/288915,https://www.transfermarkt.de/odildzhon-khamrobekov/nationalmannschaft/spieler/288915/verein_id/3563,True,ceapi_performance_game,74.0,1.0,95,81,67,0,14,17,0,2,0.85,0.7,2026-06-02,0.8425,2026-06-05T13:00:04
obed_vargas__mex,Obed Vargas,MEX,MID,2.5,889435,https://www.transfermarkt.com/obed-vargas/profil/spieler/889435,https://www.transfermarkt.de/obed-vargas/nationalmannschaft/spieler/889435/verein_id/6303,True,ceapi_performance_game,6.0,0.0,27,9,2,0,18,2,0,12,0.1,0.2,2026-06-05,0.129,2026-06-05T13:00:17
nuno_da_costa__cpv,Nuno da Costa,CPV,FWD,2.5,306166,https://www.transfermarkt.com/nuno-da-costa/profil/spieler/306166,https://www.transfermarkt.de/nuno-da-costa/nationalmannschaft/spieler/306166/verein_id/4311,True,ceapi_performance_game,8.0,1.0,83,12,3,0,71,2,0,13,0.1,0.2,2026-05-31,0.137,2026-06-05T13:00:30
noor_al_rawabdeh__jor,Noor Al-Rawabdeh,JOR,MID,2.5,561485,https://www.transfermarkt.com/noor-al-rawabdeh/profil/spieler/561485,https://www.transfermarkt.de/noor-al-rawabdeh/nationalmannschaft/spieler/561485/verein_id/15737,True,ceapi_performance_game,57.0,3.0,90,65,49,0,25,5,0,11,0.25,0.4,2026-05-31,0.4375,2026-06-05T13:00:44
noah_sadiki__cod,Noah Sadiki,COD,MID,2.5,727089,https://www.transfermarkt.com/noah-sadiki/profil/spieler/727089,https://www.transfermarkt.de/noah-sadiki/nationalmannschaft/spieler/727089/verein_id/3854,True,ceapi_performance_game,19.0,0.0,28,21,12,0,7,10,0,7,0.5,0.6,2026-06-03,0.501,2026-06-05T13:00:58
