date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
10/10/25,9,neutral,3591,3562,7:0,,WMQ2,in squad,0,0,0,10/10/25 | WMQ2 | club:3591 | opponent:3562 | 7:0 | in squad,False,False,False,,False,mohamed_kone__civ,Mohamed Kone,CIV,GK,911985,https://www.transfermarkt.de/mohamed-kone/nationalmannschaft/spieler/911985/verein_id/3591
09/09/25,8,away,3591,5704,0:0,,WMQ2,in squad,0,0,0,09/09/25 | WMQ2 | club:3591 | opponent:5704 | 0:0 | in squad,False,False,False,,False,mohamed_kone__civ,Mohamed Kone,CIV,GK,911985,https://www.transfermarkt.de/mohamed-kone/nationalmannschaft/spieler/911985/verein_id/3591
05/09/25,7,home,3591,13943,1:0,,WMQ2,in squad,0,0,0,05/09/25 | WMQ2 | club:3591 | opponent:13943 | 1:0 | in squad,False,False,False,,False,mohamed_kone__civ,Mohamed Kone,CIV,GK,911985,https://www.transfermarkt.de/mohamed-kone/nationalmannschaft/spieler/911985/verein_id/3591
11/06/25,36,away,3591,3510,5:4,,FS,in squad,0,0,0,11/06/25 | FS | club:3591 | opponent:3510 | 5:4 | in squad,False,False,False,,False,mohamed_kone__civ,Mohamed Kone,CIV,GK,911985,https://www.transfermarkt.de/mohamed-kone/nationalmannschaft/spieler/911985/verein_id/3591
07/06/25,45,away,3591,9171,0:1,,FS,in squad,0,0,0,07/06/25 | FS | club:3591 | opponent:9171 | 0:1 | in squad,False,False,False,,False,mohamed_kone__civ,Mohamed Kone,CIV,GK,911985,https://www.transfermarkt.de/mohamed-kone/nationalmannschaft/spieler/911985/verein_id/3591
24/03/25,6,home,3591,6186,1:0,,WMQ2,in squad,0,0,0,24/03/25 | WMQ2 | club:3591 | opponent:6186 | 1:0 | in squad,False,False,False,,False,mohamed_kone__civ,Mohamed Kone,CIV,GK,911985,https://www.transfermarkt.de/mohamed-kone/nationalmannschaft/spieler/911985/verein_id/3591
21/03/25,5,away,3591,13943,1:0,,WMQ2,in squad,0,0,0,21/03/25 | WMQ2 | club:3591 | opponent:13943 | 1:0 | in squad,False,False,False,,False,mohamed_kone__civ,Mohamed Kone,CIV,GK,911985,https://www.transfermarkt.de/mohamed-kone/nationalmannschaft/spieler/911985/verein_id/3591
19/11/24,8,home,3591,13978,4:0,,AFCQ,injured,0,0,0,19/11/24 | AFCQ | club:3591 | opponent:13978 | 4:0 | injured,True,False,False,,False,mohamed_kone__civ,Mohamed Kone,CIV,GK,911985,https://www.transfermarkt.de/mohamed-kone/nationalmannschaft/spieler/911985/verein_id/3591
15/11/24,7,away,3591,3703,0:1,,AFCQ,injured,0,0,0,15/11/24 | AFCQ | club:3591 | opponent:3703 | 0:1 | injured,True,False,False,,False,mohamed_kone__civ,Mohamed Kone,CIV,GK,911985,https://www.transfermarkt.de/mohamed-kone/nationalmannschaft/spieler/911985/verein_id/3591
15/10/24,6,away,3591,6187,0:1,,AFCQ,in squad,0,0,0,15/10/24 | AFCQ | club:3591 | opponent:6187 | 0:1 | in squad,False,False,False,,False,mohamed_kone__civ,Mohamed Kone,CIV,GK,911985,https://www.transfermarkt.de/mohamed-kone/nationalmannschaft/spieler/911985/verein_id/3591
11/10/24,5,home,3591,6187,4:1,,AFCQ,in squad,0,0,0,11/10/24 | AFCQ | club:3591 | opponent:6187 | 4:1 | in squad,False,False,False,,False,mohamed_kone__civ,Mohamed Kone,CIV,GK,911985,https://www.transfermarkt.de/mohamed-kone/nationalmannschaft/spieler/911985/verein_id/3591
10/09/24,4,away,3591,13978,2:0,,AFCQ,in squad,0,0,0,10/09/24 | AFCQ | club:3591 | opponent:13978 | 2:0 | in squad,False,False,False,,False,mohamed_kone__civ,Mohamed Kone,CIV,GK,911985,https://www.transfermarkt.de/mohamed-kone/nationalmannschaft/spieler/911985/verein_id/3591
06/09/24,3,home,3591,3703,2:0,,AFCQ,in squad,0,0,0,06/09/24 | AFCQ | club:3591 | opponent:3703 | 2:0 | in squad,False,False,False,,False,mohamed_kone__civ,Mohamed Kone,CIV,GK,911985,https://www.transfermarkt.de/mohamed-kone/nationalmannschaft/spieler/911985/verein_id/3591
11/06/24,4,away,3591,8987,0:0,,WMQ2,in squad,0,0,0,11/06/24 | WMQ2 | club:3591 | opponent:8987 | 0:0 | in squad,False,False,False,,False,mohamed_kone__civ,Mohamed Kone,CIV,GK,911985,https://www.transfermarkt.de/mohamed-kone/nationalmannschaft/spieler/911985/verein_id/3591
07/06/24,3,home,3591,5704,1:0,,WMQ2,in squad,0,0,0,07/06/24 | WMQ2 | club:3591 | opponent:5704 | 1:0 | in squad,False,False,False,,False,mohamed_kone__civ,Mohamed Kone,CIV,GK,911985,https://www.transfermarkt.de/mohamed-kone/nationalmannschaft/spieler/911985/verein_id/3591
26/03/24,4,away,3591,3449,2:1,,FS,in squad,0,0,0,26/03/24 | FS | club:3591 | opponent:3449 | 2:1 | in squad,False,False,False,,False,mohamed_kone__civ,Mohamed Kone,CIV,GK,911985,https://www.transfermarkt.de/mohamed-kone/nationalmannschaft/spieler/911985/verein_id/3591
23/03/24,36,away,3591,3955,2:2,,FS,in squad,0,0,0,23/03/24 | FS | club:3591 | opponent:3955 | 2:2 | in squad,False,False,False,,False,mohamed_kone__civ,Mohamed Kone,CIV,GK,911985,https://www.transfermarkt.de/mohamed-kone/nationalmannschaft/spieler/911985/verein_id/3591
27/09/22,32,away,3591,3856,3:1,,FS,in squad,0,0,0,27/09/22 | FS | club:3591 | opponent:3856 | 3:1 | in squad,False,False,False,,False,mohamed_kone__civ,Mohamed Kone,CIV,GK,911985,https://www.transfermarkt.de/mohamed-kone/nationalmannschaft/spieler/911985/verein_id/3591
24/09/22,11,away,3591,3815,2:1,,FS,in squad,0,0,0,24/09/22 | FS | club:3591 | opponent:3815 | 2:1 | in squad,False,False,False,,False,mohamed_kone__civ,Mohamed Kone,CIV,GK,911985,https://www.transfermarkt.de/mohamed-kone/nationalmannschaft/spieler/911985/verein_id/3591
09/06/22,4,away,3591,13962,0:0,,AFCQ,in squad,0,0,0,09/06/22 | AFCQ | club:3591 | opponent:13962 | 0:0 | in squad,False,False,False,,False,mohamed_kone__civ,Mohamed Kone,CIV,GK,911985,https://www.transfermarkt.de/mohamed-kone/nationalmannschaft/spieler/911985/verein_id/3591
03/06/22,3,home,3591,3703,3:1,,AFCQ,in squad,0,0,0,03/06/22 | AFCQ | club:3591 | opponent:3703 | 3:1 | in squad,False,False,False,,False,mohamed_kone__civ,Mohamed Kone,CIV,GK,911985,https://www.transfermarkt.de/mohamed-kone/nationalmannschaft/spieler/911985/verein_id/3591
29/03/22,2,away,3591,3299,0:3,,FS,in squad,0,0,0,29/03/22 | FS | club:3591 | opponent:3299 | 0:3 | in squad,False,False,False,,False,mohamed_kone__civ,Mohamed Kone,CIV,GK,911985,https://www.transfermarkt.de/mohamed-kone/nationalmannschaft/spieler/911985/verein_id/3591
25/03/22,7,away,3591,3377,1:2,,FS,in squad,0,0,0,25/03/22 | FS | club:3591 | opponent:3377 | 1:2 | in squad,False,False,False,,False,mohamed_kone__civ,Mohamed Kone,CIV,GK,911985,https://www.transfermarkt.de/mohamed-kone/nationalmannschaft/spieler/911985/verein_id/3591
