player_id,player_name,team_id,position_model,tm_competition_rows,tm_competition_starts,tm_weighted_start_signal_sum,tm_recency_competition_weighted_start_signal_sum,tm_competition_weight_sum,tm_weighted_competitive_start_score,tm_recency_weighted_competitive_start_score
amine_gouiri__alg,Amine Gouiri,ALG,FWD,46,17,0.1665,0.1665,0.45,0.37,0.37
amir_hadziahmetovic__bih,Amir Hadziahmetovic,BIH,MID,61,22,0.1624,0.1624,0.45,0.3609,0.3609
amirhossein_hosseinzadeh__irn,Amirhossein Hosseinzadeh,IRN,FWD,53,10,0.085,0.085,0.45,0.1889,0.1889
an_bal_godoy__pan,Anibal Godoy,PAN,MID,247,124,0.2259,0.2259,0.45,0.502,0.502
anass_salah_eddine__mar,Anass Salah-Eddine,MAR,DEF,19,6,0.1422,0.1422,0.45,0.316,0.316
andr_s_cubas__par,Andres Cubas,PAR,MID,59,30,0.2286,0.2286,0.45,0.508,0.508
andreas_schjelderup__nor,Andreas Schjelderup,NOR,MID,21,5,0.1071,0.1071,0.45,0.238,0.238
andrej_kramari__cro,Andrej Kramaric,CRO,FWD,142,74,0.2344,0.2344,0.45,0.5209,0.5209
andres_andrade__pan,Andres Andrade,PAN,DEF,108,43,0.1791,0.1791,0.45,0.398,0.398
ange_yoan_bonny__civ,Ange-Yoan Bonny,CIV,FWD,1,0,0.0,0.0,0.45,0.0,0.0
angelo_stiller__ger,Angelo Stiller,GER,MID,19,5,0.1184,0.1184,0.45,0.2631,0.2631
angus_gunn__sco,Angus Gunn,SCO,GK,36,21,0.2623,0.2623,0.45,0.5829,0.5829
anis_ben_slimane__tun,Anis Ben Slimane,TUN,MID,86,26,0.1359,0.1359,0.45,0.302,0.302
anis_hadj_moussa__alg,Anis Hadj Moussa,ALG,FWD,38,2,0.0238,0.0238,0.45,0.0529,0.0529
ante_budimir__cro,Ante Budimir,CRO,FWD,76,19,0.1125,0.1125,0.45,0.25,0.25
ante_suto__aus,Ante Suto,AUS,FWD,2,0,0.0,0.0,0.45,0.0,0.0
anthony_elanga__swe,Anthony Elanga,SWE,FWD,47,14,0.1341,0.1341,0.45,0.298,0.298
anthony_gordon__eng,Anthony Gordon,ENG,FWD,29,12,0.1863,0.1863,0.45,0.414,0.414
anthony_mandrea__alg,Anthony Mandrea,ALG,GK,62,21,0.1526,0.1526,0.45,0.3391,0.3391
anthony_ralston__sco,Anthony Ralston,SCO,DEF,47,16,0.153,0.153,0.45,0.34,0.34
anthony_valencia__ecu,Anthony Valencia,ECU,FWD,5,1,0.09,0.09,0.45,0.2,0.2
antoine_mendy__sen,Antoine Mendy,SEN,DEF,26,4,0.0693,0.0693,0.45,0.154,0.154
antoine_semenyo__gha,Antoine Semenyo,GHA,FWD,50,24,0.216,0.216,0.45,0.48,0.48
anton_stach__ger,Anton Stach,GER,MID,50,0,0.0,0.0,0.45,0.0,0.0
antonee_robinson__usa,Antonee Robinson,USA,DEF,123,47,0.1719,0.1719,0.45,0.382,0.382
antonio_nusa__nor,Antonio Nusa,NOR,MID,29,16,0.2484,0.2484,0.45,0.552,0.552
antonio_r_diger__ger,Antonio Rüdiger,GER,DEF,154,77,0.225,0.225,0.45,0.5,0.5
antonio_sanabria__par,Antonio Sanabria,PAR,FWD,127,25,0.0887,0.0887,0.45,0.1971,0.1971
ao_tanaka__jpn,Ao Tanaka,JPN,MID,79,26,0.1481,0.1481,0.45,0.3291,0.3291
aqtay_abdallah__egy,Aqtay Abdallah,EGY,FWD,1,0,0.0,0.0,0.45,0.0,0.0
ar_jany_martha__cuw,Ar'jany Martha,CUW,FWD,20,2,0.045,0.045,0.45,0.1,0.1
arda_g_ler__tur,Arda Güler,TUR,MID,40,22,0.2475,0.2475,0.45,0.55,0.55
ardon_jashari__sui,Ardon Jashari,SUI,MID,44,2,0.0202,0.0202,0.45,0.0449,0.0449
aribim_pepple__can,Aribim Pepple,CAN,FWD,2,0,0.0,0.0,0.45,0.0,0.0
armando_gonzalez__mex,Armando Gonzalez,MEX,FWD,10,3,0.135,0.135,0.45,0.3,0.3
armando_obispo__cuw,Armando Obispo,CUW,DEF,7,5,0.3213,0.3213,0.45,0.714,0.714
armin_gigovic__bih,Armin Gigovic,BIH,MID,21,14,0.3002,0.3002,0.45,0.6671,0.6671
arthur_masuaku__cod,Arthur Masuaku,COD,DEF,93,42,0.2034,0.2034,0.45,0.452,0.452
arthur_theate__bel,Arthur Theate,BEL,DEF,53,30,0.2547,0.2547,0.45,0.566,0.566
assane_diao_diaoune__sen,Assane Diao Diaoune,SEN,FWD,26,2,0.0346,0.0346,0.45,0.0769,0.0769
assim_madibo__qat,Assim Madibo,QAT,MID,136,43,0.1422,0.1422,0.45,0.316,0.316
atakan_karazor__tur,Atakan Karazor,TUR,MID,16,0,0.0,0.0,0.45,0.0,0.0
aubrey_modiba__rsa,Aubrey Modiba,RSA,DEF,97,34,0.158,0.158,0.45,0.3511,0.3511
aur_lien_tchouam_ni__fra,Aurelien Tchouameni,FRA,MID,61,39,0.2876,0.2876,0.45,0.6391,0.6391
aurele_amenda__sui,Aurele Amenda,SUI,DEF,15,2,0.0599,0.0599,0.45,0.1331,0.1331
awer_mabil__aus,Awer Mabil,AUS,FWD,76,20,0.1184,0.1184,0.45,0.2631,0.2631
axel_tuanzebe__cod,Axel Tuanzebe,COD,DEF,30,12,0.18,0.18,0.45,0.4,0.4
axel_witsel__bel,Axel Witsel,BEL,MID,208,126,0.2727,0.2727,0.45,0.606,0.606
ayase_ueda__jpn,Ayase Ueda,JPN,FWD,88,25,0.1278,0.1278,0.45,0.284,0.284
ayman_yahya_salem__ksa,Ayman Yahya Salem,KSA,MID,83,14,0.0761,0.0761,0.45,0.1691,0.1691
aymen_dahmen__tun,Aymen Dahmen,TUN,GK,92,34,0.1665,0.1665,0.45,0.37,0.37
aymen_hussein__irq,Aymen Hussein,IRQ,FWD,141,57,0.1818,0.1818,0.45,0.404,0.404
aymeric_laporte__esp,Aymeric Laporte,ESP,DEF,69,44,0.2871,0.2871,0.45,0.638,0.638
ayoub_al_oui__qat,Ayoub Al-Oui,QAT,DEF,7,6,0.3856,0.3856,0.45,0.8569,0.8569
ayoub_el_kaabi__mar,Ayoub El Kaabi,MAR,FWD,137,43,0.1413,0.1413,0.45,0.314,0.314
ayumu_seko__jpn,Ayumu Seko,JPN,DEF,42,8,0.0855,0.0855,0.45,0.19,0.19
aziz_behich__aus,Aziz Behich,AUS,DEF,146,70,0.2156,0.2156,0.45,0.4791,0.4791
aziz_g_aniyev__uzb,Aziz Ganiev,UZB,MID,99,15,0.0684,0.0684,0.45,0.152,0.152
azzedine_ounahi__mar,Azzedine Ounahi,MAR,MID,78,40,0.2308,0.2308,0.45,0.5129,0.5129
