player_id,player_name,team_id,position_model,tm_competition_rows,tm_competition_starts,tm_weighted_start_signal_sum,tm_recency_competition_weighted_start_signal_sum,tm_competition_weight_sum,tm_weighted_competitive_start_score,tm_recency_weighted_competitive_start_score
yousef_abu_al_jazar__jor,Yousef Abu Al-Jazar,JOR,DEF,109,32,1.9531999999999998,1.9531999999999998,3.25,0.601,0.601
yousef_qashi__jor,Yousef Qashi,JOR,MID,3,1,0.35,0.35,0.8,0.4375,0.4375
youssef_amyn__irq,Youssef Amyn,IRQ,MID,45,23,1.7503,1.7503,3.25,0.5386,0.5386
youssef_en_nesyri__mar,Youssef En-Nesyri,MAR,FWD,212,141,1.7473,1.7473,2.4,0.728,0.728
yu_min_cho__kor,Yu-Min Cho,KOR,DEF,67,24,1.3226,1.3226,2.4,0.5511,0.5511
yuito_suzuki__jpn,Yuito Suzuki,JPN,FWD,26,8,1.6296,1.6296,2.4,0.679,0.679
yukinari_sugawara__jpn,Yukinari Sugawara,JPN,DEF,90,34,1.4929,1.4929,2.4,0.622,0.622
yunus_akgun__tur,Yunus Akgün,TUR,FWD,59,35,2.9303,2.9303,3.9,0.7514,0.7514
yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,343,225,1.9032,1.9032,2.4,0.793,0.793
yvon_mvogo__sui,Yvon Mvogo,SUI,GK,172,65,2.6233,2.6233,3.9,0.6726,0.6726
zaid_ismail__irq,Zaid Ismail,IRQ,MID,7,5,1.6252,1.6252,2.05,0.7928,0.7928
zaid_tahseen__irq,Zaid Tahseen,IRQ,DEF,63,40,2.5578,2.5578,3.25,0.787,0.787
zakaria_el_ouahdi__mar,Zakaria El Ouahdi,MAR,DEF,50,12,0.9013,0.9013,2.4,0.3755,0.3755
zeki_elik__tur,Zeki Celik,TUR,DEF,126,94,3.3846,3.3846,3.9,0.8678,0.8678
zeno_debast__bel,Zeno Debast,BEL,DEF,56,40,3.5102,3.5102,3.9,0.9001,0.9001
zidane_iqbal__irq,Zidane Iqbal,IRQ,MID,71,26,1.399,1.399,3.25,0.4305,0.4305
zineddine_belaid__alg,Zineddine Belaid,ALG,DEF,76,32,1.4327,1.4327,2.4,0.597,0.597
zion_suzuki__jpn,Zion Suzuki,JPN,GK,61,43,2.0301,2.0301,2.4,0.8459,0.8459
ziyad_al_johani__ksa,Ziyad Al-Johani,KSA,MID,29,15,1.436,1.436,2.4,0.5983,0.5983
zizo__egy,Ahmed Zizo,EGY,MID,105,72,1.7966,1.7966,2.4,0.7486,0.7486
